FOUNDER,REGION,PROJECT_ERA,GREAT_PERSON,SIGNATURE_FIRM,FOUNDER_STATUS,CANONICAL_SECTOR_ID,PRODUCT_SERVICE,TECH_GATE,CIVIC_GATE
"Johann Friedrich Weskott","Europe/North America","Industrial","Great Engineer","Bayer","Co-founder","CHEMICALS_MATERIALS","Industrial Chemicals / Dyes","Chemistry","Capitalism"
"Friedrich Bayer","Europe/North America","Industrial","Great Merchant","Bayer","Co-founder","CHEMICALS_MATERIALS","Chemical Trade/Industry","Chemistry","Capitalism"
"Fritz Hoffmann-La Roche","Europe/North America","Industrial","Great Merchant","Roche","Founder","PHARMACEUTICALS","Pharmaceuticals","Biology","Capitalism"
"Charles Pfizer","Europe/North America","Industrial","Great Engineer","Pfizer","Co-founder","CHEMICALS_MATERIALS","Pharmaceuticals","Chemistry","Capitalism"
"Adolf ""Adi"" Dassler","Europe/North America","Atomic","Great Engineer","adidas","Founder","TEXTILES_APPAREL_SPORTING","Sporting Goods","Mass Production","Capitalism"
"Robert Noyce","Europe/North America","Atomic","Great Engineer","Intel","Co-founder","SEMICONDUCTORS","Semiconductors","Electronics","Capitalism"
"Gordon Moore","Europe/North America","Atomic","Great Engineer","Intel","Co-founder","SEMICONDUCTORS","Semiconductors","Electronics","Capitalism"
"Jensen Huang","Europe/North America","Atomic","Great Engineer","NVIDIA","Co-founder","SEMICONDUCTORS","Advanced Processors","Electronics","Capitalism"
"Larry Ellison","Europe/North America","Atomic","Great Engineer","Oracle","Co-founder","SOFTWARE_IT","Enterprise Software","Computers","Capitalism"
"Yataro Iwasaki","East Asia","Industrial","Great Merchant","Mitsubishi","Founder","SHIPPING_LOGISTICS","Shipping & Trade Services","Steam Power","Capitalism"
"Kiichiro Toyoda","East Asia","Modern","Great Engineer","Toyota Motor","Founder","AUTOMOTIVE","Automobiles","Combustion","Capitalism"
"Soichiro Honda","East Asia","Atomic","Great Engineer","Honda Motor","Co-founder","AUTOMOTIVE","Automobiles/Motorcycles","Combustion","Capitalism"
"Namihei Odaira","East Asia","Modern","Great Engineer","Hitachi","Founder","ELECTRICAL_EQUIPMENT","Electrical Equipment","Electricity","Capitalism"
"Konosuke Matsushita","East Asia","Modern","Great Engineer","Panasonic","Founder","CONSUMER_ELECTRONICS","Consumer Electronics","Electronics","Capitalism"
"Masaru Ibuka","East Asia","Atomic","Great Engineer","Sony","Co-founder","CONSUMER_ELECTRONICS","Consumer Electronics","Electronics","Capitalism"
"Shojiro Ishibashi","East Asia","Modern","Great Engineer","Bridgestone","Founder","MACHINERY_COMPONENTS","Tires","Combustion","Capitalism"
"Torakusu Yamaha","East Asia","Industrial","Great Engineer","Yamaha","Founder","CULTURAL_GOODS","Musical Instruments","Acoustics","Capitalism"
"Koo In-hwoi","East Asia","Atomic","Great Merchant","Lucky/LG lineage","Founder","CHEMICALS_MATERIALS","Consumer Goods / Electronics lineage","Chemistry","Capitalism"
"Lee Byung-chul","East Asia","Modern","Great Merchant","Samsung group","Founder","TRADING_HOUSES","Trading / Industrial Investment Services","Industrialization","Capitalism"
"Pony Ma (Ma Huateng)","East Asia","Atomic","Great Engineer","Tencent","Co-founder","DIGITAL_PLATFORMS","Digital Platform Services","Telecommunications","Capitalism"
"Jack Ma","East Asia","Atomic","Great Merchant","Alibaba","Co-founder","DIGITAL_PLATFORMS","E-commerce Services","Telecommunications","Capitalism"
"Liu Chuanzhi","East Asia","Atomic","Great Engineer","Lenovo lineage","Founding-team leader / co-founder","COMPUTING_HARDWARE","Computers","Computers","Capitalism"
"Terry Gou","East Asia","Atomic","Great Engineer","Hon Hai/Foxconn","Founder","ELECTRONICS_MANUFACTURING","Electronic Components","Electronics","Capitalism"
"Stan Shih","East Asia","Atomic","Great Engineer","Acer","Co-founder","COMPUTING_HARDWARE","Computers","Computers","Capitalism"
"Jamsetji Tata","South Asia","Industrial","Great Merchant","Tata group","Founder","TRADING_HOUSES","Trading / Industrial Investment Services","Industrialization","Capitalism"
"J. C. Mahindra","South Asia","Modern","Great Merchant","Mahindra","Co-founder","STEEL_HEAVY_MATERIALS","Steel Products / Industrial Goods","Steel","Capitalism"
"K. C. Mahindra","South Asia","Modern","Great Merchant","Mahindra","Co-founder","STEEL_HEAVY_MATERIALS","Steel Products / Industrial Goods","Steel","Capitalism"
"Sunil Bharti Mittal","South Asia","Atomic","Great Merchant","Bharti","Founder","TELECOMMUNICATIONS","Telecom Services","Telecommunications","Capitalism"
"Dilip Shanghvi","South Asia","Atomic","Great Merchant","Sun Pharma","Founder","PHARMACEUTICALS","Pharmaceuticals","Biology","Capitalism"
"Chia Ek Chor","Southeast Asia","Modern","Great Merchant","Charoen Pokphand","Co-founder","FOOD_PROCESSING","Processed Food / Agricultural Inputs","Refrigeration","Capitalism"
"Chia Seow Hui","Southeast Asia","Modern","Great Merchant","Charoen Pokphand","Co-founder","FOOD_PROCESSING","Processed Food / Agricultural Inputs","Refrigeration","Capitalism"
"Anthony Tan","Southeast Asia","Information","Great Merchant","Grab","Co-founder","DIGITAL_PLATFORMS","Mobility Services","Telecommunications","Capitalism"
"Tan Hooi Ling","Southeast Asia","Information","Great Engineer","Grab","Co-founder","DIGITAL_PLATFORMS","Mobility Platform","Telecommunications","Capitalism"
"Mudassir Sheikha","Middle East","Information","Great Merchant","Careem","Co-founder","DIGITAL_PLATFORMS","Mobility Services","Telecommunications","Capitalism"
"Magnus Olsson","Middle East","Information","Great Engineer","Careem","Co-founder","DIGITAL_PLATFORMS","Mobility Platform","Telecommunications","Capitalism"
"Fadi Ghandour","Middle East","Atomic","Great Merchant","Aramex","Founder","SHIPPING_LOGISTICS","Logistics Services","Advanced Flight","Capitalism"
"Aliko Dangote","Africa","Atomic","Great Merchant","Dangote Industries","Founder","CONSTRUCTION_MATERIALS","Construction Materials","Industrialization","Capitalism"
"Strive Masiyiwa","Africa","Atomic","Great Engineer","Econet","Founder","TELECOMMUNICATIONS","Telecom Services","Telecommunications","Capitalism"
"Mo Ibrahim","Africa","Atomic","Great Engineer","Celtel","Founder","TELECOMMUNICATIONS","Telecom Services","Telecommunications","Capitalism"
"Lorenzo Servitje","Latin America","Modern","Great Merchant","Bimbo","Co-founder","FOOD_PROCESSING","Processed Food","Refrigeration","Capitalism"
"Thomas Edison","Europe/North America","Industrial","Great Engineer","Edison Electric Light / Edison General Electric lineage","Founder-lineage; do not label sole founder of modern GE","ELECTRICAL_EQUIPMENT","Electrical Equipment","Electricity","Capitalism"
"George Westinghouse","Europe/North America","Industrial","Great Engineer","Westinghouse Electric","Founder","ELECTRICAL_EQUIPMENT","Electrical Equipment","Electricity","Capitalism"
"Steve Jobs","Europe/North America","Atomic","Great Merchant","Apple","Co-founder","CONSUMER_ELECTRONICS","Personal Computers / Consumer Electronics","Computers","Capitalism"
"Steve Wozniak","Europe/North America","Atomic","Great Engineer","Apple","Co-founder","CONSUMER_ELECTRONICS","Personal Computers / Consumer Electronics","Computers","Capitalism"
"Bill Gates","Europe/North America","Atomic","Great Engineer","Microsoft","Co-founder","SOFTWARE_IT","Software","Computers","Capitalism"
"Paul Allen","Europe/North America","Atomic","Great Engineer","Microsoft","Co-founder","SOFTWARE_IT","Software","Computers","Capitalism"
"Morris Chang","East Asia","Atomic","Great Engineer","TSMC","Founder","SEMICONDUCTORS","Semiconductor Fabrication","Electronics","Capitalism"
"Wang Chuanfu","East Asia","Atomic","Great Engineer","BYD","Founder","BATTERIES_ELECTRIFIED_MOBILITY","Battery Systems / Automobiles","Electronics","Capitalism"
"Dhirubhai Ambani","South Asia","Atomic","Great Merchant","Reliance","Founder","TEXTILES_APPAREL_SPORTING","Textiles","Mass Production","Capitalism"
"Sam Walton","Europe/North America","Atomic","Great Merchant","Walmart","Founder","RETAIL_DISTRIBUTION","Retail Distribution","Mass Production","Capitalism"
"Phil Knight","Europe/North America","Atomic","Great Merchant","Nike","Co-founder","TEXTILES_APPAREL_SPORTING","Sporting Goods","Mass Production","Capitalism"
"Bill Bowerman","Europe/North America","Atomic","Great Engineer","Nike","Co-founder","TEXTILES_APPAREL_SPORTING","Sporting Goods","Mass Production","Capitalism"
"Frederick W. Smith","Europe/North America","Atomic","Great Merchant","FedEx","Founder","SHIPPING_LOGISTICS","Express Logistics","Advanced Flight","Capitalism"
"A.P. Møller","Europe/North America","Modern","Great Merchant","Maersk","Co-founder","SHIPPING_LOGISTICS","Ocean Shipping / Logistics","Steam Power","Capitalism"
"William Boeing","Europe/North America","Modern","Great Engineer","Boeing","Founder","AEROSPACE","Aircraft","Flight","Capitalism"
"Cornelius Vander Starr","Europe/North America","Modern","Great Merchant","AIG lineage","Founder-lineage","INSURANCE","Insurance Services","Banking","Capitalism"
"Marcos Galperin","Latin America","Atomic","Great Merchant","Mercado Libre","Co-founder","DIGITAL_PLATFORMS","E-commerce Services","Telecommunications","Capitalism"
"David Vélez","Latin America","Information","Great Merchant","Nubank","Founder","FINANCE_BANKING","Digital Banking","Computers","Capitalism"
"Cristina Junqueira","Latin America","Information","Great Merchant","Nubank","Co-founder","FINANCE_BANKING","Digital Banking","Computers","Capitalism"
"Melanie Perkins","Oceania","Information","Great Merchant","Canva","Co-founder","SOFTWARE_IT","Design Software","Computers","Capitalism"
"Nadiem Makarim","Southeast Asia","Information","Great Merchant","Gojek","Founder","DIGITAL_PLATFORMS","Mobility Platform","Telecommunications","Capitalism"
"Tony Tan Caktiong","Southeast Asia","Atomic","Great Merchant","Jollibee","Founder / family founding team","FOOD_SERVICE","Restaurant / Food Services","Refrigeration","Capitalism"
"Suh Sung-whan","East Asia","Modern","Great Merchant","Amorepacific","Founder","COSMETICS_PERSONAL_CARE","Cosmetics","Chemistry","Capitalism"
"Shin Kyuk-ho","East Asia","Atomic","Great Merchant","Lotte","Founder","FOOD_PROCESSING","Confectionery","Refrigeration","Capitalism"
"Lee Hae-jin","East Asia","Atomic","Great Engineer","NAVER","Founder","DIGITAL_PLATFORMS","Search / Portal Services","Computers","Capitalism"
"Kim Beom-su","East Asia","Information","Great Engineer","Kakao","Founder","DIGITAL_PLATFORMS","Messaging / Platform Services","Telecommunications","Capitalism"
"Chung Ju-yung","East Asia","Atomic","Great Merchant","Hyundai Motor Company / Hyundai lineage","Founder / founding chairman","AUTOMOTIVE","Automobiles","Combustion","Capitalism"
"Miguel Krigsner","Latin America","Atomic","Great Merchant","O Boticário","Founder","COSMETICS_PERSONAL_CARE","Cosmetics","Chemistry","Capitalism"
"Patrice Motsepe","Africa","Atomic","Great Merchant","African Rainbow Minerals lineage","Founder","MINING_EXTRACTIVES","Mineral Concentrates / Metals","Dynamite","Capitalism"
"Gil Shwed","Middle East","Atomic","Great Engineer","Check Point","Co-founder","SOFTWARE_IT","Cybersecurity Software","Computers","Capitalism"
"Forrest Li","Southeast Asia","Information","Great Merchant","Sea","Founder","DIGITAL_PLATFORMS","Digital Platform Services","Telecommunications","Capitalism"
"William Tanuwijaya","Southeast Asia","Information","Great Merchant","Tokopedia","Co-founder","DIGITAL_PLATFORMS","E-commerce Services","Telecommunications","Capitalism"
"Min-Liang Tan","Southeast Asia","Information","Great Engineer","Razer","Co-founder","CONSUMER_ELECTRONICS","Gaming Peripherals","Electronics","Capitalism"
"Anita Roddick","Europe/North America","Atomic","Great Merchant","The Body Shop","Founder","COSMETICS_PERSONAL_CARE","Cosmetics","Chemistry","Capitalism"
"Cher Wang","East Asia","Atomic","Great Engineer","HTC","Co-founder","CONSUMER_ELECTRONICS","Smart Devices","Electronics","Capitalism"
"Huda Kattan","Middle East","Information","Great Merchant","Huda Beauty","Founder / brand creator","COSMETICS_PERSONAL_CARE","Cosmetics","Chemistry","Capitalism"
"Lakshmi Mittal","South Asia","Atomic","Great Merchant","Mittal Steel / ArcelorMittal lineage","Founder-lineage","STEEL_HEAVY_MATERIALS","Steel Products","Steel","Capitalism"
"Jim Casey","Europe/North America","Modern","Great Merchant","UPS","Co-founder","SHIPPING_LOGISTICS","Parcel Logistics","Railroad","Capitalism"
