FOUNDER,REGION,PROJECT_ERA,GREAT_PERSON,SIGNATURE_FIRM,FOUNDER_STATUS,SECTOR,OUTPUT_CLASS,PRODUCT_SERVICE,TECH_GATE,CIVIC_GATE,AUDIT_STATUS,SOURCE,NOTE
"Werner von Siemens","Europe/North America","Industrial","Great Engineer","Siemens & Halske","Co-founder","Electrical/Telegraph","Functional Corporate Good","Electrical Equipment","Electricity","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Johann Georg Halske co-founder"
"Gerard Philips","Europe/North America","Industrial","Great Engineer","Philips","Co-founder","Electrical/Lighting","Functional Corporate Good","Electrical Equipment","Electricity","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Frederik Philips co-founder"
"Lars Magnus Ericsson","Europe/North America","Industrial","Great Engineer","Ericsson","Founder","Telecommunications","Service","Telecom Equipment/Service","Telegraph","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Carl Johan Andersson early partner"
"John Deere","Europe/North America","Industrial","Great Engineer","Deere","Founder","Agricultural Machinery","Functional Corporate Good","Farm Machinery","Replaceable Parts","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Herbert H. Dow","Europe/North America","Industrial","Great Engineer","Dow Chemical","Founder","Chemicals","Functional Corporate Good","Industrial Chemicals","Chemistry","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Johann Friedrich Weskott","Europe/North America","Industrial","Great Engineer","Bayer","Co-founder","Chemicals/Dyes","Functional Corporate Good","Industrial Chemicals / Dyes","Chemistry","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Friedrich Bayer co-founder"
"Friedrich Bayer","Europe/North America","Industrial","Great Merchant","Bayer","Co-founder","Chemicals/Dyes","Functional Corporate Good","Chemical Trade/Industry","Chemistry","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Weskott co-founder"
"Fritz Hoffmann-La Roche","Europe/North America","Industrial","Great Merchant","Roche","Founder","Pharmaceuticals","Functional Corporate Good","Pharmaceuticals","Biology","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Charles Pfizer","Europe/North America","Industrial","Great Engineer","Pfizer","Co-founder","Pharmaceuticals/Chemicals","Functional Corporate Good","Pharmaceuticals","Chemistry","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Charles Erhart co-founder"
"Adolf ""Adi"" Dassler","Europe/North America","Atomic","Great Engineer","adidas","Founder","Sporting Goods","Manufactured Luxury","Sporting Goods","Mass Production","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Robert Noyce","Europe/North America","Atomic","Great Engineer","Intel","Co-founder","Semiconductors","Functional Corporate Good","Semiconductors","Electronics","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Gordon Moore co-founder"
"Gordon Moore","Europe/North America","Atomic","Great Engineer","Intel","Co-founder","Semiconductors","Functional Corporate Good","Semiconductors","Electronics","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Robert Noyce co-founder"
"Jensen Huang","Europe/North America","Atomic","Great Engineer","NVIDIA","Co-founder","Semiconductors/Computing","Hybrid: Manufactured Luxury + Functional Corporate Good","Advanced Processors","Electronics","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Chris Malachowsky and Curtis Priem co-founders"
"Larry Ellison","Europe/North America","Atomic","Great Engineer","Oracle","Co-founder","Software","Functional Corporate Good","Enterprise Software","Computers","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Bob Miner and Ed Oates co-founders"
"Yataro Iwasaki","East Asia","Industrial","Great Merchant","Mitsubishi","Founder","Shipping/Trading","Service","Shipping & Trade Services","Steam Power","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Kiichiro Toyoda","East Asia","Modern","Great Engineer","Toyota Motor","Founder","Automotive","Hybrid: Manufactured Luxury + Functional Corporate Good","Automobiles","Combustion","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Soichiro Honda","East Asia","Atomic","Great Engineer","Honda Motor","Co-founder","Automotive/Engines","Hybrid: Manufactured Luxury + Functional Corporate Good","Automobiles/Motorcycles","Combustion","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Takeo Fujisawa co-founder"
"Namihei Odaira","East Asia","Modern","Great Engineer","Hitachi","Founder","Electrical Machinery","Functional Corporate Good","Electrical Equipment","Electricity","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Konosuke Matsushita","East Asia","Modern","Great Engineer","Panasonic","Founder","Consumer Electronics","Hybrid: Manufactured Luxury + Functional Corporate Good","Consumer Electronics","Electronics","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Masaru Ibuka","East Asia","Atomic","Great Engineer","Sony","Co-founder","Consumer Electronics/Media","Hybrid: Manufactured Luxury + Functional Corporate Good","Consumer Electronics","Electronics","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Akio Morita co-founder"
"Shojiro Ishibashi","East Asia","Modern","Great Engineer","Bridgestone","Founder","Tires/Rubber","Functional Corporate Good","Tires","Combustion","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Torakusu Yamaha","East Asia","Industrial","Great Engineer","Yamaha","Founder","Musical Instruments","Manufactured Luxury","Musical Instruments","Acoustics","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Koo In-hwoi","East Asia","Atomic","Great Merchant","Lucky/LG lineage","Founder","Chemicals/Consumer Goods","Functional Corporate Good","Consumer Goods / Electronics lineage","Chemistry","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Lee Byung-chul","East Asia","Modern","Great Merchant","Samsung group","Founder","Trading/Industry","Functional Corporate Good","Consumer Electronics lineage","Industrialization","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED at group level; do not call sole founder of Samsung Electronics"
"Pony Ma (Ma Huateng)","East Asia","Atomic","Great Engineer","Tencent","Co-founder","Digital Services","Service","Digital Platform Services","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; multiple co-founders"
"Jack Ma","East Asia","Atomic","Great Merchant","Alibaba","Co-founder","Commerce/Digital Marketplace","Service","E-commerce Services","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; 18-person founding team"
"Liu Chuanzhi","East Asia","Atomic","Great Engineer","Lenovo lineage","Founder; founding-team detail pending","Computing","Hybrid: Manufactured Luxury + Functional Corporate Good","Computers","Computers","Capitalism","REVIEW_COFOUNDER_DETAIL","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY SOURCE identifies company founder; co-founding team details require audit"
"Terry Gou","East Asia","Atomic","Great Engineer","Hon Hai/Foxconn","Founder","Electronics Manufacturing","Functional Corporate Good","Electronic Components","Electronics","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Stan Shih","East Asia","Atomic","Great Engineer","Acer","Co-founder","Computing","Hybrid: Manufactured Luxury + Functional Corporate Good","Computers","Computers","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED as co-founder"
"Jamsetji Tata","South Asia","Industrial","Great Merchant","Tata group","Founder","Trading/Textiles/Industry","Functional Corporate Good","Industrial Goods","Industrialization","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"J. C. Mahindra","South Asia","Modern","Great Merchant","Mahindra","Co-founder","Steel/Automotive","Hybrid: Manufactured Luxury + Functional Corporate Good","Industrial Goods/Automobiles","Steel","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; K.C. Mahindra and Ghulam Mohammed co-founders"
"K. C. Mahindra","South Asia","Modern","Great Merchant","Mahindra","Co-founder","Steel/Automotive","Hybrid: Manufactured Luxury + Functional Corporate Good","Industrial Goods/Automobiles","Steel","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; co-founder"
"Sunil Bharti Mittal","South Asia","Atomic","Great Merchant","Bharti","Founder","Telecommunications","Service","Telecom Services","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Dilip Shanghvi","South Asia","Atomic","Great Merchant","Sun Pharma","Founder","Pharmaceuticals","Functional Corporate Good","Pharmaceuticals","Biology","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Chia Ek Chor","Southeast Asia","Modern","Great Merchant","Charoen Pokphand","Co-founder","Agriculture/Food","Functional Corporate Good","Processed Food / Agricultural Inputs","Refrigeration","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Chia Seow Hui co-founder"
"Chia Seow Hui","Southeast Asia","Modern","Great Merchant","Charoen Pokphand","Co-founder","Agriculture/Food","Functional Corporate Good","Processed Food / Agricultural Inputs","Refrigeration","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; co-founder"
"Anthony Tan","Southeast Asia","Information","Great Merchant","Grab","Co-founder","Mobility/Digital Services","Service","Mobility Services","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Tan Hooi Ling co-founder"
"Tan Hooi Ling","Southeast Asia","Information","Great Engineer","Grab","Co-founder","Mobility/Digital Services","Service","Mobility Platform","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Anthony Tan co-founder"
"Mudassir Sheikha","Middle East","Information","Great Merchant","Careem","Co-founder","Mobility/Digital Services","Service","Mobility Services","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Magnus Olsson and Abdulla Elyas co-founders"
"Magnus Olsson","Middle East","Information","Great Engineer","Careem","Co-founder","Mobility/Digital Services","Service","Mobility Platform","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; co-founder"
"Fadi Ghandour","Middle East","Atomic","Great Merchant","Aramex","Founder","Logistics","Service","Logistics Services","Advanced Flight","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Aliko Dangote","Africa","Atomic","Great Merchant","Dangote Industries","Founder","Cement/Manufacturing","Functional Corporate Good","Construction Materials","Industrialization","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Strive Masiyiwa","Africa","Atomic","Great Engineer","Econet","Founder","Telecommunications","Service","Telecom Services","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Mo Ibrahim","Africa","Atomic","Great Engineer","Celtel","Founder","Telecommunications","Service","Telecom Services","Telecommunications","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Ozires Silva","Latin America","Atomic","Great Engineer","Embraer","Key creator / first managing director; not strict private founder","Aerospace","Functional Corporate Good","Aircraft","Flight","Capitalism","SPECIAL_CREATOR_NOT_STRICT_FOUNDER","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED as key creator/first managing director; company was state-created, so ""founder"" wording needs special handling"
"Lorenzo Servitje","Latin America","Modern","Great Merchant","Bimbo","Co-founder","Food/Bakery","Functional Corporate Good","Processed Food","Refrigeration","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; multiple co-founders"
"Thomas Edison","Europe/North America","Industrial","Great Engineer","Edison Electric Light / Edison General Electric lineage","Founder-lineage; do not label sole founder of modern GE","Electrical Equipment / Power","Functional Corporate Good","Electrical Equipment","Electricity","Capitalism","LOCK_CANDIDATE","https://edison.rutgers.edu/life-of-edison/companies/company-details/electric-light%2C-domestic/edison-electric-light-company","Edison electric-company lineage; modern GE formed through later consolidation."
"George Westinghouse","Europe/North America","Industrial","Great Engineer","Westinghouse Electric","Founder","Electrical Equipment / Power","Functional Corporate Good","Electrical Equipment","Electricity","Capitalism","LOCK_CANDIDATE","https://westinghousenuclear.com/about/history","Founder of Westinghouse Electric; strong AC/power engineering founder."
"Steve Jobs","Europe/North America","Atomic","Great Merchant","Apple","Co-founder","Personal Computing / Consumer Electronics","Hybrid: Manufactured Luxury + Functional Corporate Good","Personal Computers / Consumer Electronics","Computers","Capitalism","LOCK_CANDIDATE","https://guides.loc.gov/this-month-in-business-history/april/apple-computer-founded","Apple partnership also included Steve Wozniak and Ronald Wayne."
"Steve Wozniak","Europe/North America","Atomic","Great Engineer","Apple","Co-founder","Personal Computing / Consumer Electronics","Hybrid: Manufactured Luxury + Functional Corporate Good","Personal Computers / Consumer Electronics","Computers","Capitalism","LOCK_CANDIDATE","https://guides.loc.gov/this-month-in-business-history/april/apple-computer-founded","Technical co-founder; Ronald Wayne was also in original partnership."
"Bill Gates","Europe/North America","Atomic","Great Engineer","Microsoft","Co-founder","Software","Service","Software","Computers","Capitalism","LOCK_CANDIDATE","https://news.microsoft.com/microsoft-50/","Microsoft official history identifies Gates and Paul Allen as co-founders."
"Paul Allen","Europe/North America","Atomic","Great Engineer","Microsoft","Co-founder","Software","Service","Software","Computers","Capitalism","LOCK_CANDIDATE","https://news.microsoft.com/microsoft-50/","Microsoft official history identifies Gates and Allen as co-founders."
"Morris Chang","East Asia","Atomic","Great Engineer","TSMC","Founder","Semiconductor Foundry","Functional Corporate Good","Semiconductor Fabrication","Electronics","Capitalism","LOCK_CANDIDATE","https://www.tsmc.com/english/aboutTSMC/company_profile","TSMC official profile: established in 1987 by Dr. Morris Chang."
"Wang Chuanfu","East Asia","Atomic","Great Engineer","BYD","Founder","Batteries / Electric Vehicles","Hybrid: Functional Corporate Good + Manufactured Luxury","Battery Systems / Automobiles","Electronics","Capitalism","LOCK_CANDIDATE","https://media.byd.com/wang-chuanfu/?lang=eng","Electronics gate for founding-era battery industry; Advanced Power Cells can be later upgrade synergy."
"Dhirubhai Ambani","South Asia","Atomic","Great Merchant","Reliance","Founder","Textiles / Petrochemicals","Hybrid: Manufactured Luxury + Functional Corporate Good","Textiles / Petrochemical Products","Mass Production","Capitalism","LOCK_CANDIDATE","https://www.ril.com/about/our-history","Reliance official history identifies Dhirubhai H. Ambani as Founder-Chairman."
"Sam Walton","Europe/North America","Atomic","Great Merchant","Walmart","Founder","Retail / Distribution","Service","Retail Distribution","Mass Production","Capitalism","LOCK_CANDIDATE","https://corporate.walmart.com/about/history","Founder of Walmart retail model."
"Phil Knight","Europe/North America","Atomic","Great Merchant","Nike","Co-founder","Sporting Goods / Apparel","Manufactured Luxury","Sporting Goods","Mass Production","Capitalism","LOCK_CANDIDATE","https://about.nike.com/en/magazine/the-handshake-that-started-it-all","Blue Ribbon Sports/Nike partnership with Bill Bowerman."
"Bill Bowerman","Europe/North America","Atomic","Great Engineer","Nike","Co-founder","Sporting Goods / Footwear","Manufactured Luxury","Sporting Goods","Mass Production","Capitalism","LOCK_CANDIDATE","https://about.nike.com/en/magazine/the-handshake-that-started-it-all","Technical product/footwear innovator and co-founder."
"Frederick W. Smith","Europe/North America","Atomic","Great Merchant","FedEx","Founder","Logistics / Express Delivery","Service","Express Logistics","Advanced Flight","Capitalism","LOCK_CANDIDATE","https://www.fedex.com/en-us/about/history.html","FedEx official history identifies Smith as founder of Federal Express."
"A.P. Møller","Europe/North America","Modern","Great Merchant","Maersk","Co-founder","Shipping / Logistics","Service","Ocean Shipping / Logistics","Steam Power","Capitalism","LOCK_CANDIDATE","https://www.maersk.com/about/our-history/explore-our-history","Founded Steamship Company Svendborg with father Peter Mærsk Møller."
"William Boeing","Europe/North America","Modern","Great Engineer","Boeing","Founder","Aerospace","Functional Corporate Good","Aircraft","Flight","Capitalism","LOCK_CANDIDATE","https://www.boeing.com/features/2026/02/how-william-boeings-foresight-kept-the-company-close-to-dc","Formed Pacific Aero Products in 1916, renamed Boeing Airplane Company."
"Cornelius Vander Starr","Europe/North America","Modern","Great Merchant","AIG lineage","Founder-lineage","Insurance","Service","Insurance Services","Banking","Capitalism","LOCK_CANDIDATE","https://www.aig.com/about-us/history/timeline","AIG roots trace to Starr's 1919 Shanghai insurance enterprise."
"Marcos Galperin","Latin America","Atomic","Great Merchant","Mercado Libre","Co-founder","E-commerce / Digital Marketplace","Service","E-commerce Services","Telecommunications","Capitalism","LOCK_CANDIDATE","https://investor.mercadolibre.com/about-meli","Mercado Libre investor materials identify Galperin as co-founder."
"David Vélez","Latin America","Information","Great Merchant","Nubank","Founder","Fintech / Banking","Service","Digital Banking","Computers","Capitalism","LOCK_CANDIDATE","https://blog.nubank.com.br/nubank-100-million-customers/","Nubank founder; Cristina Junqueira and Edward Wible are co-founders."
"Cristina Junqueira","Latin America","Information","Great Merchant","Nubank","Co-founder","Fintech / Banking","Service","Digital Banking","Computers","Capitalism","LOCK_CANDIDATE","https://blog.nubank.com.br/nubank-100-million-customers/","Nubank official source identifies Junqueira as co-founder."
"Melanie Perkins","Oceania","Information","Great Merchant","Canva","Co-founder","Software / Design Platform","Service","Design Software","Computers","Capitalism","LOCK_CANDIDATE","https://www.canva.com/impact-2025/","Canva co-founder; co-founding team includes Cliff Obrecht and Cameron Adams."
"Nadiem Makarim","Southeast Asia","Information","Great Merchant","Gojek","Founder","Mobility / Digital Services","Service","Mobility Platform","Telecommunications","Capitalism","LOCK_CANDIDATE","https://www.gojek.com/blog/gojek/co-ceo-gojek","Gojek first-party history identifies Nadiem Makarim as founder."
"Tony Tan Caktiong","Southeast Asia","Atomic","Great Merchant","Jollibee","Founder / family founding team","Food Service","Service","Restaurant / Food Services","Refrigeration","Capitalism","LOCK_CANDIDATE","https://www.jollibeegroup.com/history-milestones/","Jollibee history traces founding to Tony Tan Caktiong with family participation."
"Suh Sung-whan","East Asia","Modern","Great Merchant","Amorepacific","Founder","Cosmetics","Manufactured Luxury","Cosmetics","Chemistry","Capitalism","LOCK_CANDIDATE","https://stories.amorepacific.com/en/amorepacific-marks-its-70th-anniversary-and-unveils-plans-to-become-a-great-global-brand-company-bringing-asian-beauty-to-the-world/","Amorepacific first-party history identifies Suh Sung-whan as founder."
"Shin Kyuk-ho","East Asia","Atomic","Great Merchant","Lotte","Founder","Confectionery / Retail","Manufactured Luxury","Confectionery","Refrigeration","Capitalism","LOCK_CANDIDATE","https://www.lotte.co.kr/upload/brochure/2018_lotte_brochure_en.pdf","Lotte corporate material identifies Shin as founder of Lotte Confectionery lineage."
"Lee Hae-jin","East Asia","Atomic","Great Engineer","NAVER","Founder","Internet / Search / Digital Services","Service","Search / Portal Services","Computers","Capitalism","LOCK_CANDIDATE","https://www.navercorp.com/en/investment/corporateGovernance","NAVER governance materials identify Lee Hae-jin as founder."
"Kim Beom-su","East Asia","Information","Great Engineer","Kakao","Founder","Messaging / Digital Platform","Service","Messaging / Platform Services","Telecommunications","Capitalism","LOCK_CANDIDATE","https://www.kakaocorp.com/upload_resources/ir/event/ir_event_20150225070736.pdf","Kakao investor material identifies Beom Su Kim as founder."
"Chung Ju-yung","East Asia","Atomic","Great Merchant","Hyundai Motor Company / Hyundai lineage","Founder / founding chairman","Automotive / Construction","Hybrid: Manufactured Luxury + Functional Corporate Good","Automobiles","Combustion","Capitalism","LOCK_CANDIDATE","https://www.hyundai.com/worldwide/en/newsroom/detail/hyundai-motor-group-hosts-memorial-concert-marking-25th-anniversary-of-founding-chairman-ju-yung-chung%25E2%2580%2599s-passing-0000001130","Hyundai first-party material identifies Chung Ju-yung as founding chairman."
"Miguel Krigsner","Latin America","Atomic","Great Merchant","O Boticário","Founder","Cosmetics / Retail","Manufactured Luxury","Cosmetics","Chemistry","Capitalism","LOCK_CANDIDATE","https://www.grupoboticario.com.br/en/grupo-boticario/","Grupo Boticário history identifies Miguel Krigsner as founder."
