SECTOR_ID,SECTOR_NAME,BASE_TECH_GATE,UPGRADE_TECH,INPUTS,OUTPUT_CLASS,PRODUCT_SERVICE,SUPPLY_MODEL,PRIMARY_EFFECTS,TRADE_BEHAVIOR,FOUNDER_COUNT,FOUNDERS
"PETROLEUM_REFINING","Petroleum Refining","Refining","","Oil","Functional Corporate Good","Refined Petroleum Products","Quantity production and city consumption","Production; logistics; modern infrastructure","Bulk domestic allocation and export","1","John D. Rockefeller"
"CHEMICALS_MATERIALS","Chemicals & Industrial Materials","Chemistry","Fertilizer","Oil; Salt; Dyes and other chemical feedstocks","Functional Corporate Good","Industrial Chemicals; Fertilizer subline","Quantity production and city consumption","Production; farm productivity via fertilizer; advanced industry","Industrial input trade","5","Herbert H. Dow; Johann Friedrich Weskott; Friedrich Bayer; Charles Pfizer; Koo In-hwoi"
"PHARMACEUTICALS","Pharmaceuticals","Biology","Penicillin","Chemical/biological inputs","Functional Corporate Good","Pharmaceuticals","Quantity production and city consumption","Growth/Health; healing; Science","High-value trade with health demand","2","Fritz Hoffmann-La Roche; Dilip Shanghvi"
"STEEL_HEAVY_MATERIALS","Steel & Heavy Materials","Steel","","Iron; Coal","Functional Corporate Good","Steel Products","Quantity production and city consumption","Production; construction; advanced units","Bulk industrial trade","3","J. C. Mahindra; K. C. Mahindra; Lakshmi Mittal"
"CONSTRUCTION_MATERIALS","Construction Materials","Industrialization","Steel","Stone; Steel Products","Functional Corporate Good","Construction Materials","Quantity production and city consumption","Building/infrastructure Production","Mostly regional bulk trade","1","Aliko Dangote"
"MINING_EXTRACTIVES","Mining & Extractive Materials","Dynamite","Railroad","Map mineral deposits","Functional Corporate Good","Mineral Concentrates / Mining Services","Mine-linked production","Resource extraction efficiency; Production; Gold","Rail/port export oriented","1","Patrice Motsepe"
"MACHINERY_COMPONENTS","Machinery & Precision Components","Replaceable Parts","Electronics","Steel Products; industrial capacity","Functional Corporate Good","Machine Tools; Precision Components; Tires/Components","Quantity production and city consumption","Production; factory efficiency; vehicle/unit efficiency","Industrial supply-chain trade","3","Robert Bosch; John Deere; Shojiro Ishibashi"
"AUTOMOTIVE","Automotive Manufacturing","Mass Production","Combustion","Steel Products; Refined Petroleum Products; components","Hybrid: Manufactured Luxury + Functional Corporate Good","Automobiles","Physical product supply","Amenities category; logistics; Production; Gold","Strong brand exports; no infinite Amenity stacking","5","Carl Benz; Henry Ford; Kiichiro Toyoda; Soichiro Honda; Chung Ju-yung"
"BATTERIES_ELECTRIFIED_MOBILITY","Batteries & Electrified Mobility","Electronics","Advanced Power Cells","Electrical materials; electronics","Functional Corporate Good","Battery Systems; electric-mobility components","Quantity production and city consumption","Science; Production; later clean-mobility efficiency","Advanced industrial export","1","Wang Chuanfu"
"ELECTRICAL_EQUIPMENT","Electrical Equipment & Power Systems","Electricity","","Copper; Aluminum; industrial materials","Functional Corporate Good","Electrical Equipment","Quantity production and city consumption","Production; Science; infrastructure efficiency","Industrial network trade","5","Werner von Siemens; Gerard Philips; Namihei Odaira; Thomas Edison; George Westinghouse"
"ELECTRONICS_MANUFACTURING","Electronics Manufacturing","Electronics","Robotics","Electronic materials/components","Functional Corporate Good","Electronic Components","Quantity production and city consumption","Production; Science; electronics supply capacity","Global supply-chain exports","1","Terry Gou"
"CONSUMER_ELECTRONICS","Consumer Electronics","Electronics","Computers","Electronic Components","Hybrid: Manufactured Luxury + Functional Corporate Good","Consumer Electronics; Smart Devices","Physical product supply","Amenities; Science; Gold","Brand exports and information-access benefits","6","Konosuke Matsushita; Masaru Ibuka; Steve Jobs; Steve Wozniak; Min-Liang Tan; Cher Wang"
"COMPUTING_HARDWARE","Computing Hardware","Computers","Robotics","Electronic Components; Semiconductors","Hybrid: Manufactured Luxury + Functional Corporate Good","Computers","Physical product supply","Science; Production; Gold; limited Amenity","Advanced global trade","2","Liu Chuanzhi; Stan Shih"
"SEMICONDUCTORS","Semiconductors","Electronics","Computers","Advanced electronic materials","Functional Corporate Good","Semiconductors; Advanced Processors","Quantity production and city consumption","Science; Production; advanced-unit enabling","Strategic high-value supply chain","4","Robert Noyce; Gordon Moore; Jensen Huang; Morris Chang"
"TELECOMMUNICATIONS","Telecommunications","Telegraph","Telecommunications","Electrical/electronic equipment","Hybrid: Functional Corporate Good + Service","Telecom Equipment / Network Service","Network coverage","Science; Gold; communication/trade efficiency","Network effects and foreign coverage","4","Lars Magnus Ericsson; Sunil Bharti Mittal; Strive Masiyiwa; Mo Ibrahim"
"SOFTWARE_IT","Software & IT Services","Computers","","Computing access","Service","Software; Enterprise IT; Cybersecurity","Network/license coverage","Science; Production; Gold; administration efficiency","Low-bulk global service exports","5","Larry Ellison; Bill Gates; Paul Allen; Melanie Perkins; Gil Shwed"
"DIGITAL_PLATFORMS","Digital Platforms & E-commerce","Telecommunications","Computers","Telecommunications/computing network","Service","E-commerce; Search; Messaging; Mobility Platforms","Network coverage","Gold; trade distribution; Science; urban service efficiency","Strong network effects and foreign-market reach","12","Pony Ma (Ma Huateng); Jack Ma; Anthony Tan; Tan Hooi Ling; Mudassir Sheikha; Magnus Olsson; Marcos Galperin; Nadiem Makarim; Lee Hae-jin; Kim Beom-su; Forrest Li; William Tanuwijaya"
"SHIPPING_LOGISTICS","Shipping & Logistics","Steam Power","Railroad; Advanced Flight","Ports; transport infrastructure; fuel","Service","Ocean Shipping; Parcel/Express Logistics","Route/network coverage","Trade-route capacity; movement/logistics; Gold","Extends functional-good and branch supply range","5","Yataro Iwasaki; Fadi Ghandour; Frederick W. Smith; A.P. Møller; Jim Casey"
"AEROSPACE","Aerospace Manufacturing","Flight","Advanced Flight","Aluminum; Steel; Precision Components","Functional Corporate Good","Aircraft","Quantity production and city consumption","Production; long-range logistics; aviation capacity","High-value strategic exports","2","Ozires Silva; William Boeing"
"CULTURAL_GOODS","Cultural Manufactured Goods","Acoustics","","Industrial materials","Manufactured Luxury","Musical Instruments","Physical product supply","Amenities; Culture; Great Musician synergy","Cultural/brand exports","1","Torakusu Yamaha"
"MEDIA_FILM_ENTERTAINMENT","Film, Media & Entertainment","PENDING_FILM_TECH_DECISION","Radio","Creative works; media network","Service","Film / Entertainment Distribution","Branch/network coverage","Culture; Tourism; Great Director ecosystem","Global cultural distribution; founder pool deferred","0",""
"AIRLINES_TRAVEL","Airlines & Travel","Advanced Flight","","Aircraft; airport access; fuel","Service","Air Travel Services","Route/network coverage","Tourism; trade connectivity; movement","International route network; founder pool deferred","0",""
