"CIVIC_EN","PROJECT_ERA","FINAL_UNLOCKS_SYSTEMS","POLICY_CANDIDATES","NOTES","QA_STATUS","SUMMARY_SOURCE"
"Opera and Ballet","Enlightenment","Opera/Ballet institution upgrade with Acoustics","Grand Opera; Symphonies","Bolshoi Theatre deferred","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Natural History","Enlightenment","Antiquity Sites; Archaeologist; Archaeological Museum; Zoo; artifact system","","Art Museum remains Humanism; generic EE Museum merged into Art/Archaeological museum split","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Constitutionalism","Enlightenment","Constitutional Government","Separation of Powers; Bill of Rights","Government variants deferred to government-roster audit","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Public Sphere","Enlightenment","Newspaper Office with Printing; Public Debate/Public Opinion","Pamphleteering; Coffeehouse Debate candidate","No universal Coffeehouse building; later feeds Mass Media","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Civil Engineering","Industrial","Public Works; Hill Farms; Canal with Steam Power; Sewer with Sanitation","Skyscrapers","Builder-charge concepts converted to Civ V Worker efficiency","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Nationalism","Industrial","Corps/Fleets; Colonial War; Infantry with Replaceable Parts","Grande Armée; National Identity","National mass-army institution","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Scorched Earth","Industrial","Total War; Military Organization","Expropriation candidate","+2 Envoys dropped as unrelated","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Urbanization","Industrial","Urban Housing/Neighborhood system; Food Market with Replaceable Parts; Public Health with Sanitation","Public Transport","Neighborhood district removed; Health & Plague connectivity risk integrated","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Conservation","Industrial","Naturalist; National Parks; reforestation; old-growth appeal; Sanctuary","Resource Management","Preserve district removed; Grove -> Sanctuary nature-building chain; Worker plants woods","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Mass Media","Industrial","Mass Circulation Media with Telegraph; Broadcast Center later with Radio","Propaganda","Broadway/Cristo Redentor deferred","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Capitalism","Industrial","Corporate Founding Permission; Shopping Mall with Mass Production; corporate investment/branch expansion","Laissez-Faire; Market Economy","All corporation sectors still require their technology gate","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Romanticism","Industrial","Romantic Landscape Aesthetics; upgrades/merges Art Museum and Zoo concepts","","EE Gallery/Menagerie/Surveyor merged into existing systems; Crystal Palace deferred","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Labor Movement","Industrial","Organized Labor Movement","Collective Bargaining; Factory Acts","Union Hall and strike mechanics deferred pending economy balance","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Mobilization","Modern","Armies/Armadas; Territorial Expansion War; Paratrooper with Advanced Flight; Supply Convoy with Combustion","Levée en Masse","Nationalism already provides Corps/Fleets","OK","civics_reference/civic_unlock_summary_modern_v1_part_a.csv"
"Ideology","Modern","Ideological War; extra Spy","Gunboat Diplomacy","Shared ideological layer: Five-Year Plan -> Class Struggle, Lightning Warfare/Police State -> Totalitarianism, Economic Union -> Suffrage; Tier-3 government buildings deferred","OK","civics_reference/civic_unlock_summary_modern_v1_part_a.csv"
"Suffrage","Modern","Democracy; expanded political participation; Tier-3 government building choice eligibility","New Deal; Economic Union; Their Finest Hour; Arsenal of Democracy","District thresholds converted to Civ V-style city conditions","OK","civics_reference/civic_unlock_summary_modern_v1_part_a.csv"
"Totalitarianism","Modern","Fascism; Tier-3 government building choice eligibility","Lightning Warfare; Martial Law; Third Alternative; Police State","Ideology branch cleaned so coercive/armored policies live here","OK","civics_reference/civic_unlock_summary_modern_v1_part_b.csv"
"Class Struggle","Modern","Communism; Tier-3 government building choice eligibility","Collectivization; Defense of the Motherland; Five-Year Plan; Patriotic War candidate","Five-Year Plan moved out of generic Ideology","OK","civics_reference/civic_unlock_summary_modern_v1_part_b.csv"
"Professional Sports","Modern","Stadium; Aquatics Center; Ski Resort; Professional Sports League","Sports Media","Stadium moved here from Civ5 Refrigeration; Ice Hockey Rink remains Canada unique","OK","civics_reference/civic_unlock_summary_modern_v1_part_b.csv"
"Nuclear Program","Atomic","Manhattan Project with Nuclear Fission; Missile Silo with Guidance Systems","Science Foundations; Nuclear Espionage","Nuclear weapons require technology + state program","OK","civics_reference/civic_unlock_summary_atomic_v1_part_a.csv"
"Cultural Heritage","Atomic","Shipwreck reveal; cultural-heritage protection; +3 Envoys","Heritage Tourism","Unique-improvement bonuses remain civilization-specific","OK","civics_reference/civic_unlock_summary_atomic_v1_part_a.csv"
"Cold War","Atomic","Nuclear Submarine with Nuclear Fission; Rock Band; merged extra Spy capacity with Computers","Cryptography; Containment; International Waters; Second Strike Capability","Amundsen-Scott deferred; nuclear deterrence policies require fission capability","OK","civics_reference/civic_unlock_summary_atomic_v1_part_a.csv"
"Rapid Deployment","Atomic","Global Airlift with Radar/Airports; Spec Ops with Radar","Military First; After Action Reports","No Aerodrome district; Airports provide airlift endpoints","OK","civics_reference/civic_unlock_summary_atomic_v1_part_b.csv"
"Space Race","Atomic","Space Launch Center with Rocketry; Orbital Satellite Network; Moon Landing; SS Engine","Integrated Space Cell; Satellite Broadcasts; Music Censorship","Spaceport district converted to one-per-civ Space Launch Center","OK","civics_reference/civic_unlock_summary_atomic_v1_part_b.csv"
"Environmentalism","Atomic","Renewable Energy Transition; environmental Tourism bonus; Flood Barrier/Solar/Wind/Geothermal cross-gates","","Civ6 +25% Tourism concept retained; pollution regulation integrated","OK","civics_reference/civic_unlock_summary_atomic_v1_part_b.csv"
"Globalization","Information","Global Trade Network with Telecommunications","Strategic Air Force; International Space Agency; Ecommerce","Plantation Gold dropped; Governor title deferred","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Social Media","Information","Networked Public Sphere with Telecommunications","Online Communities; Collective Activism; Communications Office","Governor title deferred","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Near Future Governance","Information","Late-game Governance Capacity; +3 Envoys","","Governor title deferred; gateway to Tier-4 governments","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Venture Politics","Information","Corporate Libertarianism","","District-based production effects translated to economic/military city buildings; science penalty deferred","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Distributed Sovereignty","Information","Digital Democracy","","Digital participation bonuses adapted; combat penalty deferred","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Optimization Imperative","Information","Synthetic Technocracy","","Power/project-production bonuses cross-gated with Advanced Power Cells/Predictive Systems; tourism penalty deferred","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Information Warfare","Information","Cyber/Information Operations with Advanced AI; military network coordination","Integrated Attack Logistics; Rabblerousing","Civ6 policies retained; GDR-only effect generalized because GDR is optional","OK","civics_reference/civic_unlock_summary_information_v1_part_b.csv"
"Global Warming Mitigation","Information","Carbon Recapture with Ecology; carbon accounting/mitigation; +3 Envoys","","Diplomatic Victory point dropped unless project later adopts that victory system","OK","civics_reference/civic_unlock_summary_information_v1_part_b.csv"
"Cultural Hegemony","Information","Global Cultural Influence","Hallyu; Non-State Actors","Rock Band/Spy promotion concepts retained","OK","civics_reference/civic_unlock_summary_information_v1_part_b.csv"
"Smart Power Doctrine","Information","Smart Power Strategy; alliance/coalition leverage","Diplomatic Capital; Global Coalition","Direct Civ6 future-civic content used to fill sparse node","OK","civics_reference/civic_unlock_summary_information_v1_part_b.csv"
"Exodus Imperative","Information","Exodus Program; all Offworld Mission projects","Aerospace Contractors; Space Tourism","Spaceport references converted to Space Launch Center","OK","civics_reference/civic_unlock_summary_information_v1_part_b.csv"
"Future Civic","Information","Repeatable Future Civic; +50 Diplomatic Favor per completion","","Governor Title deferred; Score Victory reward dropped","OK","civics_reference/civic_unlock_summary_information_v1_part_b.csv"
