"CIVIC_EN","CIVIC_KO","PROJECT_ERA","ERA_ORDER","ERA_NODE_COUNT","CULTURE_COST_PROVISIONAL","ERA_COST_MIN","ERA_COST_MAX","COST_STATUS","BASIS"
"Recorded History","역사 기록","Classical","5","5","330","140","330","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Defensive Tactics","방어술","Late Antiquity","1","4","420","420","600","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Theology","신학","Late Antiquity","2","4","480","420","600","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Naval Tradition","해군 전통","Late Antiquity","3","4","540","420","600","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Civil Service","공무원 제도","Late Antiquity","4","4","600","420","600","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Feudalism","봉건제","Early Medieval","1","4","650","650","900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Mercenaries","용병","Early Medieval","2","4","735","650","900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Written Culture","문자문화","Early Medieval","3","4","815","650","900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Court Culture","궁정 문화","Early Medieval","4","4","900","650","900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Medieval Faires","중세 시장","High Medieval","1","4","1000","1000","1400","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Guilds","길드","High Medieval","2","4","1135","1000","1400","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Divine Right","왕권신수설","High Medieval","3","4","1265","1000","1400","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Scholasticism","스콜라주의","High Medieval","4","4","1400","1000","1400","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Humanism","인본주의","Renaissance","1","4","1550","1550","2000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Diplomatic Service","외교부","Renaissance","2","4","1700","1550","2000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Patronage","후원","Renaissance","3","4","1850","1550","2000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Print Culture","인쇄문화","Renaissance","4","4","2000","1550","2000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Exploration","탐험","Exploration","1","6","2200","2200","2900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Reformed Church","개혁 교회","Exploration","2","6","2340","2200","2900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Mercantilism","중상주의","Exploration","3","6","2480","2200","2900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Colonialism","식민주의","Exploration","4","6","2620","2200","2900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Scientific Revolution","과학혁명","Exploration","5","6","2760","2200","2900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Sovereignty","주권","Exploration","6","6","2900","2200","2900","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"The Enlightenment","계몽주의","Enlightenment","1","5","3300","3300","4000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Opera and Ballet","오페라와 발레","Enlightenment","2","5","3475","3300","4000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Natural History","자연사","Enlightenment","3","5","3650","3300","4000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Constitutionalism","헌정주의","Enlightenment","4","5","3825","3300","4000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Public Sphere","공론장","Enlightenment","5","5","4000","3300","4000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Civil Engineering","토목 공학","Industrial","1","9","4700","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Nationalism","민족주의","Industrial","2","9","4925","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Scorched Earth","초토화","Industrial","3","9","5150","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Urbanization","도시화","Industrial","4","9","5375","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Conservation","보존","Industrial","5","9","5600","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Mass Media","대중 매체","Industrial","6","9","5825","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Capitalism","자본주의","Industrial","7","9","6050","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Romanticism","낭만주의","Industrial","8","9","6275","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Labor Movement","노동운동","Industrial","9","9","6500","4700","6500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Mobilization","동원령","Modern","1","6","7600","7600","9500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Ideology","이데올로기","Modern","2","6","7980","7600","9500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Suffrage","참정권","Modern","3","6","8360","7600","9500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Totalitarianism","전체주의","Modern","4","6","8740","7600","9500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Class Struggle","계급 투쟁","Modern","5","6","9120","7600","9500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Professional Sports","프로 스포츠","Modern","6","6","9500","7600","9500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Nuclear Program","핵 프로그램","Atomic","1","5","10500","10500","12500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Cultural Heritage","문화 유산","Atomic","2","5","11000","10500","12500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Cold War","냉전","Atomic","3","5","11500","10500","12500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Rapid Deployment","신속한 배치","Atomic","4","5","12000","10500","12500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Space Race","우주 경쟁","Atomic","5","5","12500","10500","12500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Environmentalism","환경주의","Information","1","7","14500","14500","17500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Globalization","세계화","Information","2","7","15000","14500","17500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Social Media","소셜 미디어","Information","3","7","15500","14500","17500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Near Future Governance","근미래 통치","Information","4","7","16000","14500","17500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Venture Politics","벤처 정치","Information","5","7","16500","14500","17500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Distributed Sovereignty","분산 주권","Information","6","7","17000","14500","17500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Optimization Imperative","최적화 명령","Information","7","7","17500","14500","17500","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Information Warfare","정보전","Future","1","6","20000","20000","23000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Global Warming Mitigation","지구온난화 완화","Future","2","6","20600","20000","23000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Cultural Hegemony","문화적 패권","Future","3","6","21200","20000","23000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Smart Power Doctrine","스마트 파워 독트린","Future","4","6","21800","20000","23000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Exodus Imperative","강제 대이동","Future","5","6","22400","20000","23000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Future Civic","미래 사회제도","Future","6","6","23000","20000","23000","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
