"POLICY_EN","PROJECT_ERA","CIVIC_EN","DECISION","SOURCE_KIND","SOURCE","SOURCE_UNLOCK","QUALITATIVE_EFFECT","ADAPTATION_NOTES","NUMERIC_STATUS","SOURCE_FILE","RECORD_ID","POLICY_SLOT","FINAL_EFFECT"
"Feudal Contract","Early Medieval","Feudalism","KEEP","CIV6","Civ6 GS","Feudalism","Direct Civ6 Feudalism military-production policy retained","Feudal Contract; exact eligible unit eras later","LOCKED_V1","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv","EC002","Military","+50% Production toward Ancient through Renaissance melee, ranged, and anti-cavalry units"
"Serfdom","Early Medieval","Feudalism","ADAPT","CIV6","Civ6 GS","Feudalism","Civ VI Builder-charge effect must be converted because project uses Civ V Workers","Candidate: faster Worker improvement construction rather than extra charges","LOCKED_V1","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv","EC003","Economic","Workers construct tile improvements 25% faster"
"Professional Army","Early Medieval","Mercenaries","KEEP","CIV6","Civ6 GS","Mercenaries","Unit-upgrade discount policy directly matches mercenary/professional military organization","Numeric discount can follow source initially then balance","LOCKED_V1","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv","EC006","Military","Gold cost to upgrade units -50%"
"Retinues","Early Medieval","Mercenaries","KEEP","CIV6","Civ6 GS","Mercenaries","Strategic-resource discount for upgrades fits retinue organization","","LOCKED_V1","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv","EC007","Military","Strategic-resource cost to upgrade units -50%"
"Sack","Early Medieval","Mercenaries","KEEP","CIV6","Civ6 GS","Mercenaries","Pillage-oriented military policy","Convert district references to city/tile infrastructure","LOCKED_V1","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv","EC008","Military","Pillage yields from city-linked infrastructure, roads, forts, and port infrastructure +100%"
"Trade Confederation","Early Medieval","Mercenaries","KEEP","CIV6","Civ6 GS","Mercenaries","International trade Science/Culture policy","","LOCKED_V1","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv","EC009","Economic","International Trade Routes provide +1 Science and +1 Culture"
"Manuscript Patronage","Early Medieval","Written Culture","KEEP","PROJECT_HISTORICAL","Project addition","Written Culture","Project policy retained to give Written Culture a manuscript patronage/cultural-production role","Manuscript Patronage; Culture/Great Writer effect, exact value later","LOCKED_V1","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv","EC016","Wildcard","Scriptorium and Woodblock Printing House each provide +1 Culture; +1 Great Writer Point per turn"
"Chivalry","High Medieval","Divine Right","KEEP","CIV6","Civ6 GS","Divine Right","Heavy/light cavalry production policy","Mounted units themselves remain tech-gated","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC017","",""
"Gothic Architecture","High Medieval","Divine Right","KEEP","CIV6","Civ6 GS","Divine Right","Wonder-construction policy; exact production percentage later","","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC018","",""
"Craftsmen","High Medieval","Guilds","ADAPT","CIV6","Civ6 GS","Guilds","Convert Industrial Zone adjacency bonus into Workshop/industrial-building production efficiency","","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC010","",""
"Town Charters","High Medieval","Guilds","ADAPT","CIV6","Civ6 GS","Guilds","Convert Commercial Hub adjacency bonus into Market/urban-commerce bonuses","","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC011","",""
"Traveling Merchants","High Medieval","Guilds","KEEP","CIV6","Civ6 GS","Guilds","Great Merchant generation policy transfers cleanly","","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC012","",""
"Aesthetics","High Medieval","Medieval Faires","ADAPT","CIV6","Civ6 GS","Medieval Faires","Convert Theater Square adjacency into bonuses for Amphitheater, Writers' Guild, Artists' Guild and cultural city buildings","Exact formula later","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC002","",""
"Medina Quarter","High Medieval","Medieval Faires","ADAPT","CIV6","Civ6 GS","Medieval Faires","Replace district-count condition with developed-city/building threshold under Civ V city structure","Housing effect retained conceptually","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC003","",""
"Merchant Confederation","High Medieval","Medieval Faires","KEEP","CIV6","Civ6 GS","Medieval Faires","City-state envoy Gold policy transfers cleanly to civic system","","TBD_NUMERIC_BALANCE","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv","HC004","",""
"Machiavellianism","Renaissance","Diplomatic Service","KEEP","CIV6","Civ6 GS","Diplomatic Service","Espionage policy transfers cleanly","","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC012","",""
"Wisselbanken","Renaissance","Diplomatic Service","KEEP","CIV6","Civ6 GS","Diplomatic Service","Alliance trade policy transfers cleanly","","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC013","",""
"Frescoes","Renaissance","Humanism","KEEP","CIV6","Civ6 GS","Humanism","Great Artist generation policy transfers cleanly","Adapt district references to Art Museum/cultural buildings","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC003","",""
"Invention","Renaissance","Humanism","ADAPT","CIV6","Civ6 GS","Humanism","Great Engineer generation policy retained; district references converted to Workshops/production buildings","","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC004","",""
"Cultural Diplomacy","Renaissance","Patronage","KEEP","CIV5","Civ5 Patronage","Cultural Diplomacy","City-state resource/luxury benefits and cultural relations fit this civic","Exact resource/happiness values later","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC018","",""
"Merchant Confederacy","Renaissance","Patronage","KEEP","CIV5","Civ5 BNW Patronage","Merchant Confederacy","Trade routes with city-states gain Gold","Exact +2 Gold may be tuned","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC019","",""
"Philanthropy","Renaissance","Patronage","KEEP","CIV5","Civ5 Patronage","Philanthropy","Gold gifts produce more city-state influence","Exact 25% not locked","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC017","",""
"Vernacular Print","Renaissance","Print Culture","KEEP","PROJECT_HISTORICAL","Historical/project addition","Print Culture","Project Print Culture policy retained for vernacular literacy and cultural diffusion","Vernacular Print; exact Culture/literacy effect later","TBD_NUMERIC_BALANCE","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv","RC023","",""
"Colonial Taxes","Exploration","Colonialism","KEEP","CIV6","Civ6 GS","Colonialism","Historical colonial fiscal policy candidate","Exact yields later","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC023","",""
"Native Conquest","Exploration","Colonialism","KEEP","CIV6","Civ6 GS","Colonialism","Historical conquest/extraction policy candidate","Handle neutrally; exact rewards and penalties require colonial-system balance","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC025","",""
"Raj","Exploration","Colonialism","KEEP","CIV6","Civ6 GS","Colonialism","Indirect-rule/city-state policy candidate","Exact yields later","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC024","",""
"Maritime Infrastructure","Exploration","Exploration","KEEP","CIV5","Civ5 BNW Exploration","Maritime Infrastructure","Coastal-city production policy fits the civic","Exact +3 Production not locked","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC005","",""
"Logistics","Exploration","Mercantilism","KEEP","CIV6","Civ6 GS","Mercantilism","Movement/logistics policy retained","Exact effect later","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC016","",""
"Triangular Trade","Exploration","Mercantilism","KEEP","CIV6","Civ6 GS","Mercantilism","Historical trade-route policy retained as source content","Exact yields later","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC017","",""
"Religious Orders","Exploration","Reformed Church","KEEP","CIV6","Civ6 GS","Reformed Church","Religious-unit strength policy","Exact +5 value can be balanced later","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC012","",""
"Simultaneum","Exploration","Reformed Church","ADAPT","CIV6","Civ6 GS","Reformed Church","Convert Holy Site adjacency/population conditions into Temple/religious-building conditions under Civ V city structure","","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC013","",""
"Wars of Religion","Exploration","Reformed Church","KEEP","CIV6","Civ6 GS","Reformed Church","Religion-linked military policy","","TBD_NUMERIC_BALANCE","tech_reference/exploration_tech_civic_unlock_audit_v1.csv","XC011","",""
"Bill of Rights","Enlightenment","Constitutionalism","KEEP","PROJECT_HISTORICAL","Historical/project addition","Constitutionalism","Bill of Rights retained as the rights/legitimacy policy of Constitutionalism","Exact Amenity/loyalty/stability effect later","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC020","",""
"Separation of Powers","Enlightenment","Constitutionalism","KEEP","PROJECT_HISTORICAL","Historical/project addition","Constitutionalism","Separation of Powers is retained as a Constitutionalism policy; exact government-efficiency/stability modifier is numerical balance","Qualitative policy locked","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC019","",""
"Grand Opera","Enlightenment","Opera and Ballet","ADAPT","CIV6","Civ6 GS","Opera and Ballet","Convert Theater Square conditions into Opera House/Museum cultural-building output","","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC006","",""
"Symphonies","Enlightenment","Opera and Ballet","ADAPT","CIV6","Civ6 GS","Opera and Ballet","Great Musician generation boost should apply to Musicians' Guild and later Broadcast Center","","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC007","",""
"Coffeehouse Debate","Enlightenment","Public Sphere","KEEP","PROJECT_HISTORICAL","Historical/project addition","Public Sphere","Coffeehouse Debate retained as a Public Sphere knowledge-exchange policy rather than a universal building","Science/Culture/Great Person interaction; exact value later","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC025","",""
"Pamphleteering","Enlightenment","Public Sphere","KEEP","OTHER","Print Culture carry-forward","Print Culture","Pamphleteering retained as a Public Sphere political-communication policy","Final owner: Public Sphere; exact Culture/diplomacy/religion interaction later","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC024","",""
"Free Market","Enlightenment","The Enlightenment","ADAPT","CIV6","Civ6 GS","The Enlightenment","Convert Commercial Hub adjacency/population conditions into Market/Bank/Stock Exchange city-building conditions","","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC002","",""
"Liberalism","Enlightenment","The Enlightenment","ADAPT","CIV6","Civ6 GS","The Enlightenment","Replace specialty-district count with developed-city institutional/building threshold","Amenity effect retained conceptually","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC003","",""
"Rationalism","Enlightenment","The Enlightenment","ADAPT","CIV6","Civ6 GS","The Enlightenment","Convert Campus/district thresholds into Library/University/Public School/Research Lab city-building thresholds","Exact multiplier later","TBD_NUMERIC_BALANCE","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv","EC001","",""
"Laissez-Faire","Industrial","Capitalism","KEEP","CIV6","Civ6 GS","Capitalism","Economic policy retained","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv","ICB013","",""
"Market Economy","Industrial","Capitalism","KEEP","CIV6","Civ6 GS","Capitalism","International trade/economic policy retained","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv","ICB014","",""
"Public Works","Industrial","Civil Engineering","KEEP","CIV6","Civ6 GS","Civil Engineering","Public-infrastructure policy transfers cleanly","Convert Builder charges to Worker construction efficiency","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC001","",""
"Skyscrapers","Industrial","Civil Engineering","KEEP","CIV6","Civ6 GS","Civil Engineering","Wonder-construction policy retained","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC002","",""
"Resource Management","Industrial","Conservation","KEEP","CIV6","Civ6 GS","Conservation","Strategic-resource management policy candidate","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv","ICB005","",""
"Collective Bargaining","Industrial","Labor Movement","KEEP","PROJECT_HISTORICAL","Historical/project addition","Labor Movement","Labor-cost/worker-welfare policy candidate","Exact Production/Gold/Amenity tradeoff later","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv","ICB023","",""
"Factory Acts","Industrial","Labor Movement","KEEP","PROJECT_HISTORICAL","Historical/project addition","Labor Movement","Workplace-regulation and Health/Amenity policy candidate","Can interact with Health & Plague / industrial pollution","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv","ICB024","",""
"Propaganda","Industrial","Mass Media","KEEP","CIV6","Civ6 GS","Mass Media","War-weariness/public-opinion policy retained","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv","ICB008","",""
"Grande Armée","Industrial","Nationalism","KEEP","CIV6","Civ6 GS","Nationalism","Industrial-era unit production policy","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC008","",""
"National Identity","Industrial","Nationalism","KEEP","CIV6","Civ6 GS","Nationalism","Military resilience policy retained","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC009","",""
"Expropriation","Industrial","Scorched Earth","KEEP","CIV6","Civ6 GS","Scorched Earth","Direct Civ6 Scorched Earth economic policy retained","Expropriation combines late settler expansion and tile-purchase efficiency; exact values later","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC013","",""
"Military Organization","Industrial","Scorched Earth","KEEP","CIV6","Civ6 GS","Scorched Earth","Great General/academy organizational policy retained","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC012","",""
"Total War","Industrial","Scorched Earth","KEEP","CIV6","Civ6 GS","Scorched Earth","Pillage/raid intensification policy retained","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC011","",""
"Public Transport","Industrial","Urbanization","ADAPT","CIV6","Civ6 GS","Urbanization","Apply to urban housing and transport infrastructure rather than Neighborhood districts","","TBD_NUMERIC_BALANCE","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv","IC016","",""
"Collectivization","Modern","Class Struggle","KEEP","CIV6","Civ6 GS","Class Struggle","Domestic trade Food/Production policy retained","","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB008","",""
"Defense of the Motherland","Modern","Class Struggle","KEEP","CIV6","Civ6 GS","Class Struggle","Defensive/war-weariness government policy","","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB009","",""
"Five-Year Plan","Modern","Class Struggle","ADAPT","CIV6","Civ6 GS + thematic cleanup","Ideology / Class Struggle","Five-Year Plan final owner is Class Struggle; convert Campus/Industrial Zone adjacency into direct science and industrial building bonuses","Exact multiplier later","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB010","",""
"Gunboat Diplomacy","Modern","Ideology","KEEP","CIV6","Civ6 GS","Ideology","Diplomatic-military pressure policy retained","","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv","MC007","",""
"Levée en Masse","Modern","Mobilization","KEEP","CIV6","Civ6 GS","Mobilization","Mass-military maintenance policy retained","","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv","MC002","",""
"Sports Media","Modern","Professional Sports","ADAPT","CIV6","Civ6 GS","Professional Sports","Replace Theater Square adjacency with Stadium/Arena/Opera House/cultural-building media synergy","Stadium Amenity concept retained","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB015","",""
"Arsenal of Democracy","Modern","Suffrage","ADAPT","CIV6","Civ6 pre-GS / Democracy effect","Suffrage","Alliance trade-production support retained conceptually","GS merges effect into Democracy; project can encode as government effect or policy","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv","MC018","",""
"Economic Union","Modern","Suffrage","KEEP","CIV6","Civ6 GS","Suffrage","Democratic trade/economic policy association retained","Avoid duplicate generic Ideology version in final policy cleanup","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv","MC016","",""
"New Deal","Modern","Suffrage","ADAPT","CIV6","Civ6 GS","Suffrage","Replace specialty-district threshold with developed-city building/infrastructure threshold","Housing/Amenity concept retained","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv","MC015","",""
