"CIVIC_EN","PROJECT_ERA","FINAL_UNLOCKS_SYSTEMS","FINAL_POLICIES","NOTES","QA_STATUS","SUMMARY_SOURCE"
"Naval Tradition","Late Antiquity","Great Admiral generation bonus; naval institutional efficiency with Celestial Navigation","Naval Infrastructure; Navigation","Harbor-adjacency source effects must be translated into Civ V-style port/building bonuses","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
"Civil Service","Late Antiquity","Alliances; Defensive Pact; Garden with Irrigation; Farm +1 Food; Pasture +2 Food","Meritocracy; Retainers","Pikeman moved to Military Tactics; V2 Farm/Pasture improvement progression applied here; Open Borders remains Early Empire; Governor-dependent Civil Prestige omitted","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
"Feudalism","Early Medieval","Feudal Field System","Feudal Contract; Serfdom","Serfdom converted from Builder charges to Civ V Worker-speed concept; Estate/Manor not yet locked","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Mercenaries","Early Medieval","Mercenary Recruitment","Professional Army; Retinues; Sack; Trade Confederation","Eligible land combat units purchased in a city with Barracks cost 15% less Gold but have +1 Gold maintenance for 20 turns","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Written Culture","Early Medieval","Scriptorium with Writing; Manuscript Culture; Great Work of Writing storage/support","Manuscript Patronage","Block Printing later upgrades the manuscript chain to Woodblock Printing House","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Court Culture","Early Medieval","Court Culture; Palace collection expansion","","Palace gains +1 Great Work of Writing slot and +1 Great Work of Art slot","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Medieval Faires","High Medieval","Medieval Fair system with Currency/Market","Aesthetics; Medina Quarter; Merchant Confederation","Temporary fair/trade institution; district conditions converted to Civ V-style city conditions","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Guilds","High Medieval","Artists' Guild; Great Artist generation; Craft Guild Organization with Apprenticeship; Village +1 Gold; Camp +1 Gold","Craftsmen; Town Charters; Traveling Merchants","Civ5 Artists' Guild moved from Guilds technology to civic; Trading Post not reintroduced; V2 Village/Camp progression applied","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Divine Right","High Medieval","Monarchy; Tier-2 government building choice eligibility","Chivalry; Gothic Architecture","Tier-2 government building choice deferred until all Tier-2 governments are audited","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Scholasticism","High Medieval","Research Agreement with Education; University Scholasticism","","Each University generates +1 Great Scientist Point per turn","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Humanism","Renaissance","Art Museum","Frescoes; Invention","Art Museum remains here; worker-built Landmark gate moved to Natural History by V2 tile override","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Diplomatic Service","Renaissance","Chancery; Constabulary; Spy; Resident Embassies; formal Casus Belli; World Congress cross-gate with Printing","Machiavellianism; Wisselbanken","Constabulary moved here from Civ5 Banking; Chancery requires earlier Consulate","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Patronage","Renaissance","Great Person Patronage; City-State Patronage; City-State Great Person support","Cultural Diplomacy; Merchant Confederacy; Philanthropy","Adapts Civ5 Patronage tree; allied city-states support Great Person generation rather than gifting whole Great People randomly","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Print Culture","Renaissance","Mass Print Culture with Printing; Writing-work tourism boost","Vernacular Print","Printing technology supplies capacity; civic represents widespread social adoption","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Exploration","Exploration","Merchant Republic; Navigation School with Cartography; Explorer with Cartography; Galleon with Astronomy; naval exploration bonus; Tier-2 government building choice eligibility","Maritime Infrastructure","Colonial Offices moved to Colonialism","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Reformed Church","Exploration","Theocracy; Tier-2 government building choice eligibility","Religious Orders; Simultaneum; Wars of Religion","Holy Site conditions converted to Temple/religious-building conditions","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Mercantilism","Exploration","Privateer with Warships; Merchant Navy and Treasure Fleets with Navigation; Customs House with Economics","Logistics; Triangular Trade","Co-gate for worker-built Customs House with Economics; Civ6 Camp yield bonus dropped because Guilds/Gunpowder/Rifling/Refrigeration own Camp progression","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Colonialism","Exploration","Overseas Colonial Administration with Astronomy; +2 Envoys","Colonial Taxes; Native Conquest; Raj","Fishing Boats yield bonus dropped; civilization uniques remain unique","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Scientific Revolution","Exploration","Scientific Method; University scientific-method bonus","","Cities with a University gain +10% Science","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Sovereignty","Exploration","Formal State Sovereignty; Central Charter and Tax Authority","","EE Manor rejected as universal building; World Congress remains Printing + Diplomatic Service","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"The Enlightenment","Enlightenment","Public School with Scientific Theory","Free Market; Liberalism; Rationalism","Civ6 policy effects translated from districts to Civ V-style city buildings; religious-tourism resistance retained conceptually","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Opera and Ballet","Enlightenment","Opera/Ballet institution upgrade with Acoustics","Grand Opera; Symphonies","Bolshoi Theatre deferred","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Natural History","Enlightenment","Antiquity Sites; Archaeologist; Archaeological Museum; Zoo; Ferris Wheel; Aquarium; artifact system; Landmark tile improvement; Holy Site +1 Culture","","Art Museum remains Humanism; worker-built Landmark unlocks here and does not consume a Great Artist; coastal leisure chain is Ferris Wheel -> Aquarium -> Aquatics Center","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Constitutionalism","Enlightenment","Constitutional Government","Bill of Rights; Separation of Powers","Constitutional Government modifies compatible existing governments; no separate Constitutional Monarchy/Republic roster entries","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Public Sphere","Enlightenment","Newspaper Office with Printing; Public Debate/Public Opinion; public diplomatic opinion","Coffeehouse Debate; Pamphleteering","Justified/Casus Belli wars generate 20% less diplomatic grievance/reputation penalty; Surprise/Unjustified wars generate 20% more","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
"Civil Engineering","Industrial","Public Works; Hill Farms; Canal with Steam Power; Sewer with Sanitation","Public Works; Skyscrapers","Builder-charge concepts converted to Civ V Worker efficiency; Canal requires Civil Engineering + Steam Power","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Nationalism","Industrial","Corps/Fleets; Colonial War; Infantry with Replaceable Parts","Grande Armée; National Identity","National mass-army institution","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Scorched Earth","Industrial","Total War; Military Organization","Expropriation; Military Organization; Total War","+2 Envoys dropped as unrelated","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Urbanization","Industrial","Urban Housing/Neighborhood system; Food Market with Replaceable Parts; Public Health with Sanitation","Public Transport","Neighborhood district removed; Health & Plague connectivity risk integrated","OK","civics_reference/civic_unlock_summary_industrial_v1_part_a.csv"
"Conservation","Industrial","Naturalist; National Parks; reforestation; old-growth appeal; Sanctuary","Resource Management","Preserve district removed; Grove -> Sanctuary nature-building chain; Worker plants woods","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Mass Media","Industrial","Mass Circulation Media with Telegraph; Broadcast Center later with Radio; Seaside Resort with Advanced Flight","Propaganda","Mass-media adoption; Seaside Resort requires Mass Media + Advanced Flight; Broadcast Center later with Radio","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Capitalism","Industrial","Corporate Founding Permission; Shopping Mall with Mass Production; corporate investment/branch expansion","Laissez-Faire; Market Economy","All corporation sectors still require their technology gate","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Romanticism","Industrial","Romantic Landscape Aesthetics; upgrades/merges Art Museum and Zoo concepts","","EE Gallery/Menagerie/Surveyor merged into existing systems; Crystal Palace deferred","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Labor Movement","Industrial","Organized Labor Movement; Labor Dispute Pressure","Collective Bargaining; Factory Acts","Collective Bargaining and Factory Acts mitigate labor-dispute pressure; exact economy effects later","OK","civics_reference/civic_unlock_summary_industrial_v1_part_b.csv"
"Mobilization","Modern","Armies/Armadas; Territorial Expansion War; Paratrooper with Advanced Flight; Supply Convoy with Combustion","Levée en Masse","Nationalism already provides Corps/Fleets","OK","civics_reference/civic_unlock_summary_modern_v1_part_a.csv"
"Ideology","Modern","Ideological War; extra Spy","Gunboat Diplomacy","Shared ideological layer: Five-Year Plan -> Class Struggle, Lightning Warfare/Police State -> Totalitarianism, Economic Union -> Suffrage; Tier-3 government buildings deferred","OK","civics_reference/civic_unlock_summary_modern_v1_part_a.csv"
"Suffrage","Modern","Democracy; expanded political participation; Tier-3 government building choice eligibility","Arsenal of Democracy; Economic Union; New Deal; Their Finest Hour","District thresholds converted to Civ V-style city conditions","OK","civics_reference/civic_unlock_summary_modern_v1_part_a.csv"
"Totalitarianism","Modern","Fascism; Tier-3 government building choice eligibility","Lightning Warfare; Martial Law; Police State; Third Alternative","Ideology branch cleaned so coercive/armored policies live here","OK","civics_reference/civic_unlock_summary_modern_v1_part_b.csv"
"Class Struggle","Modern","Communism; Tier-3 government building choice eligibility","Collectivization; Defense of the Motherland; Five-Year Plan","Five-Year Plan moved out of generic Ideology","OK","civics_reference/civic_unlock_summary_modern_v1_part_b.csv"
"Professional Sports","Modern","Stadium; Aquatics Center; Ski Resort; Professional Sports League","Sports Media","Stadium follows Arena -> Zoo; Aquatics Center is coastal and requires Aquarium; Ice Hockey Rink remains Canada unique","OK","civics_reference/civic_unlock_summary_modern_v1_part_b.csv"
"Nuclear Program","Atomic","Manhattan Project with Nuclear Fission; Missile Silo with Guidance Systems","Nuclear Espionage; Science Foundations","Nuclear weapons require technology + state program","OK","civics_reference/civic_unlock_summary_atomic_v1_part_a.csv"
"Cultural Heritage","Atomic","Shipwreck reveal; cultural-heritage protection; +3 Envoys","Heritage Tourism","Unique-improvement bonuses remain civilization-specific","OK","civics_reference/civic_unlock_summary_atomic_v1_part_a.csv"
"Cold War","Atomic","Nuclear Submarine with Nuclear Fission; Rock Band; merged extra Spy capacity with Computers","Containment; Cryptography; International Waters; Second Strike Capability","Amundsen-Scott deferred; nuclear deterrence policies require fission capability","OK","civics_reference/civic_unlock_summary_atomic_v1_part_a.csv"
"Rapid Deployment","Atomic","Global Airlift with Radar/Airports; Spec Ops with Radar","After Action Reports; Military First","No Aerodrome district; Airports provide airlift endpoints","OK","civics_reference/civic_unlock_summary_atomic_v1_part_b.csv"
"Space Race","Atomic","Space Launch Center with Rocketry; Launch Earth Satellite; Orbital Satellite Network; Moon Landing with Satellites","Integrated Space Cell; Music Censorship; Satellite Broadcasts","Civ V spaceship-part abstractions removed in favor of Gathering Storm science-victory project chain","OK","civics_reference/civic_unlock_summary_atomic_v1_part_b.csv"
"Environmentalism","Information","Renewable Energy Transition; environmental Tourism bonus; Flood Barrier with Ecology; Solar Farm with Ecology; Geothermal Plant with Ecology; Wind Farm with Composites; Offshore Wind Farm with Predictive Systems","","Civ6 +25% Tourism concept retained; pollution regulation integrated; renewable improvements use explicit technology + Environmentalism co-gates","OK","civics_reference/civic_unlock_summary_atomic_v1_part_b.csv"
"Globalization","Information","Global Trade Network with Telecommunications","Ecommerce; International Space Agency; Strategic Air Force","Plantation Gold dropped; Governor Title omitted because baseline Governors are not adopted","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Social Media","Information","Networked Public Sphere with Telecommunications","Collective Activism; Communications Office; Online Communities","Governor Title omitted; Communications Office adapted away from Governor dependence","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Near Future Governance","Information","Late-game Governance Capacity; +3 Envoys","","Gateway to Tier-4 governments; Governor Title omitted","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Venture Politics","Information","Corporate Libertarianism","","Corporate Libertarianism retains a qualitative Science penalty; exact value later","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Distributed Sovereignty","Information","Digital Democracy","","Digital Democracy retains a qualitative military-strength penalty; exact value later","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Optimization Imperative","Information","Synthetic Technocracy","","With Predictive Systems while Synthetic Technocracy is adopted: +30% Production toward city projects; exact Tourism tradeoff remains government-balance value","OK","civics_reference/civic_unlock_summary_information_v1_part_a.csv"
"Information Warfare","Future","Cyber/Information Operations with Advanced AI; military network coordination","Integrated Attack Logistics; Rabblerousing","With Advanced AI: offensive Spy mission duration -10%; enemy Spy detection chance +10%; GDR-specific effects generalized because GDR is optional","OK","civics_reference/civic_unlock_summary_future_v1.csv"
"Global Warming Mitigation","Future","Carbon Recapture with Ecology; carbon accounting/mitigation; +3 Envoys","","Diplomatic Victory point dropped unless project later adopts that victory system","OK","civics_reference/civic_unlock_summary_future_v1.csv"
"Cultural Hegemony","Future","Global Cultural Influence","Hallyu; Non-State Actors","Rock Band/Spy promotion concepts retained","OK","civics_reference/civic_unlock_summary_future_v1.csv"
"Smart Power Doctrine","Future","Smart Power Strategy; alliance/coalition leverage","Diplomatic Capital; Global Coalition","Direct Civ6 future-civic content used to fill sparse node","OK","civics_reference/civic_unlock_summary_future_v1.csv"
"Exodus Imperative","Future","Exodus Program; Exoplanet Expedition with Smart Materials; Terrestrial/Lagrange Laser Stations with Offworld Mission","Aerospace Contractors; Space Tourism","Spaceport references converted to Space Launch Center; Future-era science-victory stage","OK","civics_reference/civic_unlock_summary_future_v1.csv"
"Future Civic","Future","Repeatable Future Civic; +50 Diplomatic Favor per completion","","Governor Title and Score Victory rewards omitted; repeatable Diplomatic Favor retained","OK","civics_reference/civic_unlock_summary_future_v1.csv"
