CIVIC_EN,CIVIC_KO,PROJECT_ERA,DIRECT_TECH_RELATION,DIRECT_TECH,INHERITED_HARD_TECHS,RATIONALE
Professional Sports,프로 스포츠,Modern,BOOST,Radio,Cartography; Engineering; Sailing; Writing,방송이 프로스포츠의 대중 관람시장과 상업화를 크게 확대
Nuclear Program,핵 프로그램,Atomic,HARD,Nuclear Fission,Cartography; Engineering; Printing; Sailing; Writing,핵분열 지식 없이 핵무기·원자로 국가프로그램은 성립 불가
Cultural Heritage,문화 유산,Atomic,NONE,,Cartography; Printing; Sailing; Writing,문화유산 제도는 특정 기술 없이도 성립 가능
Cold War,냉전,Atomic,NONE,,Cartography; Engineering; Nuclear Fission; Printing; Sailing; Writing,Nuclear Fission 조건을 Nuclear Program 선행에서 상속
Rapid Deployment,신속한 배치,Atomic,HARD,Flight,Cartography; Engineering; Nuclear Fission; Printing; Sailing; Writing,현대적 장거리 신속배치는 항공수송 능력을 직접 전제로 함
Space Race,우주 경쟁,Atomic,HARD,Rocketry,Cartography; Engineering; Nuclear Fission; Printing; Sailing; Writing,우주경쟁은 로켓기술 없이는 실행 불가
Environmentalism,환경주의,Atomic,BOOST,Ecology,Cartography; Engineering; Printing; Sailing; Writing,생태학과 환경과학이 현대 환경주의의 과학적 기반을 강화
Globalization,세계화,Information,BOOST,Telecommunications,Cartography; Engineering; Printing; Sailing; Writing,장거리 교역·세계연결은 더 오래됐지만 현대 세계화는 통신혁명으로 크게 가속
Social Media,소셜 미디어,Information,HARD,Telecommunications,Cartography; Engineering; Printing; Sailing; Writing,디지털 네트워크 기반 사회미디어는 전기통신·인터넷 계열 기술 없이는 성립 불가
Near Future Governance,근미래 통치,Information,BOOST,Computers,Cartography; Engineering; Printing; Sailing; Writing,데이터 기반 행정과 디지털 거버넌스를 가속하지만 정부제도 자체를 컴퓨터에 종속시키지 않음
Venture Politics,벤처 정치,Information,NONE,,Cartography; Engineering; Printing; Sailing; Telecommunications; Writing,Social Media를 통해 정보기술 조건을 상속하고 별도 기술문턱은 불필요
Distributed Sovereignty,분산 주권,Information,NONE,,Cartography; Engineering; Printing; Sailing; Telecommunications; Writing,Social Media를 통해 통신 조건을 상속; 핵심은 제도적 분산
Optimization Imperative,최적화 명령,Information,HARD,Robotics,Cartography; Engineering; Printing; Sailing; Telecommunications; Writing,고도 자동화·최적화 중심의 합성 기술관료 체계는 로봇·자동화 기술을 직접 전제로 함
Information Warfare,정보전,Information,NONE,,Cartography; Engineering; Printing; Sailing; Telecommunications; Writing,Venture Politics→Social Media 경로를 통해 Telecommunications 조건을 이미 상속
Global Warming Mitigation,지구온난화 완화,Information,BOOST,Satellites,Cartography; Engineering; Printing; Robotics; Sailing; Telecommunications; Writing,위성관측이 지구규모 기후감시·정책 설계를 크게 강화하지만 완화정책의 필수조건은 아님
Cultural Hegemony,문화적 패권,Information,NONE,,Cartography; Engineering; Printing; Sailing; Telecommunications; Writing,정보기술 조건은 선행 미래 가지에서 상속; 추가 기술문턱 불필요
Smart Power Doctrine,스마트 파워 독트린,Information,NONE,,Cartography; Engineering; Printing; Robotics; Sailing; Telecommunications; Writing,군사·외교·문화 수단의 결합은 특정 단일 기술에 종속되지 않음
Exodus Imperative,강제 대이동,Information,HARD,Satellites,Cartography; Engineering; Printing; Robotics; Sailing; Telecommunications; Writing,우주산업·우주이주 계열 정책을 다루는 최종 미래 가지에는 성숙한 우주기술 기반이 필요
Future Civic,미래 사회제도,Information,NONE,,Cartography; Engineering; Printing; Robotics; Sailing; Satellites; Telecommunications; Writing,선행 미래 사회제도와 그 기술조건을 모두 상속하는 반복 종착점
