CIV6_ERA,CIVIC,PREREQUISITES,INSPIRATION,POLICY_CARD_UNLOCKS,GOVERNMENT_UNLOCK,MAJOR_OTHER_UNLOCKS
Modern,Conservation,Natural History,Have a Neighborhood with Breathtaking Appeal,Resource Management,,"Naturalist;Builders can plant Woods;old-growth Woods appeal;+3 Envoys"
Modern,Mass Media,"Natural History;Urbanization",Research Radio,Propaganda,,"Broadway;Cristo Redentor;+1 Governor title"
Modern,Mobilization,"Urbanization;Scorched Earth",Have 3 Corps,"Levee en Masse",,"Defensive Pacts;Armies/Armadas;War of Territorial Expansion;+1 Governor title"
Modern,Capitalism,Mass Media,Build 3 Stock Exchanges,"Market Economy;Laissez-Faire",,"Shopping Mall;+3 Envoys"
Modern,Ideology,"Mass Media;Mobilization",None,"Police State;Economic Union;Five-Year Plan;Gunboat Diplomacy;Lightning Warfare",,"Ideological War;+1 Spy capacity"
Modern,Nuclear Program,Ideology,Build a Research Lab,"Nuclear Espionage;Nobel Prize (where applicable)",,"+3 Envoys"
Modern,Suffrage,Ideology,Build 4 Sewers,"Their Finest Hour;New Deal",Democracy,
Modern,Totalitarianism,Ideology,Build 3 Military Academies,"Martial Law;Third Alternative",Fascism,
Modern,Class Struggle,Ideology,Build 3 Factories,"Defense of the Motherland;Collectivization",Communism,
Atomic,Cultural Heritage,Conservation,Have a Themed Museum,Heritage Tourism,,"Sydney Opera House;reveals Shipwrecks;+3 Envoys"
Atomic,Cold War,Ideology,Research Nuclear Fission,"International Waters;Second Strike Capability;Containment;Cryptography",,"Rock Band;+1 Spy capacity;Amundsen-Scott Research Station"
Atomic,Professional Sports,Ideology,Build 4 Entertainment Complex districts,Sports Media,,"Stadium;Aquatics Center;Ski Resort;Estadio do Maracana"
Atomic,Rapid Deployment,Cold War,Build an Aerodrome or Airstrip on a foreign continent,"Military First;After Action Reports",,"Air transport between Airports"
Atomic,Space Race,Cold War,Build a Spaceport,"Integrated Space Cell;Satellite Broadcasts",,
Information,Environmentalism,"Cultural Heritage;Rapid Deployment",Build 2 Solar Farms,,, "+25% Tourism empire-wide"
Information,Globalization,"Rapid Deployment;Space Race",Build Airports,"Strategic Air Force;International Space Agency;Ecommerce",,"+1 Governor title;plantation gold bonus"
Information,Social Media,"Space Race;Professional Sports",Research Telecommunications,"Online Communities;Collective Activism;Communications Office",,"+1 Governor title"
Information,Near Future Governance,"Environmentalism;Globalization",Adopt a government with required high-tier policy slots,,, "+3 Envoys;+1 Governor title"
Information,Venture Politics,"Globalization;Social Media",Build a Uranium Mine,,Corporate Libertarianism,
Information,Distributed Sovereignty,"Globalization;Social Media",Own a Rock Band,,Digital Democracy,
Information,Optimization Imperative,"Globalization;Social Media",Research Robotics,,Synthetic Technocracy,
Future,Information Warfare,Randomized Future-era prerequisite,None,"Integrated Attack Logistics;Rabblerousing",,
Future,Global Warming Mitigation,Randomized Future-era prerequisite,None,,, "Carbon Recapture;+3 Envoys;+1 Diplomatic Victory point"
Future,Cultural Hegemony,Randomized Future-era prerequisite,None,"Hallyu;Non-State Actors",,
Future,Smart Power Doctrine,Randomized Future-era prerequisite,None,"Diplomatic Capital;Global Coalition",,
Future,Exodus Imperative,Randomized Future-era prerequisite,None,"Aerospace Contractors;Space Tourism",,
Future,Future Civic,All randomized Future-era branches ultimately converge,None,,, "Repeatable;score;+1 Governor title;+50 Diplomatic Favor"
