"RESOURCE_ID","RESOURCE_CLASS","PRIMARY_IMPROVEMENT","DOMAIN","UNLOCK_TECH","SOURCE_BASIS","STATUS","NOTES"
"COCOA","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"COPPER","luxury","Mine","LAND","Mining","VP","VP_DIRECT","Geological fixed"
"COTTON","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"CRAB","luxury","Fishing Boats","SEA","Sailing","VP","VP_DIRECT","Wild marine"
"DYES","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic composite plant"
"FURS","luxury","Camp","LAND","Trapping","VP","VP_DIRECT","Wild fixed"
"GEMS","luxury","Mine","LAND","Mining","VP","VP_DIRECT","Geological fixed"
"GOLD","luxury","Mine","LAND","Mining","VP","VP_DIRECT","Geological fixed"
"INCENSE","luxury","Plantation","LAND","Irrigation","VP + project","VP_DIRECT","Fixed-map placement unless later dynamic review changes it"
"IVORY","luxury","Camp","LAND","Trapping","VP","VP_DIRECT","Wild fixed"
"MARBLE","luxury","Quarry","LAND","Masonry","VP","VP_DIRECT","Geological fixed"
"PEARLS","luxury","Fishing Boats","SEA","Sailing","VP","VP_DIRECT","Wild marine"
"SALT","luxury","Mine / Saltworks","LAND_OR_COAST","Mining / PENDING","VP + project","VP_PROJECT_ADAPTED","Natural deposits use Mine; coastal Saltworks is separate production facility"
"SILK","luxury","Plantation","LAND","Irrigation","VP + project","VP_DIRECT","Fixed-map placement unless later dynamic review changes it"
"SILVER","luxury","Mine","LAND","Mining","VP","VP_DIRECT","Geological fixed"
"SPICES","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic composite plant"
"SUGAR","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"TRUFFLES","luxury","Camp","LAND","Trapping","VP","VP_DIRECT","Wild fixed"
"WHALES","luxury","Fishing Boats","SEA","Sailing","VP","VP_DIRECT","Wild marine"
"WINE","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"COFFEE","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"TEA","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"TOBACCO","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"OLIVES","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"PERFUME","luxury","Plantation","LAND","Irrigation","VP current","VP_DIRECT","Natural resource retained; excluded from 18-resource dynamic transfer set"
"AMBER","luxury","Quarry","LAND","Masonry","VP current integrated More Luxuries","VP_DIRECT_CORRECTED","V1 used old More Luxuries Mine mapping; current VP ResourceChanges.sql explicitly uses Quarry"
"JADE","luxury","Quarry","LAND","Masonry","VP current integrated More Luxuries","VP_DIRECT_CORRECTED","V1 used old More Luxuries Mine mapping; current VP ResourceChanges.sql explicitly uses Quarry"
"LAPIS_LAZULI","luxury","Quarry","LAND","Masonry","VP current integrated More Luxuries","VP_DIRECT_CORRECTED","V1 used old More Luxuries Mine mapping; current VP RESOURCE_LAPIS explicitly uses Quarry"
"CORAL","luxury","Fishing Boats","SEA","Sailing","VP current integrated More Luxuries","VP_DIRECT","Wild marine"
