"PROJECT_BUILDING","VP_BUILDING_CLASS","RESOURCE_ID","YIELD_CHANGE","STATUS","NOTES"
"Caravansary","BUILDINGCLASS_CARAVANSARY","FURS","Production+1; Gold+1","VP_DIRECT","Current project building exists"
"Circus","BUILDINGCLASS_CIRCUS","IVORY","Culture+3","VP_DIRECT","Current project building exists"
"Temple","BUILDINGCLASS_TEMPLE","INCENSE","Gold+1; Culture+1","VP_DIRECT","Current project building exists"
"Temple","BUILDINGCLASS_TEMPLE","WINE","Gold+1; Culture+1","VP_DIRECT","Dynamic resource system retained"
"Temple","BUILDINGCLASS_TEMPLE","AMBER","Gold+1; Culture+1","VP_DIRECT","Amber corrected to Quarry under current VP"
"Garden","BUILDINGCLASS_GARDEN","CITRUS","Food+1; Gold+1","VP_DIRECT","Dynamic resource system retained"
"Garden","BUILDINGCLASS_GARDEN","COCOA","Food+1; Gold+1","VP_DIRECT","Dynamic resource system retained"
"Customs Office","BUILDINGCLASS_MINT","TEA","Production+1; Gold+2","VP_CLASS_ADAPTED","VP BUILDINGCLASS_MINT functions as Customs House; mapped to project Customs Office"
"Customs Office","BUILDINGCLASS_MINT","COFFEE","Production+2; Gold+1","VP_CLASS_ADAPTED","VP BUILDINGCLASS_MINT functions as Customs House; mapped to project Customs Office"
"Customs Office","BUILDINGCLASS_MINT","TOBACCO","Gold+3","VP_CLASS_ADAPTED","VP BUILDINGCLASS_MINT functions as Customs House; mapped to project Customs Office"
"Bank","BUILDINGCLASS_BANK","GEMS","Gold+1; Culture+2","VP_DIRECT","Current project building exists"
"Bank","BUILDINGCLASS_BANK","GOLD","Gold+3","VP_DIRECT","Current project building exists"
"Bank","BUILDINGCLASS_BANK","SILVER","Production+1; Gold+1; Culture+1","VP_DIRECT","Current project building exists"
