TECH_EN,TECH_KO,PROJECT_ERA,UNITS,CITY_BUILDINGS,TILE_IMPROVEMENTS,ROUTES_INFRASTRUCTURE,RESOURCE_REVEAL,RESOURCE_EXPLOITATION,SYSTEMS_NOTES,QA_STATUS,SUMMARY_SOURCE
"Bronze Working","청동기술","Ancient","Spearman","","","","Iron","","Rainforest/Jungle clearing; Barracks moved to Military Tradition","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Wheel","바퀴","Ancient","Chariot Archer","Water Mill","","Road","","","Heavy Chariot deferred","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Calendar","역법","Ancient","","","","","","","Seasonal Agriculture; improved Wheat/Rice/Maize +1 Food","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Trapping","덫사냥","Ancient","","","Camp","","","Bison; Deer; Furs; Ivory; Truffles","Circus moved to Games and Recreation civic","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Celestial Navigation","천문 항법","Classical","","Harbor","","","","","Naval Movement +1; maritime infrastructure","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Currency","화폐","Classical","","Market; Mint with Code of Laws","","","","","Wealth process; Commercial Hub removed","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Horseback Riding","기마술","Classical","Horseman","Stable; Caravansary with Foreign Trade","","","","","","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Iron Working","철기술","Classical","Swordsman","","","","","","Iron reveal remains Bronze Working from Ancient V2","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Shipbuilding","조선","Classical","Quadrireme","","","","","","General land-unit embarkation","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Mathematics","수학","Classical","Catapult","","","","","","Courthouse removed; Consulate moved to Political Philosophy","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Construction","건축","Classical","Composite Bowman; Siege Tower","Arena with Games and Recreation","Lumber Mill","","","","","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Engineering","공학","Classical","","Aqueduct","Fort","Road bridges","","","Additional trade-route capacity with Foreign Trade provisionally","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Optics","광학","Classical","","Lighthouse","","","","","Embarkation moved to Shipbuilding","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Papermaking","제지술","Classical","","Paper Workshop","","","","","Paper-supported scholarship/administration","OK","tech_reference/technology_unlock_summary_classical_v1.csv"
"Military Tactics","군사 전술","Late Antiquity","Pikeman","","","","","","Pikeman moved from Civ5 Civil Service","OK","tech_reference/technology_unlock_summary_late_antiquity_v1.csv"
"Military Engineering","군사 공학","Late Antiquity","Military Engineer with Military Training","Armory with Military Training","Fort construction specialization","Military Road construction","Niter","Niter mining via Mine","Trebuchet remapped to later Physics","OK","tech_reference/technology_unlock_summary_late_antiquity_v1.csv"
"Stirrups","등자","Late Antiquity","Knight","","","","","","Pasture yield bonus moved to Horse Collar; defensive pact moved to Civil Service","OK","tech_reference/technology_unlock_summary_late_antiquity_v1.csv"
"Horse Collar","마구","Late Antiquity","","","","","","","Draft Animal Labor; Farm +1 Production; provisional Pasture +1 Food","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_late_antiquity_v1.csv"
"Alchemy","연금술","Late Antiquity","","Apothecary","","","","","Early chemical/medicinal processing; health effects tuned later","OK","tech_reference/technology_unlock_summary_late_antiquity_v1.csv"
"Castles","성곽","Early Medieval","","Castle","","","","","Castle merges Civ5 Castle + Civ6 Medieval Walls; Courser moved away; Alhambra deferred","OK","tech_reference/technology_unlock_summary_early_medieval_v1.csv"
"Gunpowder","화약","Early Medieval","Fire Lance","","","","","Niter as military input","Gunpowder Munitions; Musketman deferred/remapped to later firearms stage","OK","tech_reference/technology_unlock_summary_early_medieval_v1.csv"
"Block Printing","목판인쇄","Early Medieval","","Woodblock Printing House with Written Culture","","","","","Mass Text Reproduction with Written Culture; later Printing Press remains Printing","OK","tech_reference/technology_unlock_summary_early_medieval_v1.csv"
"Algebra","대수학","Early Medieval","","","","","","","Advanced Algebraic Calculation; institutional science/admin bonuses deferred for balance","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_early_medieval_v1.csv"
"Astrolabe","아스트롤라베","Early Medieval","","","","","","","Celestial-navigation, naval sight/trade-range upgrade; ocean crossing remains Astronomy","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_early_medieval_v1.csv"
"Apprenticeship","도제제","High Medieval","Man-at-Arms with Military Training","Workshop","","","","","Mine +1 Production; Industrial Zone removed","OK","tech_reference/technology_unlock_summary_high_medieval_v1.csv"
"Machinery","기계","High Medieval","Crossbowman","","","Improved Road Movement","","","Lumber Mill +1 Production upgrade; Ironworks deferred","OK","tech_reference/technology_unlock_summary_high_medieval_v1.csv"
"Buttress","부벽","High Medieval","","","Dam (river-linked infrastructure)","","","","Buttressed Masonry; monumental religious complex deferred","OK","tech_reference/technology_unlock_summary_high_medieval_v1.csv"
"Education","교육","High Medieval","","University","","","","","Production→Science; Research Agreement with Scholasticism; Academy GP improvement removed","OK","tech_reference/technology_unlock_summary_high_medieval_v1.csv"
"Compass","나침반","High Medieval","Galleass","","","","","","Harbor sea-trade range upgrade with Foreign Trade; Fishing Boats +1 Gold; maritime trade capacity candidate","OK","tech_reference/technology_unlock_summary_high_medieval_v1.csv"
"Physics","물리학","High Medieval","Trebuchet","","","","","","Siege mechanics upgrade; Notre Dame deferred","OK","tech_reference/technology_unlock_summary_high_medieval_v1.csv"
"Banking","은행업","Renaissance","","Bank","","","","","Additional trade capacity with Foreign Trade; Finance/Banking and Insurance corporation gates with Capitalism","OK","tech_reference/technology_unlock_summary_renaissance_v1.csv"
"Printing","인쇄술","Renaissance","","Printing Press","","","","","Mass Print Circulation with Print Culture; Diplomatic Visibility and World Congress with Diplomatic Service","OK","tech_reference/technology_unlock_summary_renaissance_v1.csv"
"Metal Casting","금속 주조","Renaissance","Bombard; Pike and Shot with Military Training","","","","","","Advanced Cannon Casting; generic Forge rejected as too late","OK","tech_reference/technology_unlock_summary_renaissance_v1.csv"
"Siege Tactics","공성 전술","Renaissance","","Renaissance/Bastion Walls","Bastion Fort upgrade","","","","Fortification-vs-bombardment upgrade","OK","tech_reference/technology_unlock_summary_renaissance_v1.csv"
"Metallurgy","야금학","Renaissance","Arquebusier; Lancer","Arsenal with Military Training","","","","","Musketman moved to later Flintlock stage","OK","tech_reference/technology_unlock_summary_renaissance_v1.csv"
"Cartography","지도 제작","Exploration","Caravel with Exploration","","","","","","Cartographic Surveying; Caravel/ocean role follows Civ5 Astronomy priority","OK","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Square Rigging","횡범장","Exploration","","","","","","","Embarked movement +1; Advanced Sailing Rig; Frigate moved to Warships","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Astronomy","천문학","Exploration","Caravel with Exploration","Observatory","","","","","Ocean Crossing with Exploration","OK","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Navigation","항법","Exploration","Ship of the Line","Seaport","","","","","Advanced Naval Navigation; Navigation School with Exploration","OK","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Acoustics","음향학","Exploration","","Opera House + Musicians' Guild with Patronage","","","","","Great Musician generation with Patronage; Cultural Goods corporation gate with Capitalism","OK","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Flintlock","플린트락","Exploration","Line Infantry; Skirmisher","Gunsmith","","","","","Mature flintlock infantry stage","OK","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Warships","전열함 기술","Exploration","Frigate","","","","","","Purpose-built Warship Production","OK","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Fortification","요새공학","Exploration","Field Gun","Star Fort / Advanced Bastion","Advanced Fortification upgrade","","","","Upgrades Siege Tactics defenses rather than duplicating them","OK","tech_reference/technology_unlock_summary_exploration_v1.csv"
"Scientific Theory","과학 이론","Enlightenment","","Public School with The Enlightenment","","","","","Lumber Mill +1 Production; Academy GP improvement removed; Plantation bonus moved to Fertilizer","OK","tech_reference/technology_unlock_summary_enlightenment_v1.csv"
"Ballistics","탄도학","Enlightenment","","","","","","","Applied Ballistics; upgrades existing Field Gun rather than duplicating it","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_enlightenment_v1.csv"
"Military Science","군사학","Enlightenment","Cavalry; Cuirassier candidate with Military Training","Military Academy with Military Training","","","","","Line Infantry stays Flintlock; Medic moved to Sanitation","OK","tech_reference/technology_unlock_summary_enlightenment_v1.csv"
"Economics","경제학","Enlightenment","","Stock Exchange; Customs House with Mercantilism","","","","","Windmill remapped to Machinery; GP Customs House tile removed","OK","tech_reference/technology_unlock_summary_enlightenment_v1.csv"
"Chemistry","화학","Enlightenment","","Chemical Laboratory","","","","","Mine/Quarry +1 Production; chemical/cosmetics corporation gates with Capitalism; Research Lab/AT Crew moved later","OK","tech_reference/technology_unlock_summary_enlightenment_v1.csv"
"Manufacturing","매뉴팩처","Enlightenment","","Cloth Mill with Guilds","","","Coal","Coal via Mine","Proto-industrial Manufacturing; GP Manufactory removed","OK","tech_reference/technology_unlock_summary_enlightenment_v1.csv"
"Industrialization","산업화","Industrial","Gatling Gun with Military Science","Factory","","","","","Mine +1 Production; Coal reveal already Manufacturing; corporate gates","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Steam Power","증기력","Industrial","Ironclad","","Canal with Civil Engineering","","","","Embarked movement; Lumber Mill +1 Production; Railroad moved to Railroad tech; Shipping/Logistics corp gate","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Sanitation","위생","Industrial","Medic with Military Training","Sewer with Civil Engineering","","","","","Modern Public Health with Urbanization; plague-risk reduction","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Rifling","강선","Industrial","Rifleman","","","","","","Rifled Firearms; Ranger deferred","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Replaceable Parts","교환식 부품","Industrial","Infantry with Nationalism","Food Market with Urbanization","","","","","Mechanized Agriculture; Pasture +1 Production; Machinery corp gate","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Steel","강철","Industrial","Artillery with Military Science","Steelworks with Industrialization","","","","","Urban Defenses with Civil Engineering; heavy-material corp gate","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Refining","정제","Industrial","","","Oil Well","","Oil","Oil","Petroleum Refining corp gate","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Electricity","전기","Industrial","Submarine deferred","Power Plant with Civil Engineering; Coal Power Plant with Industrialization","Hydroelectric Dam upgrade","","","","Great Director/Film gate; Electrical Equipment and Film corp gates","OK","tech_reference/technology_unlock_summary_industrial_v1_part_a.csv"
"Mass Production","대량생산","Industrial","","Shipyard","","","","","Assembly-Line Production; four corporation sector gates with Capitalism","OK","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Fertilizer","비료","Industrial","","","","","","","Non-fresh Farm +1 Food; Plantation +1 Food; Pasture bonus deferred; chemical-sector fertilizer upgrade","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Biology","생물학","Industrial","","Hospital with Urbanization","","","","","Medical Biology; Pharmaceuticals corp gate; Oil moved to Refining","OK","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Dynamite","다이너마이트","Industrial","Artillery with Military Science","","","","","","High-Explosive Mining; Mining corp gate","OK","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Railroad","철도","Industrial","","","Railroad route","","","","Rail-network production/logistics bonus; hospitality corp gate; mining/logistics upgrades","OK","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Refrigeration","냉동기술","Industrial","","Cold Storage","","","","","Refrigerated Food Logistics with Capitalism; food processing/service corp gates","OK","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Telegraph","전신","Industrial","","Telegraph Office with Sovereignty","","","","","Telegraph Network; telecom corp gate; trading-house upgrade","OK","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Armor Plating","장갑판","Industrial","Cruiser; Battleship with Warships","Drydock","","","","","Naval Armor Modernization","OK","tech_reference/technology_unlock_summary_industrial_v1_part_b.csv"
"Flight","비행","Modern","Triplane; Great War Bomber; Observation Balloon with Mobilization","Hangar","Airstrip","","","","Aerospace corporation gate with Capitalism; Aerodrome district removed","OK","tech_reference/technology_unlock_summary_modern_v1_part_a.csv"
"Radio","라디오","Modern","","Broadcast Center + Film Studio with Mass Media","Seaside Resort remapped to Advanced Flight + Mass Media","","Aluminum moved to Electricity","","Film/Media sector upgrade","OK","tech_reference/technology_unlock_summary_modern_v1_part_a.csv"
"Combustion","내연기관","Modern","Landship; Supply Convoy with Mobilization","","","","","","Motorized land trade with Capitalism; automotive/machinery corporate upgrades","OK","tech_reference/technology_unlock_summary_modern_v1_part_a.csv"
"Advanced Flight","고급 비행","Modern","Fighter; Bomber; Paratrooper with Mobilization","Airport remapped to Radar","","","","","Aerospace/Airlines and travel/logistics upgrades","OK","tech_reference/technology_unlock_summary_modern_v1_part_a.csv"
"Rocketry","로켓공학","Modern","Rocket Artillery with Military Science","","","","","","Mobile SAM/missile silo/space program moved later","OK","tech_reference/technology_unlock_summary_modern_v1_part_a.csv"
"Advanced Ballistics","고급 탄도학","Modern","Machine Gun; Anti-Air Gun","","","","","","Guided/nuclear missiles and spaceship booster moved later","OK","tech_reference/technology_unlock_summary_modern_v1_part_a.csv"
"Combined Arms","제병협동","Modern","Tank; Anti-Tank Gun with Military Science; Destroyer; Marine with Mobilization","","","","","","Aircraft Carrier moved to Electronics; Uranium moved to Atomic Theory","OK","tech_reference/technology_unlock_summary_modern_v1_part_b.csv"
"Plastics","플라스틱","Modern","","Research Lab","Offshore Oil Rig","","","Offshore Oil","Infantry remains Replaceable Parts + Nationalism; Spec Ops deferred","OK","tech_reference/technology_unlock_summary_modern_v1_part_b.csv"
"Penicillin","페니실린","Modern","","Medical Lab with Urbanization","","","","","Antibiotic Medicine; bacterial-disease treatment; Pharmaceutical sector upgrade","OK","tech_reference/technology_unlock_summary_modern_v1_part_b.csv"
"Electronics","전자공학","Modern","Aircraft Carrier","","","","","","Electronic Control Systems; four electronics-sector founding gates + machinery upgrade","OK","tech_reference/technology_unlock_summary_modern_v1_part_b.csv"
"Radar","레이더","Modern","Spec Ops deferred","Airport with Mass Media; Radar Station with Mobilization","","","","","Air Detection/Interception Network; Fighter/Bomber remain Advanced Flight","OK","tech_reference/technology_unlock_summary_modern_v1_part_b.csv"
"Atomic Theory","원자론","Modern","","","","","Uranium","Uranium via Mine","Atomic Physics Framework; Manhattan Project moved to Nuclear Fission + Nuclear Program","OK","tech_reference/technology_unlock_summary_modern_v1_part_b.csv"
"Computers","컴퓨터","Atomic","Drone with Rapid Deployment","","","","","","Digital information processing; spy/tourism systems with Cold War/Mass Media; computing/software corporation gates","OK","tech_reference/technology_unlock_summary_atomic_v1_part_a.csv"
"Nuclear Fission","핵분열","Atomic","","Nuclear Power Plant with Civil Engineering","","","","Uranium fuel","Manhattan/Build Nuclear Device with Nuclear Program","OK","tech_reference/technology_unlock_summary_atomic_v1_part_a.csv"
"Synthetic Materials","합성 소재","Atomic","Helicopter","","","","","","Synthetic Fibers/Polymers; geothermal plant moved to Ecology+Environmentalism; Camp Gold dropped","OK","tech_reference/technology_unlock_summary_atomic_v1_part_b.csv"
"Telecommunications","전기통신","Atomic","Nuclear Submarine moved to Nuclear Fission + Cold War","","","","","","Global Telecommunications Network; Digital Platforms corp gate; Telecom upgrade","OK","tech_reference/technology_unlock_summary_atomic_v1_part_a.csv"
"Satellites","인공위성","Atomic","","","","","","","Orbital Satellite Network and Moon Landing with Space Race; global mapping; Solar Farm moved to Ecology","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_atomic_v1_part_a.csv"
"Guidance Systems","유도 시스템","Atomic","Mobile SAM with Mobilization; Guided Missile","Missile Silo with Nuclear Program","","","","","Rocket Artillery precision upgrade rather than duplicate unlock","OK","tech_reference/technology_unlock_summary_atomic_v1_part_a.csv"
"Lasers","레이저","Atomic","Jet Fighter with Advanced Flight","","","","","","Laser Systems; air targeting/interception upgrade; Missile Cruiser moved to Guidance Systems + Warships","OK","tech_reference/technology_unlock_summary_atomic_v1_part_a.csv"
"Composites","복합재료","Atomic","Modern Armor with Mobilization; Modern AT with Military Science","","Wind Farm with Environmentalism","","","","Advanced Composite Materials","OK","tech_reference/technology_unlock_summary_atomic_v1_part_b.csv"
"Stealth Technology","스텔스 기술","Atomic","Stealth Bomber with Advanced Flight","","","","","","Low-Observable Design","OK","tech_reference/technology_unlock_summary_atomic_v1_part_b.csv"
"Robotics","로봇공학","Atomic","Giant Death Robot deferred","","","","","","Industrial Robotics; factory/electronics automation; computing/electronics corporate upgrades","OK","tech_reference/technology_unlock_summary_atomic_v1_part_b.csv"
"Nuclear Fusion","핵융합","Atomic","","","","","","","Operation Ivy and Thermonuclear Device with Nuclear Program; Mars Reactor moved later","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_atomic_v1_part_b.csv"
"Ecology","생태학","Atomic","","Solar Plant; Recycling Center; Flood Barrier with Environmentalism","Solar Farm; Geothermal Plant with Environmentalism","","","","Pollution/Ecosystem Monitoring","OK","tech_reference/technology_unlock_summary_atomic_v1_part_b.csv"
"Particle Physics","입자물리학","Atomic","","Particle Accelerator deferred","","","","","SS Engine with Space Race; High-Energy Particle Physics","OK","tech_reference/technology_unlock_summary_atomic_v1_part_b.csv"
"Nanotechnology","나노기술","Information","XCOM Squad with Rapid Deployment","","","","","","Nanoscale manufacturing/medicine; SS Stasis Chamber with Exodus Imperative; Mars project moved later","OK","tech_reference/technology_unlock_summary_information_v1_part_a.csv"
"Advanced AI","고급 AI","Information","","","","","","","Advanced AI decision systems; GDR air-defense upgrade deferred","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_information_v1_part_a.csv"
"Advanced Power Cells","고급 전력 셀","Information","","Grid Battery Storage with Global Warming Mitigation","","","","","High-density energy storage; batteries-sector upgrade","OK","tech_reference/technology_unlock_summary_information_v1_part_a.csv"
"Cybernetics","사이버네틱스","Information","","","","","","","Human-Machine Interface; optional cybernetic medicine; GDR mobility upgrade deferred","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_information_v1_part_a.csv"
"Smart Materials","스마트 소재","Information","","","","","","","Adaptive Smart Materials; Mine +1 Production; Exoplanet project moved to Offworld Mission","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_information_v1_part_a.csv"
"Predictive Systems","예측 시스템","Information","","","Offshore Wind Farm with Environmentalism","","","","Predictive maintenance/logistics; extraction +1 Production with Optimization Imperative","OK","tech_reference/technology_unlock_summary_information_v1_part_a.csv"
"Seasteads","해상도시","Information","","","Seastead","","","","Ocean settlement support; Fishing Boat/Reef adjacency adapted from Civ6","OK","tech_reference/technology_unlock_summary_information_v1_part_b.csv"
"Offworld Mission","외계 행성 임무","Information","","","","","","","Terrestrial/Lagrange Laser Stations; Mars project family; Exoplanet Expedition with Exodus Imperative","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_information_v1_part_b.csv"
"Future Tech","미래 기술","Information","","","","","","","Repeatable future research; repeatable city-project production bonus adapted from Civ6","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_information_v1_part_b.csv"
