"QUEUE","PROJECT_ERA","RECORD_ID","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","DECISION","REASON","NOTES","SOURCE_FILE"
"NUMERIC_BALANCE","Atomic","AB017","YIELD_UPGRADE","Pasture automation bonus","Robotics","","DEFER_SYSTEM","Potential late agricultural automation but already many pasture bonuses exist","Do not lock until yield stacking audit","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv"
"NUMERIC_BALANCE","Classical","CC030","SYSTEM","Paper-record synergy","Papermaking","Recorded History","DEFER_SYSTEM","Papermaking and historical bureaucracy are complementary, but exact yield/system should be designed later","Do not invent final numeric bonus now","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Early Medieval","EM012","SYSTEM","Great Work of Writing copying/distribution bonus","Block Printing","Written Culture","DEFER_SYSTEM","Printing should enhance circulation of writing without duplicating the later Printing technology's mass-media effects","Exact mechanic later","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Early Medieval","EM015","YIELD_UPGRADE","Library / Scriptorium / Paper Workshop science upgrade","Algebra","Written Culture","DEFER_SYSTEM","Mathematical scholarship can enhance existing knowledge institutions; exact yield should be balanced later","No new generic building invented merely to fill the node","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Early Medieval","EM016","SYSTEM","Administrative and commercial calculation","Algebra","Code of Laws","DEFER_SYSTEM","Algebra historically supported inheritance, trade, land measurement and legal calculation; exact gameplay bonus later","","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Early Medieval","EC010","SYSTEM","Mercenary Recruitment","","Mercenaries","DEFER_SYSTEM","The civic should eventually support Gold-based contract recruitment beyond policy cards, but exact temporary-unit system requires unit/economy design","","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Early Medieval","EC019","GREAT_PERSON_SYSTEM","Court Great Writer/Artist support","","Court Culture","DEFER_SYSTEM","Court may support Great Writer/Artist points without replacing Writers' Guild","Exact balance later","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Early Medieval","EC020","SYSTEM","Palace Great Work slot upgrade","","Court Culture","DEFER_SYSTEM","Courtly collections can expand Palace cultural storage; exact slots later","","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Enlightenment","EC026","DIPLOMACY","Public diplomatic opinion effects","","Public Sphere","DEFER_SYSTEM","War legitimacy/reputation could interact with public opinion, but exact diplomacy mechanic later","","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Exploration","XC031","YIELD_UPGRADE","University scientific-method bonus","Education","Scientific Revolution","DEFER_SYSTEM","Potential university science boost; exact value later","","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","High Medieval","HC024","YIELD_UPGRADE","University Scholasticism Bonus","Education","Scholasticism","DEFER_SYSTEM","Potential University Science/Great Scientist bonus; exact value later","","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv"
"NUMERIC_BALANCE","Industrial","IB010","YIELD_UPGRADE","Pasture +1 Food","Fertilizer","","DEFER_SYSTEM","Potentially excessive when stacked with Horse Collar and Replaceable Parts; retain candidate but do not lock numeric stack yet","","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"NUMERIC_BALANCE","Information","IN008","SYSTEM","AI-assisted intelligence analysis","Advanced AI","Information Warfare","DEFER_SYSTEM","Strong functional fit but exact espionage/combat-information mechanics should wait for Information Warfare audit","Part B civic","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"NUMERIC_BALANCE","Information","IN025","SYSTEM","City-project forecasting bonus","Predictive Systems","Optimization Imperative","DEFER_SYSTEM","Potential synergy with Synthetic Technocracy; exact production modifier later","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"POLICY_BALANCE","Ancient","C003","POLICY","Discipline; God King; Survey; Urban Planning","","Code of Laws","DEFER_SYSTEM","Record exact Civ VI policy candidates for later policy-card audit","Do not auto-copy values","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"POLICY_BALANCE","Ancient","C005","POLICY","Ilkum; Agoge","","Craftsmanship","DEFER_SYSTEM","Relevant labor/military production policy candidates","Exact values later","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"POLICY_BALANCE","Ancient","C009","POLICY","Caravansaries; Maritime Industries","","Foreign Trade","DEFER_SYSTEM","Trade and naval-production policy candidates","Exact values later","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"POLICY_BALANCE","Ancient","C014","POLICY","Maneuver; Strategos","","Military Tradition","DEFER_SYSTEM","Mounted-production and Great General policy candidates","Exact values later","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"POLICY_BALANCE","Ancient","C016","POLICY","Corvée; Conscription","","State Workforce","DEFER_SYSTEM","Wonder-production and maintenance policy candidates","Exact values later","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"POLICY_BALANCE","Ancient","C020","POLICY","Colonization; Land Surveyors; Limitanei","","Early Empire","DEFER_SYSTEM","Expansion/border policy candidates","Exact values later","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"POLICY_BALANCE","Ancient","C025","POLICY","Inspiration; Revelation","","Mysticism","DEFER_SYSTEM","Great Scientist/Prophet policy candidates","Exact values later","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"POLICY_BALANCE","Classical","CC003","POLICY","Insulae","","Games and Recreation","DEFER_SYSTEM","Housing/urban policy candidate","Exact values later","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Classical","CC010","POLICY","Charismatic Leader; Diplomatic League","","Political Philosophy","DEFER_SYSTEM","Diplomatic policy candidates","Exact values later","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Classical","CC019","POLICY","Literary Tradition","","Drama and Poetry","DEFER_SYSTEM","Great Writer/cultural policy candidate","Exact values later","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Classical","CC023","POLICY","Raid; Veterancy; Equestrian Orders","","Military Training","DEFER_SYSTEM","Military training/logistics policy candidates","Exact values later","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Classical","CC027","POLICY","Natural Philosophy; Praetorium","","Recorded History","DEFER_SYSTEM","Science/administration policy candidates","Exact values later","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Early Medieval","EC002","POLICY","Feudal Contract","","Feudalism","DEFER_SYSTEM","Production policy for pre-industrial melee/ranged/anti-cavalry units","Exact era coverage later","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Early Medieval","EC016","POLICY","Manuscript Patronage","","Written Culture","DEFER_SYSTEM","Potential Culture/Great Writer policy; exact effect later","","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Early Medieval","EC021","POLICY","Court Patronage policy","","Court Culture","DEFER_SYSTEM","Possible Culture/diplomatic policy; avoid numeric invention now","","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Enlightenment","EC020","POLICY","Bill of Rights","","Constitutionalism","DEFER_SYSTEM","Rights/amenity/loyalty policy candidate","Exact mechanics later","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Enlightenment","EC025","POLICY","Coffeehouse Debate","","Public Sphere","DEFER_SYSTEM","Science/Culture/Great Person interaction candidate; avoid locking region-specific building","Use as policy/system rather than universal Coffeehouse building","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Exploration","XC007","POLICY","Native Conquest","","Exploration","DEFER_SYSTEM","Historical military-exploitation policy candidate; exact mechanics and naming require colonial-system audit","Do not treat as mandatory benefit","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Industrial","IC013","POLICY","Expropriation","","Scorched Earth","DEFER_SYSTEM","Historically later/ideologically broad; keep candidate but do not make core identity","","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"POLICY_BALANCE","Late Antiquity","LC001","POLICY","Bastions","","Defensive Tactics","DEFER_SYSTEM","Defensive-city policy candidate","Exact modifier later","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Late Antiquity","LC002","POLICY","Limes","","Defensive Tactics","DEFER_SYSTEM","Wall/defensive-infrastructure policy candidate","Exact modifier later","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Late Antiquity","LC009","POLICY","Scripture","","Theology","DEFER_SYSTEM","Religion-output policy candidate","Exact modifier later","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Late Antiquity","LC012","POLICY","Naval Infrastructure","","Naval Tradition","DEFER_SYSTEM","Harbor/infrastructure policy candidate","Convert Harbor-district adjacency concept to Harbor/Lighthouse/port city bonuses later","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Late Antiquity","LC013","POLICY","Navigation","","Naval Tradition","DEFER_SYSTEM","Great Admiral generation policy candidate","","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Late Antiquity","LC019","POLICY","Meritocracy","","Civil Service","DEFER_SYSTEM","Administrative merit policy candidate","District-based source bonus must be converted to Civ V-style city structure","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Late Antiquity","LC020","POLICY","Retainers","","Civil Service","DEFER_SYSTEM","Garrison/city-amenity policy candidate","Exact effect later","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Modern","MCB011","POLICY","Patriotic War","","Class Struggle","DEFER_SYSTEM","Possible production/defense policy; exact version depends on ruleset chosen","","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv"
"POLICY_BALANCE","Renaissance","RC023","POLICY","Vernacular Print","","Print Culture","DEFER_SYSTEM","Candidate for literacy/culture spread; exact yield later","","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"POLICY_BALANCE","Renaissance","RC024","POLICY","Pamphleteering","","Print Culture","DEFER_SYSTEM","Candidate for diplomatic/religious/public-opinion effects; exact mechanic later","","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"SYSTEM_DESIGN","Ancient","C010","DIPLOMACY","Joint War / Join Ongoing War","","Foreign Trade","DEFER_SYSTEM","Potential diplomacy unlock but requires later diplomacy audit","","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"SYSTEM_DESIGN","Ancient","C026","SYSTEM","Envoy +1","","Mysticism","DEFER_SYSTEM","City-state diplomacy reward candidate; audit later","","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"SYSTEM_DESIGN","Atomic","AA020","SYSTEM","Long-distance digital communications capacity","Telecommunications","Globalization","DEFER_SYSTEM","Global commercial effect belongs partly to later Globalization civic","Record for Information civic audit","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv"
"SYSTEM_DESIGN","Classical","CC024","SYSTEM","Envoy +1","","Military Training","DEFER_SYSTEM","Retain as diplomacy-system candidate, not automatic final","","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"SYSTEM_DESIGN","Industrial","ICB025","SYSTEM","Strike / Labor Dispute pressure","","Labor Movement","DEFER_SYSTEM","Potential production/wage negotiation mechanic; needs economy simulation before locking","","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"SYSTEM_DESIGN","Renaissance","RC020","SYSTEM","City-State Great Person gifts","","Patronage","DEFER_SYSTEM","Potential high-tier Patronage reward; do not grant automatically at civic unlock","Could become late policy/finisher mechanic","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"OPTIONAL_ENDGAME","Atomic","AB015","UNIT","Giant Death Robot","Robotics","","DEFER_SYSTEM","Keep as optional endgame/future military project, not baseline Atomic regular unit","Future-tech upgrades can support it if adopted","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv"
"OPTIONAL_ENDGAME","Information","IN007","UNIT","Giant Death Robot Drone Air Defense upgrade","Advanced AI","","DEFER_SYSTEM","Only applies if optional GDR endgame project is adopted","Not baseline content","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"OPTIONAL_ENDGAME","Information","IN011","UNIT","Giant Death Robot Particle Beam Siege Cannon upgrade","Advanced Power Cells","","DEFER_SYSTEM","Only if optional GDR system is adopted","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"OPTIONAL_ENDGAME","Information","IN016","UNIT","Giant Death Robot Enhanced Mobility upgrade","Cybernetics","","DEFER_SYSTEM","Only if optional GDR endgame unit is adopted","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"OPTIONAL_ENDGAME","Information","IN020","UNIT","Giant Death Robot Reinforced Armor upgrade","Smart Materials","","DEFER_SYSTEM","Only if optional GDR is adopted","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
