TECH_EN,PROJECT_ERA,UNLOCK_TYPE,CONTENT_EN,SOURCE_GAME,SOURCE_TECH,SOURCE_FORM,DECISION,FINAL_FORM,FINAL_TECH,REASON,NOTES
"Animal Husbandry","Ancient","RESOURCE_EXPLOITATION","Pasture resources","Civ5 BNW","Animal Husbandry","Resource exploitation","KEEP","Resource Exploitation","Animal Husbandry","Pasture connects Horses/Cattle/Sheep",""
"Animal Husbandry","Ancient","UNIT","Caravan","Civ5 BNW","Animal Husbandry","Trade unit","MERGE","Trade Unit","Animal Husbandry","Physical caravan technology belongs here, but trade institution is civic-driven","Requires Foreign Trade civic as cross-gate"
"Animal Husbandry","Ancient","SYSTEM","Land Trade Route Access","Civ5 BNW","Animal Husbandry","Trade system","MERGE","Cross-tree System","Animal Husbandry","Do not let one technology alone create the institutional trade system","Animal Husbandry + Foreign Trade civic"
"Animal Husbandry","Ancient","TILE_IMPROVEMENT","Camp","Civ6 GS","Animal Husbandry","Improvement","REMAP_TECH","Tile Improvement","Trapping","Civ V BNW structural baseline assigns Camp to Trapping",""
"Mining","Ancient","TILE_IMPROVEMENT","Mine","Civ5 BNW; Civ6 GS","Mining","Improvement","KEEP","Tile Improvement","Mining","Core mineral extraction improvement",""
"Mining","Ancient","RESOURCE_EXPLOITATION","Mineable minerals","Civ5 BNW","Mining","Resource exploitation","KEEP","Resource Exploitation","Mining","Allows extraction of already-visible mine resources","Strategic resources still require their own reveal technology"
"Mining","Ancient","SYSTEM","Forest Clearing","Civ5 BNW; Civ6 GS","Mining","Feature removal","KEEP","Tile Action","Mining","Civ V Mining enables forest clearing",""
"Mining","Ancient","TILE_IMPROVEMENT","Quarry","Civ6 GS","Mining","Improvement","REMAP_TECH","Tile Improvement","Masonry","Civ V structural baseline and historical specialization place Quarry with Masonry",""
"Mining","Ancient","SYSTEM","One-shot Resource Harvest","Civ6 GS","Mining","Harvest mechanic","DROP","None","Mining","Project uses Civ V-style persistent tile/resource improvements rather than Civ6 one-shot harvesting as the default",""
"Sailing","Ancient","UNIT","Work Boat","Civ5 BNW","Sailing","Civilian naval unit","KEEP","Unit","Sailing","Civ V-style water-resource improvement structure","Consumed when creating Fishing Boats unless later design changes"
"Sailing","Ancient","UNIT","Trireme","Civ5 BNW","Sailing","Naval combat unit","KEEP","Unit","Sailing","Primary Civ V ancient naval combat unit","Coastal-water restriction retained until later navigation tech"
"Sailing","Ancient","UNIT","Galley","Civ6 GS","Sailing","Naval combat unit","MERGE","Unit Variant","Sailing","Overlaps the same ancient naval-melee role as Trireme","Use Trireme as baseline; Galley may remain civ/unit-roster variant"
"Sailing","Ancient","UNIT","Cargo Ship","Civ5 BNW","Sailing","Trade unit","MERGE","Trade Unit","Sailing","Maritime vehicle technology belongs here while institutional trade belongs to civics","Requires Foreign Trade civic as cross-gate"
"Sailing","Ancient","TILE_IMPROVEMENT","Fishing Boats","Civ5 BNW; Civ6 GS","Sailing","Improvement","KEEP","Tile Improvement","Sailing","Core sea-resource exploitation improvement",""
"Sailing","Ancient","RESOURCE_EXPLOITATION","Coastal sea resources","Civ5 BNW","Sailing","Resource exploitation","KEEP","Resource Exploitation","Sailing","Fishing Boats connect early sea resources","Fish, Crab, Pearls, Whales where applicable"
"Sailing","Ancient","SYSTEM","Additional Trade Route Capacity","Civ5 BNW","Sailing","Trade system","MERGE","Cross-tree System","Sailing","Trade-route capacity should not come from Sailing alone in the parallel civic-tech design","Sailing + Foreign Trade civic for maritime trade"
"Sailing","Ancient","SYSTEM","Builder/Land-unit Embarkation","Civ6 GS","Sailing","Embarkation","REMAP_TECH","System","Shipbuilding","Project has a dedicated Shipbuilding node and Civ V keeps general embarkation later than Sailing",""
"Astrology","Ancient","CITY_BUILDING","Shrine","Civ6 GS; Civ5 BNW remap","Astrology; Pottery","Building","KEEP","City Building","Astrology","Dedicated project Astrology node receives the early religious building",""
"Astrology","Ancient","SYSTEM","Early Great Prophet / Religion Access","Civ6 GS","Astrology","Religion system","MERGE","Cross-tree System","Astrology","Material/astronomical side of early organized religion","Requires Mysticism civic for full religion-founding access"
"Astrology","Ancient","SYSTEM","Holy Site district","Civ6 GS","Astrology","District","REMOVE_DISTRICT","None","Astrology","Project does not use Civ VI map-placed specialty districts","Shrine remains as city building"
"Astrology","Ancient","WONDER","Stonehenge","Civ6 GS","Astrology","Wonder","DEFER_WONDER","Wonder Candidate","Astrology","Wonder audit is separate",""
"Irrigation","Ancient","SYSTEM","Marsh Clearing","Civ6 GS; Civ5 BNW remap","Irrigation; Masonry","Feature removal","KEEP","Tile Action","Irrigation","Water management/drainage fits Irrigation better than Masonry","Moves Civ V Masonry marsh-clearing function here"
"Irrigation","Ancient","SYSTEM","Fresh-water Farm Irrigation Bonus","Civ5 BNW remap; Historical","Civil Service","Farm yield upgrade","REMAP_TECH","Farm Yield Upgrade","Irrigation","Project Civil Service is a civic; the material irrigation effect belongs on the dedicated Irrigation technology","Fresh-water Farms gain +1 Food; preserves Civ V terrain logic"
"Irrigation","Ancient","TILE_IMPROVEMENT","Plantation","Civ6 GS","Irrigation","Improvement","REMAP_TECH","Tile Improvement","Calendar","Civ V BNW is structural baseline and assigns Plantation to Calendar","Avoids duplicate Plantation unlock"
"Irrigation","Ancient","SYSTEM","One-shot Banana Harvest","Civ6 GS","Irrigation","Harvest mechanic","DROP","None","Irrigation","Project does not use Civ6 one-shot harvesting as default resource gameplay",""
"Irrigation","Ancient","WONDER","Hanging Gardens","Civ6 GS","Irrigation","Wonder","DEFER_WONDER","Wonder Candidate","Irrigation","Wonder audit is separate",""
"Archery","Ancient","UNIT","Archer","Civ5 BNW; Civ6 GS","Archery","Ranged unit","KEEP","Unit","Archery","Shared generic ancient ranged unit",""
"Archery","Ancient","WONDER","Temple of Artemis","Civ5 BNW; Civ6 GS","Archery","Wonder","DEFER_WONDER","Wonder Candidate","Archery","Wonder audit is separate",""
"Writing","Ancient","CITY_BUILDING","Library","Civ5 BNW; Civ6 GS","Writing","Building","KEEP","City Building","Writing","Shared basic science building; Civ6 Campus dependency removed",""
"Writing","Ancient","SYSTEM","Campus district","Civ6 GS","Writing","District","REMOVE_DISTRICT","None","Writing","Project uses Civ V-style city buildings","Library remains directly buildable in city"
"Writing","Ancient","SYSTEM","Open Borders treaties","Civ5 BNW","Writing","Diplomacy system","DEFER","Civic/Tech Crosslink","Writing","Diplomatic permission should be reconciled with the project's civic tree rather than automatically copied","Review during civic unlock audit"
"Writing","Ancient","WONDER","Great Library","Civ5 BNW","Writing","Wonder","DEFER_WONDER","Wonder Candidate","Writing","Wonder audit is separate",""
"Masonry","Ancient","TILE_IMPROVEMENT","Quarry","Civ5 BNW; Civ6 GS remap","Masonry; Mining","Improvement","KEEP","Tile Improvement","Masonry","Civ V structural placement retained","Stone and Marble exploitation"
"Masonry","Ancient","RESOURCE_EXPLOITATION","Stone/Marble quarrying","Civ5 BNW","Masonry","Resource exploitation","KEEP","Resource Exploitation","Masonry","Quarry connects stone resources",""
"Masonry","Ancient","CITY_BUILDING","Walls","Civ5 BNW; Civ6 GS","Masonry","Building","KEEP","City Building","Masonry","Civ5 Walls and Civ6 Ancient Walls are merged into one city building line",""
"Masonry","Ancient","CITY_BUILDING","Stone Works","Civ5 BNW","Calendar","Building","REMAP_TECH","City Building","Masonry","Stone-processing building is materially a masonry unlock; removes Civ5 Calendar anomaly",""
"Masonry","Ancient","UNIT","Battering Ram","Civ6 GS","Masonry","Support unit","KEEP","Unit","Masonry","Useful generic early wall-breaching unit absent as generic unit in Civ5",""
"Masonry","Ancient","SYSTEM","Marsh Clearing","Civ5 BNW","Masonry","Feature removal","REMAP_TECH","Tile Action","Irrigation","Water-management action moved to Irrigation",""
"Masonry","Ancient","WONDER","Pyramids / Mausoleum / other masonry wonders","Civ5 BNW; Civ6 GS","Masonry","Wonder","DEFER_WONDER","Wonder Candidate","Masonry","Wonder audit is separate",""
"Bronze Working","Ancient","UNIT","Spearman","Civ5 BNW; Civ6 GS","Bronze Working","Anti-cavalry unit","KEEP","Unit","Bronze Working","Shared generic early spear unit",""
"Bronze Working","Ancient","CITY_BUILDING","Barracks","Civ5 BNW; Civ6 GS","Bronze Working","Building","KEEP","City Building","Bronze Working","Civ6 Encampment dependency removed; Civ5 already uses direct city building",""
"Bronze Working","Ancient","RESOURCE_REVEAL","Iron","Civ5 BNW; Civ6 GS","Bronze Working","Resource reveal","KEEP","Resource Reveal","Bronze Working","Both source games reveal Iron here",""
"Bronze Working","Ancient","SYSTEM","Jungle/Rainforest Clearing","Civ5 BNW; Civ6 GS","Bronze Working","Feature removal","KEEP","Tile Action","Bronze Working","Shared early metal-tool landscape action",""
"Bronze Working","Ancient","SYSTEM","Encampment district","Civ6 GS","Bronze Working","District","REMOVE_DISTRICT","None","Bronze Working","Project removes map-placed specialty districts","Barracks survives as city building"
"Bronze Working","Ancient","WONDER","Statue of Zeus","Civ5 BNW","Bronze Working","Wonder","DEFER_WONDER","Wonder Candidate","Bronze Working","Wonder audit is separate",""
"Wheel","Ancient","ROUTE_INFRASTRUCTURE","Road","Civ5 BNW","The Wheel","Route improvement","KEEP","Route Infrastructure","Wheel","Core Civ V road network unlock",""
"Wheel","Ancient","CITY_BUILDING","Water Mill","Civ5 BNW; Civ6 GS","The Wheel; Wheel","Building","KEEP","City Building","Wheel","Shared river-city food/production building",""
"Wheel","Ancient","UNIT","Chariot Archer","Civ5 BNW","The Wheel","Mounted ranged unit","KEEP","Unit","Wheel","Civ V baseline ancient chariot unit","Requires Horses"
"Wheel","Ancient","UNIT","Heavy Chariot","Civ6 GS","Wheel","Heavy cavalry unit","DEFER","Unit Candidate","Wheel","Potentially overlaps early chariot role; decide in dedicated unit-roster audit","Do not duplicate by default"
"Calendar","Ancient","TILE_IMPROVEMENT","Plantation","Civ5 BNW; Civ6 GS remap","Calendar; Irrigation","Improvement","KEEP","Tile Improvement","Calendar","Civ V structural baseline owns Plantation; Civ6 Irrigation copy merged here",""
"Calendar","Ancient","RESOURCE_EXPLOITATION","Plantation crops/luxuries","Civ5 BNW","Calendar","Resource exploitation","KEEP","Resource Exploitation","Calendar","Connects applicable crop/luxury resources","Dynamic resource START_VISIBLE/LATENT system remains separate"
"Calendar","Ancient","CITY_BUILDING","Stone Works","Civ5 BNW","Calendar","Building","REMAP_TECH","City Building","Masonry","Materially belongs to Masonry",""
"Calendar","Ancient","WONDER","Stonehenge","Civ5 BNW","Calendar","Wonder","DEFER_WONDER","Wonder Candidate","Calendar","Wonder audit is separate","Astrology-source Stonehenge candidate will be reconciled in Wonder audit"
"Trapping","Ancient","TILE_IMPROVEMENT","Camp","Civ5 BNW; Civ6 GS remap","Trapping; Animal Husbandry","Improvement","KEEP","Tile Improvement","Trapping","Civ V BNW structural baseline owns Camp","Bison, Deer, Furs, Ivory, Truffles"
"Trapping","Ancient","RESOURCE_EXPLOITATION","Camp resources","Civ5 BNW","Trapping","Resource exploitation","KEEP","Resource Exploitation","Trapping","Connects wild-animal bonus/luxury resources",""
"Trapping","Ancient","CITY_BUILDING","Circus","Civ5 BNW","Trapping","Building","MERGE","City Building / Civic Cross-gate","Trapping","Animal/resource knowledge supports the building, but entertainment institution belongs in the civic tree","Require Games and Recreation civic in addition to Trapping"
