TECH,PROJECT_ERA,ERA_INDEX,PREREQUISITES_AND,SUCCESSORS
Atomic Theory,Modern,10,Scientific Theory; Physics,Nuclear Fission; Lasers; Particle Physics
Computers,Atomic,11,Electronics; Mathematics,Telecommunications; Robotics; Ecology
Nuclear Fission,Atomic,11,Atomic Theory; Chemistry,Nuclear Fusion
Synthetic Materials,Atomic,11,Plastics; Chemistry,Composites
Telecommunications,Atomic,11,Electronics; Computers,Advanced AI; Predictive Systems
Satellites,Atomic,11,Rocketry; Electronics,
Guidance Systems,Atomic,11,Rocketry; Electronics,
Lasers,Atomic,11,Atomic Theory; Electronics,
Composites,Atomic,11,Synthetic Materials; Advanced Flight,Stealth Technology; Nanotechnology
Stealth Technology,Atomic,11,Radar; Composites,
Robotics,Atomic,11,Computers; Electronics,Advanced AI; Cybernetics
Particle Physics,Atomic,11,Atomic Theory; Electronics,Nuclear Fusion; Nanotechnology
Nuclear Fusion,Atomic,11,Nuclear Fission; Particle Physics,Advanced Power Cells
Ecology,Atomic,11,Biology; Computers,
Nanotechnology,Information,12,Composites; Particle Physics,Advanced Power Cells; Smart Materials
Advanced AI,Information,12,Robotics; Telecommunications,Cybernetics; Predictive Systems
Advanced Power Cells,Information,12,Nuclear Fusion; Nanotechnology,Seasteads; Offworld Mission
Cybernetics,Information,12,Robotics; Advanced AI,Smart Materials
Smart Materials,Information,12,Nanotechnology; Cybernetics,Seasteads
Predictive Systems,Information,12,Advanced AI; Telecommunications,Offworld Mission
Seasteads,Information,12,Smart Materials; Advanced Power Cells,Future Tech
Offworld Mission,Information,12,Advanced Power Cells; Predictive Systems,Future Tech
Future Tech,Information,12,Seasteads; Offworld Mission,
