"RESOURCE_ID","CLASS","DYNAMIC_TRANSFER","VISIBILITY_OR_REVEAL","BASE_RESOURCE_YIELDS","IMPROVEMENT","IMPROVED_RESOURCE_YIELDS","LUXURY_HAPPINESS","MONOPOLY_EFFECT","QUANTITY_RULE","STATUS","NOTES"
"DEER","BONUS","NO","FIXED_MAP_STANDARD_VISIBILITY","Food+1","Camp","Food+1","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"FISH","BONUS","NO","FIXED_MAP_STANDARD_VISIBILITY","Food+2","Fishing Boats","Production+1; Gold+1","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"SHEEP","BONUS","YES","CONTACT_DYNAMIC_V2","Food+1","Pasture","Food+1; Gold+2","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"STONE","BONUS","NO","FIXED_MAP_STANDARD_VISIBILITY","Production+1","Quarry","Production+2","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"WHEAT","BONUS","YES","CONTACT_DYNAMIC_V2","Food+1","Farm","Food+1","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"MAIZE","BONUS","YES","CONTACT_DYNAMIC_V2","Food+1","Farm","Gold+2","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"RICE","BONUS","YES","CONTACT_DYNAMIC_V2","Food+1","Farm","Production+1","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"CITRUS","LUXURY","YES","CONTACT_DYNAMIC_V2","Food+1; Gold+1","Plantation","Food+1; Gold+1","2","Tile Science+2","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"COCOA","LUXURY","YES","CONTACT_DYNAMIC_V2","Food+1; Gold+1","Plantation","Gold+2","2","Tile Culture+2","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"COPPER","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Production+1","Mine","Gold+1","2","Empire Production+10%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"COTTON","LUXURY","YES","CONTACT_DYNAMIC_V2","Gold+2","Plantation","Gold+2; Culture+1","2","Tile Gold+3","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"CRAB","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Food+1; Gold+1","Fishing Boats","Production+2; Food+1","2","Tile Food+3","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"DYES","LUXURY","YES","CONTACT_DYNAMIC_V2","Gold+1","Plantation","Gold+1; Culture+2","2","Tile Gold+3","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"FURS","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Food+2","Camp","Gold+1; Culture+1","2","Happiness+6","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"GEMS","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+1","Mine","Gold+1; Production+1","2","Empire Gold+10%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"GOLD","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+2","Mine","Culture+1","2","Tile Golden Age Points+2; Golden Age length+25%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"INCENSE","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+2","Plantation","Faith+1; Culture+1","2","Tile Faith+2","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"IVORY","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Production+1","Camp","Production+1; Gold+1","2","Tile Golden Age Points+2; Golden Age length+25%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"MARBLE","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Production+1","Quarry","Production+2","2","Empire Culture+10%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"PEARLS","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+2","Fishing Boats","Production+1; Culture+1","2","Tile Faith+2","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"SALT","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Food+1; Production+1","Mine / Saltworks","Mine Food+1; Saltworks pending","2","Empire Food+10%","1","VP_DIRECT_OR_MAPPED","Natural deposits fixed; coastal Saltworks is separate project facility."
"SILK","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+2","Plantation","Gold+3","2","Empire Gold+10%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"SILVER","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+1","Mine","Gold+2","2","Tile Culture+2","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"SPICES","LUXURY","YES","CONTACT_DYNAMIC_V2","Gold+1","Plantation","Food+1; Gold+1","2","Tile Culture+2","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"SUGAR","LUXURY","YES","CONTACT_DYNAMIC_V2","Production+1; Gold+1","Plantation","Food+2","2","Empire Food+10%","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"TRUFFLES","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+2","Camp","Food+1; Gold+1","2","Tile Food+3","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"WHALES","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Food+1; Production+1","Fishing Boats","Production+1; Science+1","2","Empire Science+10%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"WINE","LUXURY","YES","CONTACT_DYNAMIC_V2","Food+1; Gold+1","Plantation","Culture+1; Gold+1","2","Tile Faith+2","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"COFFEE","LUXURY","YES","CONTACT_DYNAMIC_V2","Food+1; Gold+1","Plantation","Science+2","2","Empire Production+10%","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"TEA","LUXURY","YES","CONTACT_DYNAMIC_V2","Food+1; Production+1","Plantation","Production+2","2","Empire Culture+10%","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"TOBACCO","LUXURY","YES","CONTACT_DYNAMIC_V2","Gold+2","Plantation","Gold+3","2","Tile Faith+2","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"OLIVES","LUXURY","YES","CONTACT_DYNAMIC_V2","Food+1; Gold+1","Plantation","Gold+1; Culture+1","2","Empire Food+10%","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"PERFUME","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+2","Plantation","Gold+2; Culture+1","2","Tile Gold+3","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"AMBER","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Production+1; Gold+1","Quarry","Production+1; Gold+2","2","Happiness+6","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"JADE","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Gold+2","Quarry","Production+1; Culture+1","2","Tile Golden Age Points+2; Golden Age length+25%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"LAPIS_LAZULI","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Production+1","Quarry","Production+1; Science+2","2","Tile Golden Age Points+2; Golden Age length+25%","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"CORAL","LUXURY","NO","FIXED_MAP_STANDARD_VISIBILITY","Production+1; Gold+2","Fishing Boats","Production+1; Food+1","2","Tile Science+2","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
