resource,id,name,lat,lon,radius_km,weight,source_short,source_url
TRUFFLES,NE_SPAIN_BLACK_TRUFFLE,Northeastern Spain black truffle native range,41.50,1.50,300,4,"Tuber melanosporum native range is concentrated in northeastern Spain southern France and Italy","https://www.sciencedirect.com/science/article/pii/S1146609X25000013"
TRUFFLES,SOUTH_FRANCE_BLACK_TRUFFLE,Southern France black truffle native range,44.00,3.50,350,5,"Tuber melanosporum native range is concentrated in northeastern Spain southern France and Italy","https://www.sciencedirect.com/science/article/pii/S1146609X25000013"
TRUFFLES,ITALY_TRUFFLES,Italian truffle core region,43.00,12.00,500,5,"Italy is a major range center for black truffles and Tuber magnatum","https://link.springer.com/article/10.1007/s00572-023-01120-w"
TRUFFLES,BALKAN_WHITE_TRUFFLE,Balkan-Pannonian white truffle region,44.50,19.00,450,4,"Tuber magnatum natural sites extend from Italy through the Balkans and Pannonia to eastern Bulgaria","https://link.springer.com/article/10.1007/s00572-023-01120-w"
PERFUME,SANDALWOOD_SOUTH_INDIA,Karnataka-Tamil Nadu sandalwood region,12.50,77.50,450,5,"More than 90 percent of documented Indian sandalwood area is in Karnataka and Tamil Nadu and its oil is used in perfumery","https://iwst.icfre.gov.in/database/SIS/introduction.html"
PERFUME,AGARWOOD_ASSAM,Assam and northeastern India agarwood region,26.30,92.50,350,5,"Agarwood production occurs in pockets of South and Southeast Asia and the review illustrates Aquilaria plantations in Assam","https://pmc.ncbi.nlm.nih.gov/articles/PMC6646531/"
PERFUME,AGARWOOD_MAINLAND_SE_ASIA,Mainland Southeast Asia agarwood region,15.50,106.00,650,4,"Commercial Aquilaria agarwood species are concentrated in South and Southeast Asia","https://pmc.ncbi.nlm.nih.gov/articles/PMC6646531/"
PERFUME,AGARWOOD_SOUTH_CHINA,Southern China agarwood region,22.00,110.50,400,3,"Aquilaria species used for agarwood occur in China India and Southeast Asian countries","https://pmc.ncbi.nlm.nih.gov/articles/PMC8703820/"
PERFUME,KAZANLAK_ROSE,Kazanlak Rose Valley Bulgaria,42.62,25.40,150,4,"Kazanlak Valley is the traditional Bulgarian industrial region for oil-bearing Rosa damascena used in perfumery","https://www.mdpi.com/2079-9276/12/7/83"
PERFUME,ISPARTA_ROSE,Isparta oil-rose region Turkey,37.80,30.60,180,4,"Turkish Rosa damascena essential-oil cultivation is concentrated in Isparta and nearby provinces and supplies perfumery","https://www.sciencedirect.com/science/article/pii/S030881462100501X"
