BUILDING_EN,PROJECT_ERA,CHAIN,PRODUCTION_COST,GOLD_MAINTENANCE,FOOD_FLAT,PRODUCTION_FLAT,GOLD_FLAT,SCIENCE_FLAT,CULTURE_FLAT,FAITH_FLAT,LOCAL_HAPPINESS,CITY_DEFENSE_STRENGTH,CITY_HP,FOOD_CARRYOVER_PERCENT,PRODUCTION_PERCENT,BUILDING_PRODUCTION_PERCENT,GOLD_PERCENT,SCIENCE_PERCENT,CULTURE_PERCENT,UNIT_XP_BONUS,SPECIALIST_TYPE,SPECIALIST_SLOTS,GPP_TYPE,FLAT_GPP,GREAT_WORK_TYPE,GREAT_WORK_SLOTS,AIR_CAPACITY_CHANGE,SPECIAL_EFFECTS,SOURCE_GRADE,NUMERIC_STATUS,NUMERIC_BASIS,VP_DISTRESS_REDUCTION,VP_POVERTY_REDUCTION,VP_ILLITERACY_REDUCTION,VP_BOREDOM_REDUCTION,VP_RELIGIOUS_UNREST_REDUCTION,MILITARY_SUPPLY_FLAT,MILITARY_SUPPLY_PERCENT,HEALTH_POINTS_PROVISIONAL,STABILITY_POINTS_PROVISIONAL,VP_AUDIT_STATUS,VP_AUDIT_REASON,POWER_LOAD,POWERED_BONUS,POWER_SOURCE_RULE,HEALTH_EFFECT_TYPE,HEALTH_POINTS_FINAL,SPONTANEOUS_PLAGUE_RISK_MULT,PLAGUE_DURATION_MOD_TURNS,HEALTH_OTHER_EFFECT,STABILITY_POINTS_FINAL,FINAL_MERGE_STATUS,FINAL_MERGE_SOURCES
Shrine,Ancient,RELIGION_NATURE,40,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,,0,Music,1,0,,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,VP verified: Shrine yields 2 Faith and has one Music slot.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Library,Ancient,SCIENCE_EDUCATION,75,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Scientist,1,,0,,0,0,VP_NO_UNHAPPY_SPECIALIST_DIVISOR=1,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,1,0,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified: Library is +2 Science, one Scientist slot, Illiteracy reduction 1; Civ5 science-per-2-pop effect removed.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Space Launch Center,Atomic,AIR_SPACE,600,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,REQUIRED_FOR_MAJOR_SPACE_PROJECTS=1,B_CIV6_ADAPTED,LOCKED_BUILDING_V1,Civ6/direct-city adaptation to Civ5 scale,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Flood Barrier,Information,ENVIRONMENT_INFRA,500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,COASTAL_LOWLAND_FLOOD_DAMAGE_IMMUNITY=1; COASTAL_FLOOD_RISK_CITY_ONLY=1,B_CIV6_ADAPTED,LOCKED_BUILDING_V1,Civ6/direct-city adaptation to Civ5 scale,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Nuclear Power Plant,Atomic,INDUSTRY_POWER,500,3,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,0,,0,,0,0,REPLACES_POWER_PLANT_OUTPUT=1; POWER_SOURCE=URANIUM; POWER_SYSTEM_OUTPUT=POWER_V4; POLLUTION_LOWER_THAN_COAL=1,B_CIV6_ADAPTED,LOCKED_BUILDING_V1,Civ6/direct-city adaptation to Civ5 scale,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,Uranium capacity 1 -> 16 Power; network radius 6; emission MINUSCULE,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2;POWER_V4
Recycling Center,Information,INDUSTRY_POWER,500,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,OLD_CIV5_ALUMINUM_EFFECT_REMOVED=1; CITY_POLLUTION_PERCENT=-25,B_CIV5_FUNCTIONAL_REMAP,VP_V2_AUDITED_PROVISIONAL,Civ5 functional remap/adaptation; Health & Plague layer must be audited before V2 lock; Health & Plague building-health value not yet recovered exactly; GS/project pollution layer also applies; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,2,0,PROJECT_VP_ADAPTED,Project environmental/Health adaptation: Health +2 provisional and existing pollution -25% retained.,0,,,FLAT,2,1.00,0,Existing CITY_POLLUTION_PERCENT=-25 remains separate and indirectly improves Health through pollution penalty.,0,MERGED_V5,BASE_V2;HEALTH_V1
Solar Plant,Information,INDUSTRY_POWER,500,3,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,0,,0,,0,0,REPLACES_POWER_PLANT_OUTPUT=1; POWER_SOURCE=SOLAR; POWER_SYSTEM_OUTPUT=POWER_V4,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,Fixed 6 Power; network radius 6; emission ZERO,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2;POWER_V4
Caravansary,Classical,COMMERCE_TRADE,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,VP_LAND_TRADE_GOLD=+3; VP_FINISH_LAND_TRADE_TOURISM=10; VP_DESERT_TUNDRA_FOOD_GOLD_PER_TILE=0.5,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified: Caravansary +1 Gold, land trade Gold +3, trade-finish Tourism 10 and desert/tundra scaling yields.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Market,Classical,COMMERCE_TRADE,100,0,0,0,3,0,0,0,0,0,0,0,0,0,25,0,0,0,Merchant,1,,0,,0,0,,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; 47-resource/More Luxuries interaction audit required; More Luxuries defines no direct Market bonus; keep BNW market values; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,VP verified Market gains +3 flat Gold; existing project 25% Gold and Merchant slot retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Mint,Classical,COMMERCE_TRADE,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,WORKED_GOLD_SILVER_GOLD=+2,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor; 47-resource/More Luxuries interaction audit required; More Luxuries defines no direct Mint bonus; keep Gold/Silver-only source behavior unless later project override,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Amphitheater,Classical,CULTURE_MEDIA,100,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,Writing,2,0,VP_GREAT_WRITER_RATE_PERCENT=33,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified: Amphitheater/Theater has 2 Culture, two Great Work slots and +33% Great Writer generation.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Writers' Guild,Classical,CULTURE_MEDIA,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Writer,2,Great Writer,1,,0,0,,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Arena,Classical,ENTERTAINMENT,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,DIRECT_CITY_ENTERTAINMENT_BUILDING=1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,1,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified Arena/Colosseum: direct Happiness removed, Boredom reduction 1, +1 Culture.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Circus,Classical,ENTERTAINMENT,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,VP_WLTKD_TURNS=10; VP_INSTANT_CULTURE=100,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,1,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified: Circus +1 Happiness, Boredom reduction 1, 10 WLTKD turns and instant 100 Culture.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Aqueduct,Classical,FOOD_HEALTH,100,1,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,0,,0,,0,0,HEALTH_BONUS=FRESH_WATER_HEALTH_EQUIVALENT; VP_LAKE_FOOD=+2; VP_OASIS_FOOD=+2; VP_PRODUCTION_ON_BIRTH=20_ERA_SCALING,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; Health & Plague layer must be audited before V2 lock; Health & Plague v16: Aqueduct Health bonus equals fresh-water Health bonus; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,1,0,0,0,0,0,2,0,VP_EXACT_ADOPTED,"VP verified: Aqueduct +1 Food, 15% food kept, Poverty reduction 1, lake/oasis food and era-scaled Production on birth; Health +2 is project adaptation.",0,,,WATER_HEALTH_FLOOR,2,1.00,0,"Natural freshwater and Aqueduct do not stack; city water-health component is max(natural freshwater 2, Aqueduct floor 2).",0,MERGED_V5,BASE_V2;HEALTH_V1
Ancestral Hall,Classical,GOVERNMENT_DIPLOMACY,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,FOUNDING_UNIT_PRODUCTION_PERCENT=+50; NO_FREE_WORKER=1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Audience Chamber,Classical,GOVERNMENT_DIPLOMACY,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,CAPITAL_AND_COURTHOUSE_CITY_HAPPINESS=+2; CAPITAL_AND_COURTHOUSE_CITY_GROWTH_PERCENT=+10; GOVERNOR_EFFECT_REMOVED=1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Consulate,Classical,GOVERNMENT_DIPLOMACY,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,INFLUENCE_POINTS_PER_TURN=+2; ENEMY_SPY_LEVEL_IN_ADMIN_CITY=-1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Warlord's Throne,Classical,GOVERNMENT_DIPLOMACY,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,ON_ENEMY_CITY_CAPTURE_ALL_CITIES_PRODUCTION_PERCENT=+20_FOR_5_TURNS,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Harbor,Classical,MARITIME,120,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,CITY_CONNECTION_OVER_WATER=1; SEA_TRADE_RANGE_PERCENT=+50; FOREIGN_SEA_TRADE_GOLD=+2; PLAGUE_SPREAD_NETWORK=SEA_AND_INTERNATIONAL_TRADE_SYSTEM; VP_SEA_TILE_FOOD=+1; VP_SEA_RESOURCE_PRODUCTION=+1; VP_NAVAL_UNIT_PRODUCTION_PERCENT=+15; VP_FINISH_SEA_TRADE_TOURISM=10,B_CIV5_FUNCTIONAL_REMAP,VP_V2_AUDITED_PROVISIONAL,Civ5 functional remap/adaptation; Health & Plague layer must be audited before V2 lock; 47-resource/More Luxuries interaction audit required; More Luxuries adds Coral but no direct Harbor building bonus; disease spread through sea/trade routes is handled by Health/Plague network layer; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,1,0,0,0,VP_EXACT_ADOPTED,"VP verified: Harbor Supply +1, +1 Gold, sea-tile Food +1, sea-resource Production +1 and naval Production +15%; project connection/trade rules retained.",0,,,NONE,0,1.00,0,"Sea/trade plague propagation handled by network rules, not flat Health.",0,MERGED_V5,BASE_V2;HEALTH_V1
Lighthouse,Classical,MARITIME,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,SEA_TILE_FOOD=+1; FISH_EXTRA_FOOD=+1; SEA_RESOURCE_PRODUCTION=+1; PROJECT_SEA_RESOURCES=FISH|CRAB|PEARLS|WHALES|CORAL,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor; 47-resource/More Luxuries interaction audit required; More Luxuries direct-building bonus absent; project sea-resource set must include Coral in generic sea-resource handling,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Stable,Classical,MILITARY_TRAINING,100,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,WORKED_SHEEP_CATTLE_HORSES_PRODUCTION=+1; MOUNTED_UNIT_PRODUCTION_PERCENT=+15,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; 47-resource/More Luxuries interaction audit required; More Luxuries adds no livestock resource; project pasture livestock remain Horses/Cattle/Sheep; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,1,0,0,0,VP_EXACT_ADOPTED,VP verified Stable gives Supply +1 and +3 Production; project pasture/mounted effects retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Paper Workshop,Classical,SCIENCE_EDUCATION,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,PAPER_RECORD_SYNERGY_CONDITIONAL=SEE_NUMERIC_BALANCE_DECISIONS_V1,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,1,0,0,0,0,0,0,PROJECT_VP_ADAPTED,Project paper/record building: VP-style Illiteracy reduction 1 added; existing +1 Science retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Castle,Early Medieval,CITY_DEFENSE,160,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,,0,,0,,0,0,,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,5,0,0,PROJECT_VP_ADAPTED,VP defense-line adaptation: +5% city military supply; existing defense/HP values retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Scriptorium,Early Medieval,CULTURE_MEDIA,150,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,Writing,1,0,ALGEBRA_SCHOLARSHIP_CONDITIONAL=SEE_NUMERIC_BALANCE_DECISIONS_V1,B_PROJECT_INTERPOLATED,LOCKED_BUILDING_V1,Project historical/interpolated balance,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Woodblock Printing House,Early Medieval,CULTURE_MEDIA,180,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,GREAT_WORK_WRITING_CULTURE_CONDITIONAL=SEE_NUMERIC_BALANCE_DECISIONS_V1,B_PROJECT_INTERPOLATED,LOCKED_BUILDING_V1,Project historical/interpolated balance,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Court,Early Medieval,GOVERNMENT_DIPLOMACY,180,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,ONE_PER_CIV_PALACE_ADMINISTRATION=1,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Customs Office,Enlightenment,COMMERCE_TRADE,250,1,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,,0,,0,,0,0,INTERNATIONAL_TRADE_ROUTE_GOLD_PERCENT=+25; REQUIRES_SEAPORT_OR_ACTIVE_INTERNATIONAL_TRADE=1; VP_TRADE_ROUTE_RECIPIENT_GOLD=+2; VP_TRADE_ROUTE_TARGET_GOLD=+2,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,1,0,0,0,0,0,0,0,PROJECT_VP_ADAPTED,Mapped to VP Customs House role: Poverty reduction 1 and trade route sender/recipient Gold +2 each; project international-trade modifier retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
