"UNIT_ID","UNIT_EN","PROJECT_ERA","DOMAIN","ROLE_FAMILY","TECH_GATE","ADDITIONAL_TECH_GATE","CIVIC_GATE","SYSTEM_GATE","GATE_MODE","RESOURCE_REQUIREMENT","SOURCE_BASIS","STATUS","NOTES","SOURCE_RECORD","SOURCE_FILE"
"UNIT_MISSIONARY","Missionary","Ancient","LAND","RELIGIOUS","","","","MAJORITY_RELIGION","SYSTEM","","Civ V BNW baseline recovery","LOCKED_ROSTER_V1","Civ V-style religious unit; purchase/use depends on a city with the relevant majority religion.","BASELINE_RECOVERY","external:Civ5 BNW unit list"
"UNIT_BATTERING_RAM","Battering Ram","Ancient","LAND","SUPPORT_SIEGE","Masonry","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Masonry","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_CARAVAN","Caravan","Ancient","LAND","TRADE","Animal Husbandry","","Foreign Trade","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Animal Husbandry","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_CARGO_SHIP","Cargo Ship","Ancient","SEA","TRADE","Sailing","","Foreign Trade","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Sailing","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_HORSEMAN","Horseman","Classical","LAND","LIGHT_CAVALRY","Horseback Riding","","","","TECH","Horses","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Horseback Riding","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SWORDSMAN","Swordsman","Classical","LAND","MELEE_INFANTRY","Iron Working","","","","TECH","Iron","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Iron Working","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_QUADRIREME","Quadrireme","Classical","SEA","NAVAL_RANGED","Shipbuilding","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Shipbuilding","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_COMPOSITE_BOWMAN","Composite Bowman","Classical","LAND","RANGED_INFANTRY","Construction","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Construction","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_CATAPULT","Catapult","Classical","LAND","SIEGE","Mathematics","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Mathematics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SIEGE_TOWER","Siege Tower","Classical","LAND","SUPPORT_SIEGE","Construction","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Construction","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_PIKEMAN","Pikeman","Late Antiquity","LAND","ANTI_CAVALRY","Military Tactics","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Military Tactics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_KNIGHT","Knight","Late Antiquity","LAND","HEAVY_CAVALRY","Stirrups","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Stirrups","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MILITARY_ENGINEER","Military Engineer","Late Antiquity","LAND","SUPPORT_ENGINEER","Military Engineering","","Military Training","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Military Engineering","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_FIRE_LANCE","Fire Lance","Early Medieval","LAND","GUNPOWDER_INFANTRY","Gunpowder","","","","TECH","Niter","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Gunpowder","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MAN_AT_ARMS","Man-at-Arms","High Medieval","LAND","MELEE_INFANTRY","Apprenticeship","","Military Training","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Apprenticeship","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_GALLEASS","Galleass","High Medieval","SEA","NAVAL_RANGED","Compass","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Compass","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_CROSSBOWMAN","Crossbowman","High Medieval","LAND","RANGED_INFANTRY","Machinery","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Machinery","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_TREBUCHET","Trebuchet","High Medieval","LAND","SIEGE","Physics","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Physics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_PIKE_AND_SHOT","Pike and Shot","Renaissance","LAND","ANTI_CAVALRY","Metal Casting","","Military Training","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Metal Casting","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SPY","Spy","Renaissance","OFFMAP","ESPIONAGE","","","Diplomatic Service","","CIVIC","","Project 72-civic master","LOCKED_ROSTER_V1","","Diplomatic Service","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"UNIT_ARQUEBUSIER","Arquebusier","Renaissance","LAND","GUNPOWDER_INFANTRY","Metallurgy","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Metallurgy","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_LANCER","Lancer","Renaissance","LAND","HEAVY_CAVALRY","Metallurgy","","","","TECH","Horses","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Metallurgy","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_BOMBARD","Bombard","Renaissance","LAND","SIEGE","Metal Casting","","","","TECH","Niter","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Metal Casting","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_PIONEER","Pioneer","Exploration","LAND","CIVILIAN_SETTLER","Cartography","","Exploration","","TECH+CIVIC","","Project settler progression V1","LOCKED_ROSTER_V1","Founding population 2; same base territory as all settler-class units; replaces Settler for new production.","SETTLER_PROGRESSION_V1","city_system/SETTLER_PROGRESSION_V1.csv"
"UNIT_LINE_INFANTRY","Line Infantry","Exploration","LAND","GUNPOWDER_INFANTRY","Flintlock","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Flintlock","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_CARAVEL","Caravel","Exploration","SEA","NAVAL_MELEE","Astronomy","","Exploration","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Astronomy","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_GALLEON","Galleon","Exploration","SEA","NAVAL_MELEE","Astronomy","","Exploration","","TECH+CIVIC","","Project 72-civic master","LOCKED_ROSTER_V1","","Exploration","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"UNIT_PRIVATEER","Privateer","Exploration","SEA","NAVAL_RAIDER","Warships","","Mercantilism","","TECH+CIVIC","","Project 72-civic master","LOCKED_ROSTER_V1","","Mercantilism","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"UNIT_FRIGATE","Frigate","Exploration","SEA","NAVAL_RANGED","Warships","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Warships","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SHIP_OF_THE_LINE","Ship of the Line","Exploration","SEA","NAVAL_RANGED","Navigation","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Navigation","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SKIRMISHER","Skirmisher","Exploration","LAND","RANGED_INFANTRY","Flintlock","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Flintlock","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_EXPLORER","Explorer","Exploration","LAND","RECON","Cartography","","Exploration","","TECH+CIVIC","","Project 72-civic master","LOCKED_ROSTER_V1","","Exploration","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"UNIT_FIELD_GUN","Field Gun","Exploration","LAND","SIEGE","Fortification","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Fortification","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_ARCHAEOLOGIST","Archaeologist","Enlightenment","LAND","CIVILIAN_ARCHAEOLOGY","","","Natural History","","CIVIC","","Project 72-civic master","LOCKED_ROSTER_V1","","Natural History","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"UNIT_CAVALRY","Cavalry","Enlightenment","LAND","LIGHT_CAVALRY","Military Science","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Military Science","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_COLONIST","Colonist","Industrial","LAND","CIVILIAN_SETTLER","Railroad","","Colonialism","","TECH+CIVIC","","Project settler progression V1","LOCKED_ROSTER_V1","Founding population 3; same base territory as all settler-class units; replaces Pioneer for new production.","SETTLER_PROGRESSION_V1","city_system/SETTLER_PROGRESSION_V1.csv"
"UNIT_NATURALIST","Naturalist","Industrial","LAND","CIVILIAN_CONSERVATION","","","Conservation","","CIVIC","","Project 72-civic master","LOCKED_ROSTER_V1","","Conservation","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"UNIT_INFANTRY","Infantry","Industrial","LAND","GUNPOWDER_INFANTRY","Replaceable Parts","","Nationalism","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Replaceable Parts","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_RIFLEMAN","Rifleman","Industrial","LAND","GUNPOWDER_INFANTRY","Rifling","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Rifling","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_IRONCLAD","Ironclad","Industrial","SEA","NAVAL_MELEE","Steam Power","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Steam Power","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SUBMARINE","Submarine","Industrial","SEA","NAVAL_RAIDER","Electricity","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Electricity","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_BATTLESHIP","Battleship","Industrial","SEA","NAVAL_RANGED","Armor Plating","Warships","","","TECH+TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Armor Plating","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_CRUISER","Cruiser","Industrial","SEA","NAVAL_RANGED","Armor Plating","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Armor Plating","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_GATLING_GUN","Gatling Gun","Industrial","LAND","RANGED_INFANTRY","Industrialization","Military Science","","","TECH+TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Industrialization","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_RANGER","Ranger","Industrial","LAND","RECON","Rifling","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Rifling","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_ARTILLERY","Artillery","Industrial","LAND","SIEGE","Dynamite","Military Science","","","TECH+TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Dynamite","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MEDIC","Medic","Industrial","LAND","SUPPORT_MEDICAL","Sanitation","","Military Training","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Sanitation","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_URBAN_PLANNER","Urban Planner","Modern","LAND","CIVILIAN_SETTLER","Combustion","","Urbanization","","TECH+CIVIC","","Project settler progression V1","LOCKED_ROSTER_V1","Founding population 4; same base territory as all settler-class units; replaces Colonist for new production.","SETTLER_PROGRESSION_V1","city_system/SETTLER_PROGRESSION_V1.csv"
"UNIT_BOMBER","Bomber","Modern","AIR","AIR_BOMBER","Advanced Flight","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Advanced Flight","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_GREAT_WAR_BOMBER","Great War Bomber","Modern","AIR","AIR_BOMBER","Flight","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Flight","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_FIGHTER","Fighter","Modern","AIR","AIR_FIGHTER","Advanced Flight","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Advanced Flight","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_TRIPLANE","Triplane","Modern","AIR","AIR_FIGHTER","Flight","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Flight","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MARINE","Marine","Modern","LAND","AIRBORNE_INFANTRY","Combined Arms","","Mobilization","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Combined Arms","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_PARATROOPER","Paratrooper","Modern","LAND","AIRBORNE_INFANTRY","Advanced Flight","","Mobilization","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Advanced Flight","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_ANTI_AIR_GUN","Anti-Air Gun","Modern","LAND","ANTI_AIR","Advanced Ballistics","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Advanced Ballistics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_ANTI_TANK_GUN","Anti-Tank Gun","Modern","LAND","ANTI_ARMOR","Combined Arms","Military Science","","","TECH+TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Combined Arms","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_LANDSHIP","Landship","Modern","LAND","ARMORED","Combustion","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Combustion","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_TANK","Tank","Modern","LAND","ARMORED","Combined Arms","","","","TECH","Oil","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Combined Arms","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MECHANIZED_INFANTRY","Mechanized Infantry","Modern","LAND","GUNPOWDER_INFANTRY","Combined Arms","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","Recovered audit/master mismatch: MB024 and AA026 remap this unit to Combined Arms; now restored to the technology master.","Combined Arms","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_AIRCRAFT_CARRIER","Aircraft Carrier","Modern","SEA","NAVAL_CARRIER","Electronics","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Electronics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_DESTROYER","Destroyer","Modern","SEA","NAVAL_MELEE","Combined Arms","","","","TECH","Oil","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Combined Arms","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MACHINE_GUN","Machine Gun","Modern","LAND","RANGED_INFANTRY","Advanced Ballistics","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Advanced Ballistics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SPEC_OPS","Spec Ops","Modern","LAND","RECON","Radar","","Rapid Deployment","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Radar","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_ROCKET_ARTILLERY","Rocket Artillery","Modern","LAND","SIEGE","Rocketry","Military Science","","","TECH+TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Rocketry","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SUPPLY_CONVOY","Supply Convoy","Modern","LAND","SUPPORT_LOGISTICS","Combustion","","Mobilization","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Combustion","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_OBSERVATION_BALLOON","Observation Balloon","Modern","LAND","SUPPORT_SIEGE","Flight","","Mobilization","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Flight","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_STEALTH_BOMBER","Stealth Bomber","Information","AIR","AIR_BOMBER","Stealth Technology","Advanced Flight","","","TECH+TECH","Aluminum","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Stealth Technology","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_JET_FIGHTER","Jet Fighter","Information","AIR","AIR_FIGHTER","Lasers","Advanced Flight","","","TECH+TECH","Aluminum","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Lasers","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MOBILE_SAM","Mobile SAM","Information","LAND","ANTI_AIR","Guidance Systems","","Mobilization","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Guidance Systems","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MODERN_AT","Modern AT","Information","LAND","ANTI_ARMOR","Composites","Military Science","","","TECH+TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Composites","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MODERN_ARMOR","Modern Armor","Information","LAND","ARMORED","Composites","","Mobilization","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Composites","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_ROCK_BAND","Rock Band","Atomic","LAND","CIVILIAN_CULTURAL","","","Cold War","","CIVIC","","Project 72-civic master","LOCKED_ROSTER_V1","","Cold War","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"UNIT_HELICOPTER","Helicopter","Atomic","LAND","LIGHT_CAVALRY","Synthetic Materials","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Synthetic Materials","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_GUIDED_MISSILE","Guided Missile","Information","MISSILE","MISSILE","Guidance Systems","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","Conventional guided missile only; Nuclear Missile remains excluded as a standalone generic unit.","Guidance Systems","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_NUCLEAR_SUBMARINE","Nuclear Submarine","Atomic","SEA","NAVAL_RAIDER","Nuclear Fission","","Cold War","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Nuclear Fission","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_MISSILE_CRUISER","Missile Cruiser","Information","SEA","NAVAL_RANGED","Guidance Systems","Warships","","","TECH+TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","Recovered audit/master mismatch: Lasers note moved this unit to Guidance Systems + Warships; now restored to the technology master.","Guidance Systems","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_DRONE","Drone","Atomic","LAND","SUPPORT_RECON","Computers","","Rapid Deployment","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Computers","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_GIANT_DEATH_ROBOT","Giant Death Robot","Information","LAND","SUPER_HEAVY_ROBOT","Robotics","","","","TECH","Uranium","Civilization VI Gathering Storm baseline restoration","LOCKED_ROSTER_V1","Baseline late-game super-unit. Future upgrades: Advanced AI air defense; Advanced Power Cells siege cannon; Cybernetics mobility; Smart Materials armor.","Robotics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_XCOM_SQUAD","XCOM Squad","Future","LAND","AIRBORNE_INFANTRY","Cybernetics","","Rapid Deployment","","TECH+CIVIC","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","Future-era airborne infantry moved from Nanotechnology to Cybernetics in the Gathering Storm-era realignment; coexists with baseline Giant Death Robot.","Cybernetics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
