"UNIT_EN","DIRECT_UPGRADE_TO","UPGRADE_MODE","PRODUCTION_OBSOLESCENCE_RULE","SOURCE_BASIS","STATUS","RATIONALE"
"Ranger","Spec Ops","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6 Rise and Fall","LOCKED_V1","Recon line"
"Artillery","Rocket Artillery","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Siege line"
"Medic","Supply Convoy","DIRECT_SUPPORT","WHEN_SUCCESSOR_UNLOCKS","Civ6 Rise and Fall","LOCKED_V1","Modern logistics expands the Medic support role"
"Urban Planner","","NO_UPGRADE","NONE","Project Settler Progression V1","LOCKED_V1","Latest founding class"
"Bomber","Stealth Bomber","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/project","LOCKED_V1","Strategic bomber line"
"Great War Bomber","Bomber","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Bomber line"
"Fighter","Jet Fighter","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Fighter line"
"Triplane","Fighter","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Fighter line"
"Marine","","NO_UPGRADE","NONE","Project specialist infantry","LOCKED_V1","Remains terminal amphibious specialist rather than being forced into XCOM"
"Paratrooper","XCOM Squad","DIRECT_CLASS_EVOLUTION","WHEN_SUCCESSOR_UNLOCKS","Civ5-inspired project bridge","LOCKED_V1","XCOM inherits the late airborne-assault role"
"Anti-Air Gun","Mobile SAM","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Anti-air line"
"Anti-Tank Gun","Modern AT","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6 functional family","LOCKED_V1","Anti-armor line"
"Landship","Tank","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Armored line"
"Tank","Modern Armor","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Armored line"
"Mechanized Infantry","","NO_UPGRADE","NONE","Civ5/Civ6","LOCKED_V1","Terminal conventional frontline infantry"
"Aircraft Carrier","","NO_UPGRADE","NONE","Civ5/Civ6","LOCKED_V1","Carrier remains a terminal specialist platform"
"Destroyer","","NO_UPGRADE","NONE","Civ5/Civ6","LOCKED_V1","Terminal naval melee/escort unit"
"Machine Gun","","NO_UPGRADE","NONE","Civ5","LOCKED_V1","Terminal ranged-infantry suppression unit"
"Spec Ops","","NO_UPGRADE","NONE","Civ6 Rise and Fall","LOCKED_V1","Terminal recon unit"
"Rocket Artillery","","NO_UPGRADE","NONE","Civ5/Civ6","LOCKED_V1","Terminal conventional siege unit"
"Supply Convoy","","NO_UPGRADE","NONE","Civ6 Rise and Fall","LOCKED_V1","Terminal logistics support unit"
"Observation Balloon","Drone","DIRECT_SUPPORT","WHEN_SUCCESSOR_UNLOCKS","Civ6 Rise and Fall","LOCKED_V1","Siege-observation support line"
"Stealth Bomber","","NO_UPGRADE","NONE","Civ5/project","LOCKED_V1","Terminal bomber"
"Jet Fighter","","NO_UPGRADE","NONE","Civ5/Civ6","LOCKED_V1","Terminal fighter"
"Mobile SAM","","NO_UPGRADE","NONE","Civ6","LOCKED_V1","Terminal anti-air unit"
"Modern AT","","NO_UPGRADE","NONE","Civ6","LOCKED_V1","Terminal anti-armor unit"
"Modern Armor","","NO_UPGRADE","NONE","Civ5/Civ6","LOCKED_V1","Terminal conventional armor"
"Rock Band","","NO_UPGRADE","SYSTEM","Civ6 culture system","LOCKED_V1","Cultural civilian unit is expended/retired through its own system"
"Helicopter","","NO_UPGRADE","NONE","Civ5/Civ6 role synthesis","LOCKED_V1","Terminal light-cavalry/air-mobile unit"
"Guided Missile","","NO_UPGRADE","CONSUMABLE","Civ5/Civ6","LOCKED_V1","One-use conventional missile"
"Nuclear Submarine","","NO_UPGRADE","NONE","Civ5/Civ6","LOCKED_V1","Terminal naval raider"
"Missile Cruiser","","NO_UPGRADE","NONE","Civ6","LOCKED_V1","Terminal naval ranged combatant"
"Drone","","NO_UPGRADE","NONE","Civ6 Rise and Fall","LOCKED_V1","Terminal siege-observation support"
"Giant Death Robot","","NO_UNIT_UPGRADE","MODULE_UPGRADES","Civ6 Gathering Storm","LOCKED_V1","Unit remains GDR while Future technologies add four equipment upgrades"
"XCOM Squad","","NO_UPGRADE","NONE","Civ5/project","LOCKED_V1","Terminal future airborne infantry"
