"IMPROVEMENT","UNLOCK","BASE_OR_RULE","TECH_OR_CIVIC_UPGRADES","PILLAGE_GOLD","STATUS","NOTES"
"Oil Well","Refining","Gold +7 on Oil Well","Plastics: Production +2; Electronics: Production +2","17","VP_ADOPT_PROJECT_UNLOCK","Project keeps historically specific Refining unlock rather than VP Dynamite."
"Offshore Oil Rig","Plastics","VP Offshore Platform reference: Gold +4; project offshore-oil exploitation rules retained","Project offshore logistics/power pass later","17","VP_ANALOGUE_PROJECT_ADAPT","Civ6-style project name mapped to VP Offshore Platform."
"Customs House","Economics + Mercantilism","Project nerf: Gold +3 Food +1 Culture +1; NoTwoAdjacent","Banking: Gold +2; Railroad: Food +2 Culture +1; Architecture: Food +2; Refrigeration: Gold +2","20","VP_GPTI_NERFED_WORKER","VP full GPTI is much stronger; project already made Customs House a nerfed Worker improvement."
"Academy","Education","PROVISIONAL nerf: Science +2; NoTwoAdjacent","Physics: Science +1; Scientific Theory: Science +1; Rocketry: Science +1; Nuclear Fission: Science +1","20","VP_GPTI_NERFED_WORKER","Ordinary Worker improvement. No Great Scientist consumption. Full VP Science 6/+3 upgrades explicitly rejected as too strong."
"Manufactory","Manufacturing","PROVISIONAL nerf: Production +2; NoTwoAdjacent","Fertilizer: Production +1; Combined Arms: Production +1","20","VP_GPTI_NERFED_WORKER","Ordinary Worker improvement. No Great Engineer consumption. VP full base 6 and +3 upgrade steps not copied."
"Landmark","Natural History(civic)","PROVISIONAL nerf: Culture +2 Gold +1; NoTwoAdjacent; no Happiness-on-construction","Satellites: Culture +1","20","VP_GPTI_NERFED_WORKER","Ordinary Worker improvement. VP HappinessOnConstruction=3 removed to prevent worker-spam exploit."
"Holy Site","Theology(civic)","PROVISIONAL nerf: Faith +2 Culture +1; NoTwoAdjacent","Acoustics: Faith +1; Natural History(civic): Culture +1; Flight: Tourism +1","20","VP_GPTI_NERFED_WORKER","Ordinary Worker improvement. VP full GPTI yields and mountain scaling are not copied at full strength."
"Embassy","City-State Diplomacy system","VP reference Gold +2 Culture +2 Science +2","Civil Service: Gold +1; Printing: Culture +1; Military Science: Science +1; Atomic Theory: Gold +1 Science +1; Telecommunications: Culture +1","0","DEFER_CITY_STATE_DIPLOMACY","Do not activate until diplomatic-unit/embassy construction ownership is finalized."
"Citadel","NONE","REMOVED","NONE","","PROJECT_EXCLUDED","Great General Citadel was explicitly removed from project design."
"Saltworks","PENDING","Coastal salt-production tile facility; exact yields pending","PENDING","17","PROJECT_ADDITION_PENDING_NUMERIC","Produces/accesses Salt without moving natural SALT deposits. Not a city building."
"Dam","Buttress","Project river infrastructure","Electricity: Hydroelectric Dam upgrade","PENDING","PROJECT_CIV6_RETAIN","Outside direct VP improvement roster."
"Canal","Steam Power + Civil Engineering","Project/Civ6 canal rules","PENDING","PENDING","PROJECT_CIV6_RETAIN","Retained."
"Airstrip","Flight","Project/Civ6 air basing","PENDING","PENDING","PROJECT_CIV6_RETAIN","Retained."
"Seaside Resort","Advanced Flight + Mass Media","Project/Civ6 tourism improvement","PENDING","PENDING","PROJECT_CIV6_RETAIN","Retained."
"Solar Farm","Ecology + Environmentalism","Renewable power improvement","PENDING_POWER_PASS","PENDING","PROJECT_CIV6_RETAIN","Retained; Power system controls value."
"Geothermal Plant","Ecology + Environmentalism","Renewable power improvement","PENDING_POWER_PASS","PENDING","PROJECT_CIV6_RETAIN","Retained; Power system controls value."
"Wind Farm","Composites + Environmentalism","Renewable power improvement","PENDING_POWER_PASS","PENDING","PROJECT_CIV6_RETAIN","Retained; Power system controls value."
"Offshore Wind Farm","Predictive Systems + Environmentalism","Offshore renewable power improvement","PENDING_POWER_PASS","PENDING","PROJECT_CIV6_RETAIN","Retained."
"Seastead","Seasteads","Future ocean-settlement support","Fishing Boat/Reef adjacency per project design","PENDING","PROJECT_CIV6_RETAIN","Retained."
