"BUILDING_EN","PROJECT_ERA","CHAIN","TECH_GATE","CIVIC_GATE","PREREQUISITE","SCOPE","MUTEX_GROUP","LOCATION_REQUIREMENT","SOURCE_BASIS","STATUS","NOTES","SOURCE_RECORD","SOURCE_FILE"
"Shrine","Ancient","RELIGION_NATURE","","Mysticism","","PER_CITY","","","Civ6 GS remap; Civ5 religion system","LOCKED_ROSTER_V1","Temple follows at Theology","C031","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Library","Ancient","SCIENCE_EDUCATION","Writing","","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Campus dependency removed","A027","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Space Launch Center","Atomic","AIR_SPACE","Rocketry","Space Race","","ONE_PER_CIV","","","Civ6 Spaceport adaptation","LOCKED_ROSTER_V1","Required for major orbital/planetary projects","ACB006","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv"
"Flood Barrier","Information","ENVIRONMENT_INFRA","Ecology","Environmentalism","","PER_CITY","","Coastal/flood-risk city","Civ6 Computers remap","LOCKED_ROSTER_V1","Coastal lowland protection","AB028","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv"
"Nuclear Power Plant","Atomic","INDUSTRY_POWER","Nuclear Fission","Civil Engineering","Power Plant","PER_CITY","POWER_SOURCE","","Civ6 GS adapted","LOCKED_ROSTER_V1","Upgrades/replaces prior Power Plant fuel mode","AA013","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv"
"Recycling Center","Information","INDUSTRY_POWER","Ecology","Environmentalism","","PER_CITY","","","Civ5 G&K/BNW","LOCKED_ROSTER_V1","Do not use old Civ5 Aluminum-generation effect literally","AB025","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv"
"Solar Plant","Information","INDUSTRY_POWER","Ecology","Environmentalism","Power Plant","PER_CITY","POWER_SOURCE","","Civ5 BNW","LOCKED_ROSTER_V1","Direct city power building or desert-linked power option; exact terrain rule later","AB024","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv"
"Caravansary","Classical","COMMERCE_TRADE","Horseback Riding","Foreign Trade","","PER_CITY","","","Civ5 BNW","LOCKED_ROSTER_V1","Land-trade range/economic effect later","CL013","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Market","Classical","COMMERCE_TRADE","Currency","","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Commercial Hub dependency removed","CL006","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Mint","Classical","COMMERCE_TRADE","Currency","Code of Laws","","PER_CITY","","","Civ5 BNW; project synthesis","LOCKED_ROSTER_V1","Exact Gold/resource effects later","CL007","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Amphitheater","Classical","CULTURE_MEDIA","","Drama and Poetry","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Direct city building, no Theater Square","CC016","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Writers' Guild","Classical","CULTURE_MEDIA","","Drama and Poetry","","ONE_PER_CIV","","","Civ5 BNW","LOCKED_ROSTER_V1","One-per-civilization city building","CC017","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Arena","Classical","ENTERTAINMENT","Construction","Games and Recreation","","PER_CITY","ENTERTAINMENT_BRANCH","","Civ5 BNW + Civ6 GS synthesis","LOCKED_ROSTER_V1","Generic Arena avoids conflict with Colosseum World Wonder","CL032","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Circus","Classical","ENTERTAINMENT","Trapping","Games and Recreation","","PER_CITY","","Improved Horses or Ivory access","Civ5 BNW remap","LOCKED_ROSTER_V1","Resource-conditioned entertainment building","CL033","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Aqueduct","Classical","FOOD_HEALTH","Engineering","","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Health/Growth effects audited later","CL037","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Ancestral Hall","Classical","GOVERNMENT_DIPLOMACY","","Political Philosophy","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER1","","Civ6 GS","LOCKED_ROSTER_V1","Mutually exclusive with Audience Chamber/Warlord's Throne","CC011","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Audience Chamber","Classical","GOVERNMENT_DIPLOMACY","","Political Philosophy","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER1","","Civ6 GS","LOCKED_ROSTER_V1","Mutually exclusive choice","CC012","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Consulate","Classical","GOVERNMENT_DIPLOMACY","","Political Philosophy","Government Plaza","ONE_PER_CIV","","","Civ6 GS remap","LOCKED_ROSTER_V1","Requires Government Plaza; one per civilization; upgrades institutionally to Chancery at Diplomatic Service","CC014","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Warlord's Throne","Classical","GOVERNMENT_DIPLOMACY","","Political Philosophy","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER1","","Civ6 GS","LOCKED_ROSTER_V1","Mutually exclusive choice","CC013","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Harbor","Classical","MARITIME","Celestial Navigation","","","PER_CITY","","Coastal city","Civ6 GS; Civ5 structural adaptation","LOCKED_ROSTER_V1","Trade effects still require actual trade access","CL001","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Lighthouse","Classical","MARITIME","Optics","","Harbor","PER_CITY","","Coastal city","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Coastal city building","CL003","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Stable","Classical","MILITARY_TRAINING","Horseback Riding","","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","","CL012","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Paper Workshop","Classical","SCIENCE_EDUCATION","Papermaking","","","PER_CITY","","","Civ5 Chinese Paper Maker inspiration; Historical addition","LOCKED_ROSTER_V1","Generic building does not copy China's unique yields","CL046","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"Castle","Early Medieval","CITY_DEFENSE","Castles","","Walls","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Requires Walls","EM001","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"Scriptorium","Early Medieval","CULTURE_MEDIA","Writing","Written Culture","","PER_CITY","","","Historical addition; Civ5 Great Work/Writing systems","LOCKED_ROSTER_V1","Requires Library; exact yields later","EC012","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"Woodblock Printing House","Early Medieval","CULTURE_MEDIA","Block Printing","Written Culture","","PER_CITY","","","Historical addition","LOCKED_ROSTER_V1","","EC015","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"Court","Early Medieval","GOVERNMENT_DIPLOMACY","","Court Culture","Palace","ONE_PER_CIV","","","Historical addition; project civic","LOCKED_ROSTER_V1","One-per-civilization Palace-linked city building","EC017","tech_reference/early_medieval_tech_civic_unlock_audit_v1.csv"
"Customs Office","Enlightenment","COMMERCE_TRADE","Economics","Mercantilism","","PER_CITY","","","Historical/project adaptation","LOCKED_ROSTER_V1","Requires Seaport or active international trade; exact Gold/trade effect later","EN020","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Stock Exchange","Enlightenment","COMMERCE_TRADE","Economics","","Bank","PER_CITY","","","Civ6 GS; project financial chain","LOCKED_ROSTER_V1","Requires Bank","EN019","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Archaeological Museum","Enlightenment","CULTURE_MEDIA","","Natural History","Opera House","PER_CITY","MUSEUM_BRANCH","","Civ6 GS; Renaissance deferral","LOCKED_ROSTER_V1","Mutually exclusive with Art Museum; requires Opera House or equivalent prior culture building","EC012","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Newspaper Office","Enlightenment","CULTURE_MEDIA","Printing","Public Sphere","","PER_CITY","","","Historical/project addition","LOCKED_ROSTER_V1","Upgrades the print-culture chain without waiting for electronic Mass Media","EC022","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Aquarium","Enlightenment","ENTERTAINMENT","","Natural History","Ferris Wheel","PER_CITY","","Coastal city","Civ6 GS Water Park adaptation","LOCKED_ROSTER_V1","Coastal city only; requires Ferris Wheel","EC028","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Ferris Wheel","Enlightenment","ENTERTAINMENT","","Natural History","","PER_CITY","ENTERTAINMENT_BRANCH","Coastal city","Civ6 GS Water Park adaptation","LOCKED_ROSTER_V1","Coastal city only; first building in Ferris Wheel -> Aquarium -> Aquatics Center chain","EC027","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Zoo","Enlightenment","ENTERTAINMENT","","Natural History","Arena","PER_CITY","","","Civ6 GS; Civ5 Printing remap","LOCKED_ROSTER_V1","Requires Arena; Natural History moves the entertainment chain from Arena to Zoo","EC013","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Cloth Mill","Enlightenment","INDUSTRY_POWER","Manufacturing","Guilds","","PER_CITY","","","Pouakai Enlightenment Era","LOCKED_ROSTER_V1","Exact yield bonuses later","EN035","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Military Academy","Enlightenment","MILITARY_TRAINING","Military Science","Military Training","Armory","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Requires Armory","EN015","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Chemical Laboratory","Enlightenment","SCIENCE_EDUCATION","Chemistry","","University","PER_CITY","","","Civ6 Research Lab adapted; historical addition","LOCKED_ROSTER_V1","Requires University or Apothecary; exact prerequisite finalized in building tree","EN026","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Public School","Enlightenment","SCIENCE_EDUCATION","Scientific Theory","The Enlightenment","University","PER_CITY","","","Civ5 BNW + project synthesis","LOCKED_ROSTER_V1","Requires University","EN001","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"Star Fort","Exploration","CITY_DEFENSE","Fortification","","Bastion Walls","PER_CITY","","","Civ5 EE + Civ6 fortification synthesis","LOCKED_ROSTER_V1","Upgrades Bastion Walls; final display name standardized to Star Fort","EX033","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"Musicians' Guild","Exploration","CULTURE_MEDIA","Acoustics","Patronage","","ONE_PER_CIV","","","Civ5 BNW","LOCKED_ROSTER_V1","One per civilization","EX020","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"Opera House","Exploration","CULTURE_MEDIA","Acoustics","Patronage","Amphitheater","PER_CITY","","","Civ5 BNW + project civic synthesis","LOCKED_ROSTER_V1","Requires Amphitheater","EX019","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"Navigation School","Exploration","MARITIME","Cartography","Exploration","Lighthouse","PER_CITY","","Coastal city","Civ5 Exploration policy adaptation","LOCKED_ROSTER_V1","Great Admiral/navigation effects later","EX018","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"Seaport","Exploration","MARITIME","Navigation","","Lighthouse","PER_CITY","","Coastal city","Civ5 BNW","LOCKED_ROSTER_V1","Requires Harbor","EX014","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"Gunsmith","Exploration","MILITARY_TRAINING","Flintlock","","","PER_CITY","","","Civ5 Enlightenment Era","LOCKED_ROSTER_V1","+Production toward gunpowder units concept retained; exact % later","EX026","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"Observatory","Exploration","SCIENCE_EDUCATION","Astronomy","","","PER_CITY","","Mountain-adjacent city","Civ5 BNW","LOCKED_ROSTER_V1","Mountain/terrain requirement to be tuned later","EX010","tech_reference/exploration_tech_civic_unlock_audit_v1.csv"
"Artists' Guild","High Medieval","CULTURE_MEDIA","","Guilds","","ONE_PER_CIV","","","Civ5 BNW","LOCKED_ROSTER_V1","Generates Great Artist points; Great Artist no longer builds Landmark","HC027","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv"
"Windmill","High Medieval","INDUSTRY_POWER","Machinery","","","PER_CITY","","","Civ5 BNW remap","LOCKED_ROSTER_V1","Production/food-processing city building; exact terrain restriction later","BLD_HM001","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv"
"Workshop","High Medieval","INDUSTRY_POWER","Apprenticeship","","","PER_CITY","","","Civ6 GS; Civ5 city-building adaptation","LOCKED_ROSTER_V1","Direct Civ V-style city building","HM001","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv"
"University","High Medieval","SCIENCE_EDUCATION","Education","","Library","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Requires Library","HM016","tech_reference/high_medieval_tech_civic_unlock_audit_v1.csv"
"Foreign Ministry","High Medieval/Exploration","GOVERNMENT_DIPLOMACY","","Tier-2 government adoption","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER2","","Civ6 Government Plaza adaptation","LOCKED_ROSTER_V1","mutually exclusive with Grand Master's Chapel and Intelligence Agency","GOVT2_Foreign Ministry","government_system/government_building_choices_v1.csv"
"Grand Master's Chapel","High Medieval/Exploration","GOVERNMENT_DIPLOMACY","","Tier-2 government adoption","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER2","","Civ6 Government Plaza adaptation","LOCKED_ROSTER_V1","mutually exclusive with Foreign Ministry and Intelligence Agency","GOVT2_Grand Master's Chapel","government_system/government_building_choices_v1.csv"
"Intelligence Agency","High Medieval/Exploration","GOVERNMENT_DIPLOMACY","","Tier-2 government adoption","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER2","","Civ6 Government Plaza adaptation","LOCKED_ROSTER_V1","mutually exclusive with Foreign Ministry and Grand Master's Chapel","GOVT2_Intelligence Agency","government_system/government_building_choices_v1.csv"
"Military Base","Industrial","CITY_DEFENSE","Telegraph","","Arsenal","PER_CITY","","","Civ5 BNW","LOCKED_ROSTER_V1","Requires Arsenal; final city-defense building before modern detection/air-defense systems","IB050","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Shopping Mall","Industrial","COMMERCE_TRADE","Mass Production","Capitalism","","PER_CITY","","","Civ6 GS adapted","LOCKED_ROSTER_V1","Direct city building; no Neighborhood district","ICB012","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Cinema","Industrial","CULTURE_MEDIA","Electricity","","","PER_CITY","","","Great Works of Film project baseline; MoreTech reference","LOCKED_ROSTER_V1","Provides Film slots; Film Studio is a later Radio + Mass Media upgrade","IA051","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Director's Guild","Industrial","CULTURE_MEDIA","Electricity","","","ONE_PER_CIV","","","Great Works of Film project baseline; MoreTech reference","LOCKED_ROSTER_V1","Generates Great Director points; no separate Cinematography technology","IA050","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Cold Storage","Industrial","FOOD_HEALTH","Refrigeration","","Food Market","PER_CITY","","","Historical/Civ5 functional adaptation","LOCKED_ROSTER_V1","Food storage/trade loss reduction later","IB030","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Food Market","Industrial","FOOD_HEALTH","Replaceable Parts","Urbanization","","PER_CITY","","","Civ6 GS adapted","LOCKED_ROSTER_V1","No Neighborhood district requirement","IA026","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Hospital","Industrial","FOOD_HEALTH","Biology","Urbanization","Aqueduct","PER_CITY","","","Civ5 BNW + Health & Plague synthesis","LOCKED_ROSTER_V1","Requires Aqueduct/Sewer chain to be finalized","IB012","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Sewer","Industrial","FOOD_HEALTH","Sanitation","Civil Engineering","","PER_CITY","","","Civ6 GS; Health & Plague adaptation","LOCKED_ROSTER_V1","Direct city building, no district","IA014","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Telegraph Office","Industrial","GOVERNMENT_DIPLOMACY","Telegraph","Sovereignty","","PER_CITY","","","Historical/project adaptation","LOCKED_ROSTER_V1","Normal city building; exact commerce/diplomacy effect later","IB038","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Coal Power Plant","Industrial","INDUSTRY_POWER","Electricity","","Power Plant","PER_CITY","POWER_SOURCE","","Civ6 GS remap","LOCKED_ROSTER_V1","Requires Coal; Industrialization is inherited through Factory/Power Plant prerequisite chain, not a civic gate.","IA041","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Factory","Industrial","INDUSTRY_POWER","Industrialization","","Workshop","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Requires Workshop","IA001","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Power Plant","Industrial","INDUSTRY_POWER","Electricity","Civil Engineering","Factory","PER_CITY","","","Civ6 GS adapted","LOCKED_ROSTER_V1","Direct city building","IA040","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Steelworks","Industrial","INDUSTRY_POWER","Steel","","Factory","PER_CITY","","","Historical/project addition","LOCKED_ROSTER_V1","Exact production/resource effects later; Industrialization is inherited through Factory/Power Plant prerequisite chain, not a civic gate.","IA028","tech_reference/industrial_tech_civic_unlock_audit_v1_part_a.csv"
"Drydock","Industrial","MARITIME","Armor Plating","","Seaport","PER_CITY","","Coastal city","Pouakai Enlightenment Era","LOCKED_ROSTER_V1","+naval combat/training effect to be balanced","IB044","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Shipyard","Industrial","MARITIME","Mass Production","","Lighthouse","PER_CITY","","Coastal city","Civ6 GS","LOCKED_ROSTER_V1","Requires Seaport","IB001","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Sanctuary","Industrial","RELIGION_NATURE","","Conservation","Grove","PER_CITY","","","Civ6 GS","LOCKED_ROSTER_V1","Exact prerequisites later","ICB006","tech_reference/industrial_tech_civic_unlock_audit_v1_part_b.csv"
"Grid Battery Storage","Future","INDUSTRY_POWER","Advanced Power Cells","Global Warming Mitigation","Power Plant","PER_CITY","","","Historical/project addition","LOCKED_ROSTER_V1","Direct city energy infrastructure","IN009","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"Apothecary","Late Antiquity","FOOD_HEALTH","Alchemy","","","PER_CITY","","","Historical addition; Health & Plague system adaptation","LOCKED_ROSTER_V1","Exact Health/Science effects later","LA018","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"Armory","Late Antiquity","MILITARY_TRAINING","Military Engineering","Military Training","Barracks","PER_CITY","","","Civ6 GS; Civ5 BNW remap","LOCKED_ROSTER_V1","Barracks remains Military Tradition","LA005","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"Garden","Late Antiquity","RELIGION_NATURE","Irrigation","Civil Service","","PER_CITY","","Fresh-water city","Civ5 Theology remap","LOCKED_ROSTER_V1","Health/Great Person effect later","LC022","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"Temple","Late Antiquity","RELIGION_NATURE","","Theology","Shrine","PER_CITY","","","Civ6 GS; Civ5 Theology","LOCKED_ROSTER_V1","Direct city building; no Holy Site district","LC006","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"Airport","Modern","AIR_SPACE","Radar","Mass Media","Hangar","PER_CITY","","","Civ5 BNW; Part A decision","LOCKED_ROSTER_V1","Mass civilian aviation civic side remains provisional and may later become Globalization","MB030","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv"
"Hangar","Modern","AIR_SPACE","Flight","","","PER_CITY","","","Civ6 GS adapted","LOCKED_ROSTER_V1","Requires city air capacity; exact prerequisite later","MA005","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv"
"Radar Station","Modern","CITY_DEFENSE","Radar","Mobilization","Military Base","PER_CITY","","","Historical/project addition","LOCKED_ROSTER_V1","","MB031","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv"
"Broadcast Center","Modern","CULTURE_MEDIA","Radio","Mass Media","Art Museum or Archaeological Museum","PER_CITY","","","Civ6 GS; Civ5 Broadcast Tower synthesis","LOCKED_ROSTER_V1","Direct city building","MA008","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv"
"Film Studio","Modern","CULTURE_MEDIA","Radio","Mass Media","Cinema","PER_CITY","","","Civ6 GS adapted","LOCKED_ROSTER_V1","Generic film-sector building; civ-unique American Film Studio effects not copied","MA009","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv"
"Aquatics Center","Modern","ENTERTAINMENT","","Professional Sports","Aquarium","PER_CITY","","Coastal city","Civ6 GS adapted","LOCKED_ROSTER_V1","Requires coastal/lake access or suitable city condition","MCB013","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv"
"Stadium","Modern","ENTERTAINMENT","","Professional Sports","Zoo","PER_CITY","","","Civ6 GS; Civ5 Refrigeration remap","LOCKED_ROSTER_V1","Requires Arena or equivalent entertainment building","MCB012","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv"
"Medical Lab","Modern","FOOD_HEALTH","Penicillin","Urbanization","Hospital","PER_CITY","","","Civ5 BNW","LOCKED_ROSTER_V1","Requires Hospital","MB015","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv"
"National History Museum","Modern","GOVERNMENT_DIPLOMACY","","Tier-3 government adoption","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER3","","Civ6 Government Plaza adaptation","LOCKED_ROSTER_V1","mutually exclusive with Royal Society and War Department","GOVT3_National History Museum","government_system/government_building_choices_v1.csv"
"Royal Society","Modern","GOVERNMENT_DIPLOMACY","","Tier-3 government adoption","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER3","","Civ6 Government Plaza adaptation","LOCKED_ROSTER_V1","mutually exclusive with National History Museum and War Department","GOVT3_Royal Society","government_system/government_building_choices_v1.csv"
"War Department","Modern","GOVERNMENT_DIPLOMACY","","Tier-3 government adoption","Government Plaza","ONE_PER_CIV_CHOICE","GOV_TIER3","","Civ6 Government Plaza adaptation","LOCKED_ROSTER_V1","mutually exclusive with National History Museum and Royal Society","GOVT3_War Department","government_system/government_building_choices_v1.csv"
"Research Lab","Modern","SCIENCE_EDUCATION","Plastics","","Public School","PER_CITY","","","Civ5 BNW","LOCKED_ROSTER_V1","Requires University/Public School chain","MB008","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv"
"Bastion Walls","Renaissance","CITY_DEFENSE","Siege Tactics","","Castle","PER_CITY","","","Civ6 GS","LOCKED_ROSTER_V1","Upgrades Castle; equivalent to Civ6 Renaissance Walls in project terminology","RN019","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"Bank","Renaissance","COMMERCE_TRADE","Banking","","Market","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Requires Market","RN001","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"Art Museum","Renaissance","CULTURE_MEDIA","","Humanism","Opera House","PER_CITY","MUSEUM_BRANCH","","Civ6 GS","LOCKED_ROSTER_V1","Holds Great Works of Art","RC001","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"Printing Press","Renaissance","CULTURE_MEDIA","Printing","","","PER_CITY","","","Civ5 Printing Press; Civ6 Printing; project chain","LOCKED_ROSTER_V1","Upgrades/replaces Woodblock Printing House","RN007","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"Chancery","Renaissance","GOVERNMENT_DIPLOMACY","","Diplomatic Service","Consulate","ONE_PER_CIV","","","Civ6 GS","LOCKED_ROSTER_V1","Requires Consulate","RC007","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"Constabulary","Renaissance","GOVERNMENT_DIPLOMACY","","Diplomatic Service","","PER_CITY","","","Civ5 Banking remap","LOCKED_ROSTER_V1","Enemy Spy effectiveness in this city reduced; exact modifier in building-balance pass","RC008","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
"Arsenal","Renaissance","MILITARY_TRAINING","Metallurgy","Military Training","Armory","PER_CITY","","","Civ5 BNW","LOCKED_ROSTER_V1","Requires Armory","RN026","tech_reference/renaissance_tech_civic_unlock_audit_v1.csv"
